hypothesis,label,outcome,mean_diff,hl_median_diff,perm_p,wilcoxon_p,p_holm,deterministic,mean_vs_median_direction_agree,robustness
H6,H6 N=500 inact=0.05: vs baseline (effective_block_interval_s),effective_block_interval_s,25.36461602789507,18.382352941176464,0.0005999400059994001,0.000244140625,0.007799220077992201,False,True,stable
H6,H6 N=500 inact=0.05: vs baseline (accepted_blocks),accepted_blocks,-0.7,-0.5,0.0005999400059994001,0.000244140625,0.007799220077992201,False,True,stable
H6,H6 N=500 inact=0.05: vs baseline (total_energy_kwh),total_energy_kwh,-0.42104166666666565,-0.42104166666666565,,4.320463057827488e-08,,True,,deterministic (design identity)
H6,H6 N=500 inact=0.05: vs baseline (energy_per_accepted_block_kwh),energy_per_accepted_block_kwh,-0.004701693287241591,-0.009253663003662926,0.4814518548145185,0.0976746213491496,1.0,False,True,stable
H6,H6 N=500 inact=0.15: vs baseline (inactive_domain),inactive_domain,2.538e+16,2.538e+16,,4.320463057827488e-08,,True,,deterministic (design identity)
H6,H6 N=500 inact=0.15: vs baseline (exhausted_rounds),exhausted_rounds,0.36666666666666664,0.5,0.0115988401159884,0.007632881787792299,0.1275872412758724,False,True,stable
H6,H6 N=500 inact=0.15: vs baseline (effective_block_interval_s),effective_block_interval_s,77.72194172618187,74.4047619047619,9.999000099990002e-05,2.6929243565254072e-05,0.0023997600239976003,False,True,stable
H6,H6 N=500 inact=0.15: vs baseline (accepted_blocks),accepted_blocks,-2.1666666666666665,-2.0,9.999000099990002e-05,2.424200943694308e-05,0.0023997600239976003,False,True,stable
H6,H6 N=500 inact=0.15: vs baseline (total_energy_kwh),total_energy_kwh,-1.2631249999999998,-1.2631249999999996,,4.320463057827488e-08,,True,,deterministic (design identity)
H6,H6 N=500 inact=0.15: vs baseline (energy_per_accepted_block_kwh),energy_per_accepted_block_kwh,-0.019347474042537394,-0.02008257949561404,0.0694930506949305,0.08214978612203794,0.416958304169583,False,True,stable
H6,H6 N=500 inact=0.3: vs baseline (inactive_domain),inactive_domain,5.076e+16,5.076e+16,,4.320463057827488e-08,,True,,deterministic (design identity)
H6,H6 N=500 inact=0.3: vs baseline (exhausted_rounds),exhausted_rounds,1.0666666666666667,1.0,9.999000099990002e-05,0.0001779070634859494,0.0023997600239976003,False,True,stable
H6,H6 N=500 inact=0.3: vs baseline (effective_block_interval_s),effective_block_interval_s,284.5354360346284,242.91497975708512,9.999000099990002e-05,3.786882511451119e-06,0.0023997600239976003,False,True,stable
H6,H6 N=500 inact=0.3: vs baseline (accepted_blocks),accepted_blocks,-5.3,-5.5,9.999000099990002e-05,3.6335474873107828e-06,0.0023997600239976003,False,True,stable
H6,H6 N=500 inact=0.3: vs baseline (total_energy_kwh),total_energy_kwh,-2.5262499999999997,-2.526249999999999,,4.320463057827488e-08,,True,,deterministic (design identity)
H6,H6 N=500 inact=0.3: vs baseline (energy_per_accepted_block_kwh),energy_per_accepted_block_kwh,0.017764637818902602,-0.0009010145556198057,0.4851514848515148,0.9913735067882429,1.0,False,False,check
H8,H8 N=100 mu=1.0: vs baseline mu=2.0 (exhausted_rounds),exhausted_rounds,6.9,7.0,9.999000099990002e-05,1.5942375258103098e-06,0.0015998400159984002,False,True,stable
H8,H8 N=100 mu=1.0: vs baseline mu=2.0 (coord_template_refresh_count),coord_template_refresh_count,6.9,7.0,9.999000099990002e-05,1.5942375258103098e-06,0.0015998400159984002,False,True,stable
H8,H8 N=100 mu=1.0: vs baseline mu=2.0 (template_generations),template_generations,6.866666666666666,6.5,9.999000099990002e-05,1.679483202276532e-06,0.0015998400159984002,False,True,stable
H8,H8 N=100 mu=1.0: vs baseline mu=2.0 (effective_block_interval_s),effective_block_interval_s,8.500081789555486,7.249694749694754,0.7654234576542346,0.7006408979922842,0.7685231476852316,False,True,stable
H8,H8 N=100 mu=0.5: vs baseline mu=2.0 (exhausted_rounds),exhausted_rounds,23.066666666666666,23.0,9.999000099990002e-05,1.6249951586519442e-06,0.0015998400159984002,False,True,stable
H8,H8 N=100 mu=0.5: vs baseline mu=2.0 (coord_template_refresh_count),coord_template_refresh_count,23.066666666666666,23.0,9.999000099990002e-05,1.6249951586519442e-06,0.0015998400159984002,False,True,stable
