N,arm,blocks_mean,blocks_median,blocks_sd,blocks_iqr,blocks_ci95_lo,blocks_ci95_hi,blocks_n,pooled_blocks
100,ND-PW,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
100,ND-PW-OFFSET,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
100,ND-PC,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
100,ND-PC-NOLP,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
200,ND-PW,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
200,ND-PW-OFFSET,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
200,ND-PC,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
200,ND-PC-NOLP,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
300,ND-PW,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
300,ND-PW-OFFSET,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
300,ND-PC,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
300,ND-PC-NOLP,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
400,ND-PW,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
400,ND-PW-OFFSET,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
400,ND-PC,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
400,ND-PC-NOLP,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
500,ND-PW,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
500,ND-PW-OFFSET,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
500,ND-PC,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
500,ND-PC-NOLP,17.733333333333334,17.0,4.675197457259727,6.5,15.987585912236687,19.47908075442998,30,532.0
