tag,arm,N,seed,run_kind,accepted_blocks,closed_rounds,mean_interval_s,median_interval_s,p95_interval_s,blocks_per_hour,stale_blocks
primary,ND-PW,100,5516199827559636311,physical,15,16,634.1107518300676,437.7779147601508,1994.2985095081267,5.4,0
primary,ND-PW-OFFSET,100,5516199827559636311,physical,15,16,634.1107518300676,437.7779147601508,1994.2985095081267,5.4,0
primary,ND-PC,100,5516199827559636311,physical,15,16,634.1107524336055,437.77791510871054,1994.2985114368619,5.4,0
primary,ND-PC-NOLP,100,5516199827559636311,derived,15,16,634.1107524336055,437.77791510871054,1994.2985114368619,5.4,0
primary,ND-PW,100,676253669661655881,physical,18,19,505.27120687992795,445.6001061953159,1375.1734813052242,6.48,0
primary,ND-PW-OFFSET,100,676253669661655881,physical,18,19,505.27120687992795,445.6001061953159,1375.1734813052242,6.48,0
primary,ND-PC,100,676253669661655881,physical,18,19,505.27120732694675,445.60010661813595,1375.1734824673504,6.48,0
primary,ND-PC-NOLP,100,676253669661655881,derived,18,19,505.27120732694675,445.60010661813595,1375.1734824673504,6.48,0
primary,ND-PW,100,4902971022134724746,physical,12,13,675.2158082666647,405.49372712412264,1468.104557239051,4.32,0
primary,ND-PW-OFFSET,100,4902971022134724746,physical,12,13,675.2158082666647,405.49372712412264,1468.104557239051,4.32,0
primary,ND-PC,100,4902971022134724746,physical,12,13,675.215808910524,405.4937275746901,1468.1045586170615,4.32,0
primary,ND-PC-NOLP,100,4902971022134724746,derived,12,13,675.215808910524,405.4937275746901,1468.1045586170615,4.32,0
primary,ND-PW,100,7985863793510020389,physical,16,17,610.6543251710708,550.53451984919,1302.6528438562539,5.76,0
primary,ND-PW-OFFSET,100,7985863793510020389,physical,16,17,610.6543251710708,550.53451984919,1302.6528438562539,5.76,0
primary,ND-PC,100,7985863793510020389,physical,16,17,610.6543257583983,550.5345203878777,1302.652845190008,5.76,0
primary,ND-PC-NOLP,100,7985863793510020389,derived,16,17,610.6543257583983,550.5345203878777,1302.652845190008,5.76,0
primary,ND-PW,100,5259580605389323177,physical,16,17,566.811746748993,347.4067153508267,1303.7155845571804,5.76,0
primary,ND-PW-OFFSET,100,5259580605389323177,physical,16,17,566.811746748993,347.4067153508267,1303.7155845571804,5.76,0
primary,ND-PC,100,5259580605389323177,physical,16,17,566.8117472753613,347.4067157462174,1303.7155858184844,5.76,0
primary,ND-PC-NOLP,100,5259580605389323177,derived,16,17,566.8117472753613,347.4067157462174,1303.7155858184844,5.76,0
primary,ND-PW,100,14894895525097951974,physical,15,16,655.4377435445389,339.0579032882682,2023.5607282806682,5.4,0
primary,ND-PW-OFFSET,100,14894895525097951974,physical,15,16,655.4377435445389,339.0579032882682,2023.5607282806682,5.4,0
primary,ND-PC,100,14894895525097951974,physical,15,16,655.4377441508741,339.05790353196176,2023.560730177559,5.4,0
primary,ND-PC-NOLP,100,14894895525097951974,derived,15,16,655.4377441508741,339.05790353196176,2023.560730177559,5.4,0
primary,ND-PW,100,14255052758501613198,physical,27,28,366.4847267732162,262.1811370394982,962.4339368260762,9.72,0
primary,ND-PW-OFFSET,100,14255052758501613198,physical,27,28,366.4847267732162,262.1811370394982,962.4339368260762,9.72,0
primary,ND-PC,100,14255052758501613198,physical,27,28,366.4847270994724,262.18113724472465,962.4339377400761,9.72,0
primary,ND-PC-NOLP,100,14255052758501613198,derived,27,28,366.4847270994724,262.18113724472465,962.4339377400761,9.72,0
primary,ND-PW,100,14970427933435388700,physical,25,26,386.21501091780965,254.31110910359632,915.50738278483,9.0,0
primary,ND-PW-OFFSET,100,14970427933435388700,physical,25,26,386.21501091780965,254.31110910359632,915.50738278483,9.0,0
primary,ND-PC,100,14970427933435388700,physical,25,26,386.215011271063,254.311109302038,915.5073835110924,9.0,0
primary,ND-PC-NOLP,100,14970427933435388700,derived,25,26,386.215011271063,254.311109302038,915.5073835110924,9.0,0
primary,ND-PW,100,6530983822519173908,physical,25,26,396.92932947464396,203.98575576700284,783.4215556130977,9.0,0
primary,ND-PW-OFFSET,100,6530983822519173908,physical,25,26,396.92932947464396,203.98575576700284,783.4215556130977,9.0,0
primary,ND-PC,100,6530983822519173908,physical,25,26,396.92932983920264,203.9857559486076,783.4215563360217,9.0,0
primary,ND-PC-NOLP,100,6530983822519173908,derived,25,26,396.92932983920264,203.9857559486076,783.4215563360217,9.0,0
primary,ND-PW,100,16478255227937338382,physical,18,19,548.8197837377716,507.6421016954162,1160.172515036522,6.48,0
primary,ND-PW-OFFSET,100,16478255227937338382,physical,18,19,548.8197837377716,507.6421016954162,1160.172515036522,6.48,0
primary,ND-PC,100,16478255227937338382,physical,18,19,548.8197842634398,507.64210219345733,1160.1725161059435,6.48,0
primary,ND-PC-NOLP,100,16478255227937338382,derived,18,19,548.8197842634398,507.64210219345733,1160.1725161059435,6.48,0
primary,ND-PW,100,447822293856133746,physical,15,16,660.3978415631601,522.027867957174,1803.144151070737,5.4,0
primary,ND-PW-OFFSET,100,447822293856133746,physical,15,16,660.3978415631601,522.027867957174,1803.144151070737,5.4,0
primary,ND-PC,100,447822293856133746,physical,15,16,660.3978421802761,522.0278685628507,1803.1441529145545,5.4,0
primary,ND-PC-NOLP,100,447822293856133746,derived,15,16,660.3978421802761,522.0278685628507,1803.1441529145545,5.4,0
primary,ND-PW,100,9364596802063509215,physical,18,19,429.06557097547596,330.15834050938133,1124.8464778432394,6.48,0
primary,ND-PW-OFFSET,100,9364596802063509215,physical,18,19,429.06557097547596,330.15834050938133,1124.8464778432394,6.48,0
primary,ND-PC,100,9364596802063509215,physical,18,19,429.06557137335614,330.15834082134376,1124.8464788770775,6.48,0
primary,ND-PC-NOLP,100,9364596802063509215,derived,18,19,429.06557137335614,330.15834082134376,1124.8464788770775,6.48,0
primary,ND-PW,100,6483795830361016413,physical,14,15,612.2154032115612,499.59379397397026,1193.2995271165116,5.04,0
primary,ND-PW-OFFSET,100,6483795830361016413,physical,14,15,612.2154032115612,499.59379397397026,1193.2995271165116,5.04,0
primary,ND-PC,100,6483795830361016413,physical,14,15,612.2154037855976,499.5937944588802,1193.2995282348063,5.04,0
primary,ND-PC-NOLP,100,6483795830361016413,derived,14,15,612.2154037855976,499.5937944588802,1193.2995282348063,5.04,0
primary,ND-PW,100,13726057523507487050,physical,22,23,446.8160371323902,289.44324481423365,954.4721814877993,7.92,0
primary,ND-PW-OFFSET,100,13726057523507487050,physical,22,23,446.8160371323902,289.44324481423365,954.4721814877993,7.92,0
primary,ND-PC,100,13726057523507487050,physical,22,23,446.81603755157914,289.4432450200119,954.4721824158663,7.92,0
primary,ND-PC-NOLP,100,13726057523507487050,derived,22,23,446.81603755157914,289.4432450200119,954.4721824158663,7.92,0
primary,ND-PW,100,592649121540029029,physical,18,19,509.4577869632676,338.5960559282884,1293.5178804386744,6.48,0
primary,ND-PW-OFFSET,100,592649121540029029,physical,18,19,509.4577869632676,338.5960559282884,1293.5178804386744,6.48,0
primary,ND-PC,100,592649121540029029,physical,18,19,509.45778741997606,338.5960562383659,1293.5178816539428,6.48,0
primary,ND-PC-NOLP,100,592649121540029029,derived,18,19,509.45778741997606,338.5960562383659,1293.5178816539428,6.48,0
primary,ND-PW,100,13234303622947097637,physical,22,23,426.08749884960713,301.3590136362575,1005.1510369018777,7.92,0
primary,ND-PW-OFFSET,100,13234303622947097637,physical,22,23,426.08749884960713,301.3590136362575,1005.1510369018777,7.92,0
primary,ND-PC,100,13234303622947097637,physical,22,23,426.0874992374173,301.359013971556,1005.1510378623167,7.92,0
primary,ND-PC-NOLP,100,13234303622947097637,derived,22,23,426.0874992374173,301.359013971556,1005.1510378623167,7.92,0
primary,ND-PW,100,17788360996555233988,physical,16,17,617.0407274975639,531.8498190757454,1330.6770217055055,5.76,0
primary,ND-PW-OFFSET,100,17788360996555233988,physical,16,17,617.0407274975639,531.8498190757454,1330.6770217055055,5.76,0
primary,ND-PC,100,17788360996555233988,physical,16,17,617.0407280813515,531.8498196168206,1330.6770229809513,5.76,0
primary,ND-PC-NOLP,100,17788360996555233988,derived,16,17,617.0407280813515,531.8498196168206,1330.6770229809513,5.76,0
primary,ND-PW,200,467376819415377580,physical,19,20,496.4440449569208,280.2862138582858,1277.5026168824427,6.84,0
primary,ND-PW-OFFSET,200,467376819415377580,physical,19,20,496.4440449569208,280.2862138582858,1277.5026168824427,6.84,0
primary,ND-PC,200,467376819415377580,physical,19,20,496.44405697535024,280.28622065739864,1277.5026477745798,6.84,0
primary,ND-PC-NOLP,200,467376819415377580,derived,19,20,496.44405697535024,280.28622065739864,1277.5026477745798,6.84,0
primary,ND-PW,200,2704408835578762228,physical,22,23,452.7440419975747,223.75125452440028,886.1041841311712,7.92,0
primary,ND-PW-OFFSET,200,2704408835578762228,physical,22,23,452.7440419975747,223.75125452440028,886.1041841311712,7.92,0
primary,ND-PC,200,2704408835578762228,physical,22,23,452.7440529615532,223.7512599700918,886.1042055457575,7.92,0
primary,ND-PC-NOLP,200,2704408835578762228,derived,22,23,452.7440529615532,223.7512599700918,886.1042055457575,7.92,0
primary,ND-PW,200,11237067994138084197,physical,19,20,423.33566635755875,344.4191348354714,918.324473050019,6.84,0
primary,ND-PW-OFFSET,200,11237067994138084197,physical,19,20,423.33566635755875,344.4191348354714,918.324473050019,6.84,0
primary,ND-PC,200,11237067994138084197,physical,19,20,423.33567658648974,344.4191431586727,918.3244953334472,6.84,0
primary,ND-PC-NOLP,200,11237067994138084197,derived,19,20,423.33567658648974,344.4191431586727,918.3244953334472,6.84,0
primary,ND-PW,200,5926412735843326529,physical,11,12,861.147469416098,611.919973145896,2438.259509811691,3.96,0
primary,ND-PW-OFFSET,200,5926412735843326529,physical,11,12,861.147469416098,611.919973145896,2438.259509811691,3.96,0
primary,ND-PC,200,5926412735843326529,physical,11,12,861.1474902629045,611.9199879334528,2438.2595687805615,3.96,0
primary,ND-PC-NOLP,200,5926412735843326529,derived,11,12,861.1474902629045,611.9199879334528,2438.2595687805615,3.96,0
primary,ND-PW,200,5192363207272324882,physical,17,18,560.9930395359411,346.2688891034684,1307.771012238232,6.12,0
primary,ND-PW-OFFSET,200,5192363207272324882,physical,17,18,560.9930395359411,346.2688891034684,1307.771012238232,6.12,0
primary,ND-PC,200,5192363207272324882,physical,17,18,560.9930531032501,346.26889743856026,1307.771043869639,6.12,0
primary,ND-PC-NOLP,200,5192363207272324882,derived,17,18,560.9930531032501,346.26889743856026,1307.771043869639,6.12,0
primary,ND-PW,200,14936110819278713214,physical,17,18,549.8026235559029,480.87398198695,1115.2176664267581,6.12,0
primary,ND-PW-OFFSET,200,14936110819278713214,physical,17,18,549.8026235559029,480.87398198695,1115.2176664267581,6.12,0
primary,ND-PC,200,14936110819278713214,physical,17,18,549.8026368839785,480.87399363297743,1115.2176934162962,6.12,0
primary,ND-PC-NOLP,200,14936110819278713214,derived,17,18,549.8026368839785,480.87399363297743,1115.2176934162962,6.12,0
primary,ND-PW,200,15027284727339452496,physical,14,15,696.9473070958628,488.26695969640843,1983.8214882433263,5.04,0
primary,ND-PW-OFFSET,200,15027284727339452496,physical,14,15,696.9473070958628,488.26695969640843,1983.8214882433263,5.04,0
primary,ND-PC,200,15027284727339452496,physical,14,15,696.9473239794779,488.266971511144,1983.8215362966498,5.04,0
primary,ND-PC-NOLP,200,15027284727339452496,derived,14,15,696.9473239794779,488.266971511144,1983.8215362966498,5.04,0
primary,ND-PW,200,529132900484142986,physical,13,14,767.1232955240816,422.8988678832091,1473.0207510544328,4.680000000000001,0
primary,ND-PW-OFFSET,200,529132900484142986,physical,13,14,767.1232955240816,422.8988678832091,1473.0207510544328,4.680000000000001,0
