N,arm,hashes_per_block_mean
100,ND-PW,1.4063919897398546e+19
100,ND-PC,1.4063919884300499e+19
200,ND-PW,2.8127839794797093e+19
200,ND-PC,2.812783911369871e+19
300,ND-PW,4.2191759692195635e+19
300,ND-PC,4.219175867054807e+19
400,ND-PW,5.6255679589594186e+19
400,ND-PC,5.625567560778845e+19
500,ND-PW,7.031959948699273e+19
500,ND-PC,7.031959614699114e+19
