tag,arm,N,seed,run_kind,template_epochs_completed,header_renewals,nonce_domain_exhaustions,nonce_resets
primary,ND-PC,100,5259580605389323177,physical,54482370555,54482370555,5448237055500,5448237055500
primary,ND-PC-NOLP,100,5259580605389323177,derived,54482370555,54482370555,5448237055500,5448237055500
primary,ND-PW,100,14894895525097951974,physical,54482370000,54482370000,54482370000,54482371600
primary,ND-PW-OFFSET,100,14894895525097951974,physical,54482370000,54482370000,54482370000,0
primary,ND-PC,100,14894895525097951974,physical,54482370556,54482370556,5448237055600,5448237055600
primary,ND-PC-NOLP,100,14894895525097951974,derived,54482370556,54482370556,5448237055600,5448237055600
primary,ND-PW,100,14255052758501613198,physical,54482369200,54482369200,54482369200,54482372000
primary,ND-PW-OFFSET,100,14255052758501613198,physical,54482369200,54482369200,54482369200,0
primary,ND-PC,100,14255052758501613198,physical,54482370552,54482370552,5448237055200,5448237055200
primary,ND-PC-NOLP,100,14255052758501613198,derived,54482370552,54482370552,5448237055200,5448237055200
primary,ND-PW,100,14970427933435388700,physical,54482369300,54482369300,54482369300,54482371900
primary,ND-PW-OFFSET,100,14970427933435388700,physical,54482369300,54482369300,54482369300,0
primary,ND-PC,100,14970427933435388700,physical,54482370554,54482370554,5448237055400,5448237055400
primary,ND-PC-NOLP,100,14970427933435388700,derived,54482370554,54482370554,5448237055400,5448237055400
primary,ND-PW,100,6530983822519173908,physical,54482369000,54482369000,54482369000,54482371600
primary,ND-PW-OFFSET,100,6530983822519173908,physical,54482369000,54482369000,54482369000,0
primary,ND-PC,100,6530983822519173908,physical,54482370552,54482370552,5448237055200,5448237055200
primary,ND-PC-NOLP,100,6530983822519173908,derived,54482370552,54482370552,5448237055200,5448237055200
primary,ND-PW,100,16478255227937338382,physical,54482369600,54482369600,54482369600,54482371500
primary,ND-PW-OFFSET,100,16478255227937338382,physical,54482369600,54482369600,54482369600,0
primary,ND-PC,100,16478255227937338382,physical,54482370555,54482370555,5448237055500,5448237055500
primary,ND-PC-NOLP,100,16478255227937338382,derived,54482370555,54482370555,5448237055500,5448237055500
primary,ND-PW,100,447822293856133746,physical,54482369700,54482369700,54482369700,54482371300
primary,ND-PW-OFFSET,100,447822293856133746,physical,54482369700,54482369700,54482369700,0
primary,ND-PC,100,447822293856133746,physical,54482370557,54482370557,5448237055700,5448237055700
primary,ND-PC-NOLP,100,447822293856133746,derived,54482370557,54482370557,5448237055700,5448237055700
primary,ND-PW,100,9364596802063509215,physical,54482369500,54482369500,54482369500,54482371400
primary,ND-PW-OFFSET,100,9364596802063509215,physical,54482369500,54482369500,54482369500,0
primary,ND-PC,100,9364596802063509215,physical,54482370555,54482370555,5448237055500,5448237055500
primary,ND-PC-NOLP,100,9364596802063509215,derived,54482370555,54482370555,5448237055500,5448237055500
primary,ND-PW,100,6483795830361016413,physical,54482370000,54482370000,54482370000,54482371500
primary,ND-PW-OFFSET,100,6483795830361016413,physical,54482370000,54482370000,54482370000,0
primary,ND-PC,100,6483795830361016413,physical,54482370558,54482370558,5448237055800,5448237055800
primary,ND-PC-NOLP,100,6483795830361016413,derived,54482370558,54482370558,5448237055800,5448237055800
primary,ND-PW,100,13726057523507487050,physical,54482369500,54482369500,54482369500,54482371800
primary,ND-PW-OFFSET,100,13726057523507487050,physical,54482369500,54482369500,54482369500,0
primary,ND-PC,100,13726057523507487050,physical,54482370553,54482370553,5448237055300,5448237055300
primary,ND-PC-NOLP,100,13726057523507487050,derived,54482370553,54482370553,5448237055300,5448237055300
primary,ND-PW,100,592649121540029029,physical,54482369600,54482369600,54482369600,54482371500
primary,ND-PW-OFFSET,100,592649121540029029,physical,54482369600,54482369600,54482369600,0
primary,ND-PC,100,592649121540029029,physical,54482370555,54482370555,5448237055500,5448237055500
primary,ND-PC-NOLP,100,592649121540029029,derived,54482370555,54482370555,5448237055500,5448237055500
primary,ND-PW,100,13234303622947097637,physical,54482369500,54482369500,54482369500,54482371800
primary,ND-PW-OFFSET,100,13234303622947097637,physical,54482369500,54482369500,54482369500,0
primary,ND-PC,100,13234303622947097637,physical,54482370553,54482370553,5448237055300,5448237055300
primary,ND-PC-NOLP,100,13234303622947097637,derived,54482370553,54482370553,5448237055300,5448237055300
primary,ND-PW,100,17788360996555233988,physical,54482369700,54482369700,54482369700,54482371400
primary,ND-PW-OFFSET,100,17788360996555233988,physical,54482369700,54482369700,54482369700,0
primary,ND-PC,100,17788360996555233988,physical,54482370555,54482370555,5448237055500,5448237055500
primary,ND-PC-NOLP,100,17788360996555233988,derived,54482370555,54482370555,5448237055500,5448237055500
primary,ND-PW,200,467376819415377580,physical,108964739200,108964739200,108964739200,108964743200
primary,ND-PW-OFFSET,200,467376819415377580,physical,108964739200,108964739200,108964739200,0
primary,ND-PC,200,467376819415377580,physical,108964738581,108964738581,21792947716200,21792947716200
primary,ND-PC-NOLP,200,467376819415377580,derived,108964738581,108964738581,21792947716200,21792947716200
primary,ND-PW,200,2704408835578762228,physical,108964739200,108964739200,108964739200,108964743800
primary,ND-PW-OFFSET,200,2704408835578762228,physical,108964739200,108964739200,108964739200,0
primary,ND-PC,200,2704408835578762228,physical,108964738579,108964738579,21792947715800,21792947715800
primary,ND-PC-NOLP,200,2704408835578762228,derived,108964738579,108964738579,21792947715800,21792947715800
primary,ND-PW,200,11237067994138084197,physical,108964739000,108964739000,108964739000,108964743000
