N,miner_hashrate_THs,miner_power_W,aggregate_hashrate_THs,aggregate_power_W,difficulty_D_N,q
100,234.0,3510.0,23400.0,351000.0,3268942236.9003296,7.122507122507123e-20
200,234.0,3510.0,46800.0,702000.0,6537884473.800659,3.5612535612535614e-20
300,234.0,3510.0,70200.0,1053000.0,9806826710.700989,2.3741690408357075e-20
400,234.0,3510.0,93600.0,1404000.0,13075768947.601318,1.7806267806267807e-20
500,234.0,3510.0,117000.0,1755000.0,16344711184.501648,1.4245014245014244e-20
