N,t_full_sweep_s,full_sweeps_per_second,range_nonces_min,range_nonces_max,t_range_sweep_s,range_sweeps_per_second,full_sweeps_per_600s,pc_epochs_per_600s
100,1.8354561094017095e-05,54482.37061500549,42949672,42949673,1.8354561111111112e-07,5448237.056426483,32689422.369003296,3268942233.85589
200,1.8354561094017095e-05,54482.37061500549,21474836,21474837,9.177280769230769e-08,10896473.859149665,32689422.369003296,6537884315.489799
300,1.8354561094017095e-05,54482.37061500549,14316557,14316558,6.118187179487179e-08,16344710.788724497,32689422.369003296,9806826473.2347
400,1.8354561094017095e-05,54482.37061500549,10737418,10737419,4.5886405982905984e-08,21792946.703486193,32689422.369003296,13075768022.091715
500,1.8354561094017095e-05,54482.37061500549,8589934,8589935,3.6709123931623935e-08,27241184.013615932,32689422.369003296,16344710408.16956
