tag,arm,N,seed,run_kind,T_active_s,T_low_s,F_low
primary,ND-PC,100,14894895525097951974,physical,999999.9990686774,0.0009313225736068376,9.313225736068376e-10
primary,ND-PC-NOLP,100,14894895525097951974,derived,1000000.0,0.0,0.0
primary,ND-PW,100,14255052758501613198,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,14255052758501613198,physical,1000000.0,0.0,0.0
primary,ND-PC,100,14255052758501613198,physical,999999.9990686774,0.0009313225735384616,9.313225735384615e-10
primary,ND-PC-NOLP,100,14255052758501613198,derived,1000000.0,0.0,0.0
primary,ND-PW,100,14970427933435388700,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,14970427933435388700,physical,1000000.0,0.0,0.0
primary,ND-PC,100,14970427933435388700,physical,999999.9990686774,0.0009313225735726496,9.313225735726496e-10
primary,ND-PC-NOLP,100,14970427933435388700,derived,1000000.0,0.0,0.0
primary,ND-PW,100,6530983822519173908,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,6530983822519173908,physical,1000000.0,0.0,0.0
primary,ND-PC,100,6530983822519173908,physical,999999.9990686774,0.0009313225735384616,9.313225735384615e-10
primary,ND-PC-NOLP,100,6530983822519173908,derived,1000000.0,0.0,0.0
primary,ND-PW,100,16478255227937338382,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,16478255227937338382,physical,1000000.0,0.0,0.0
primary,ND-PC,100,16478255227937338382,physical,999999.9990686774,0.0009313225735897436,9.313225735897435e-10
primary,ND-PC-NOLP,100,16478255227937338382,derived,1000000.0,0.0,0.0
primary,ND-PW,100,447822293856133746,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,447822293856133746,physical,1000000.0,0.0,0.0
primary,ND-PC,100,447822293856133746,physical,999999.9990686774,0.0009313225736239316,9.313225736239316e-10
primary,ND-PC-NOLP,100,447822293856133746,derived,1000000.0,0.0,0.0
primary,ND-PW,100,9364596802063509215,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,9364596802063509215,physical,1000000.0,0.0,0.0
primary,ND-PC,100,9364596802063509215,physical,999999.9990686774,0.0009313225735897436,9.313225735897435e-10
primary,ND-PC-NOLP,100,9364596802063509215,derived,1000000.0,0.0,0.0
primary,ND-PW,100,6483795830361016413,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,6483795830361016413,physical,1000000.0,0.0,0.0
primary,ND-PC,100,6483795830361016413,physical,999999.9990686774,0.0009313225736410257,9.313225736410256e-10
primary,ND-PC-NOLP,100,6483795830361016413,derived,1000000.0,0.0,0.0
primary,ND-PW,100,13726057523507487050,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,13726057523507487050,physical,1000000.0,0.0,0.0
primary,ND-PC,100,13726057523507487050,physical,999999.9990686774,0.0009313225735555555,9.313225735555555e-10
primary,ND-PC-NOLP,100,13726057523507487050,derived,1000000.0,0.0,0.0
primary,ND-PW,100,592649121540029029,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,592649121540029029,physical,1000000.0,0.0,0.0
primary,ND-PC,100,592649121540029029,physical,999999.9990686774,0.0009313225735897436,9.313225735897435e-10
primary,ND-PC-NOLP,100,592649121540029029,derived,1000000.0,0.0,0.0
primary,ND-PW,100,13234303622947097637,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,13234303622947097637,physical,1000000.0,0.0,0.0
primary,ND-PC,100,13234303622947097637,physical,999999.9990686774,0.0009313225735555555,9.313225735555555e-10
primary,ND-PC-NOLP,100,13234303622947097637,derived,1000000.0,0.0,0.0
primary,ND-PW,100,17788360996555233988,physical,1000000.0,0.0,0.0
primary,ND-PW-OFFSET,100,17788360996555233988,physical,1000000.0,0.0,0.0
primary,ND-PC,100,17788360996555233988,physical,999999.9990686774,0.0009313225735897436,9.313225735897435e-10
primary,ND-PC-NOLP,100,17788360996555233988,derived,1000000.0,0.0,0.0
primary,ND-PW,200,467376819415377580,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,467376819415377580,physical,2000000.0,0.0,0.0
primary,ND-PC,200,467376819415377580,physical,1999999.9515712273,0.04842877270266667,2.4214386351333333e-08
primary,ND-PC-NOLP,200,467376819415377580,derived,2000000.0,0.0,0.0
primary,ND-PW,200,2704408835578762228,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,2704408835578762228,physical,2000000.0,0.0,0.0
primary,ND-PC,200,2704408835578762228,physical,1999999.9515712273,0.04842877270177778,2.421438635088889e-08
primary,ND-PC-NOLP,200,2704408835578762228,derived,2000000.0,0.0,0.0
primary,ND-PW,200,11237067994138084197,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,11237067994138084197,physical,2000000.0,0.0,0.0
primary,ND-PC,200,11237067994138084197,physical,1999999.9515712273,0.048428772704,2.4214386352e-08
primary,ND-PC-NOLP,200,11237067994138084197,derived,2000000.0,0.0,0.0
primary,ND-PW,200,5926412735843326529,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,5926412735843326529,physical,2000000.0,0.0,0.0
primary,ND-PC,200,5926412735843326529,physical,1999999.9515712273,0.04842877270488889,2.4214386352444445e-08
primary,ND-PC-NOLP,200,5926412735843326529,derived,2000000.0,0.0,0.0
primary,ND-PW,200,5192363207272324882,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,5192363207272324882,physical,2000000.0,0.0,0.0
primary,ND-PC,200,5192363207272324882,physical,1999999.9515712273,0.04842877270444444,2.421438635222222e-08
primary,ND-PC-NOLP,200,5192363207272324882,derived,2000000.0,0.0,0.0
primary,ND-PW,200,14936110819278713214,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,14936110819278713214,physical,2000000.0,0.0,0.0
primary,ND-PC,200,14936110819278713214,physical,1999999.9515712273,0.04842877270266667,2.4214386351333333e-08
primary,ND-PC-NOLP,200,14936110819278713214,derived,2000000.0,0.0,0.0
primary,ND-PW,200,15027284727339452496,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,15027284727339452496,physical,2000000.0,0.0,0.0
primary,ND-PC,200,15027284727339452496,physical,1999999.9515712273,0.048428772704,2.4214386352e-08
primary,ND-PC-NOLP,200,15027284727339452496,derived,2000000.0,0.0,0.0
primary,ND-PW,200,529132900484142986,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,529132900484142986,physical,2000000.0,0.0,0.0
primary,ND-PC,200,529132900484142986,physical,1999999.9515712273,0.04842877270444444,2.421438635222222e-08
primary,ND-PC-NOLP,200,529132900484142986,derived,2000000.0,0.0,0.0
primary,ND-PW,200,8583420154531566926,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,8583420154531566926,physical,2000000.0,0.0,0.0
primary,ND-PC,200,8583420154531566926,physical,1999999.9515712273,0.048428772704,2.4214386352e-08
primary,ND-PC-NOLP,200,8583420154531566926,derived,2000000.0,0.0,0.0
primary,ND-PW,200,16465068975321571430,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,16465068975321571430,physical,2000000.0,0.0,0.0
primary,ND-PC,200,16465068975321571430,physical,1999999.9515712273,0.04842877270488889,2.4214386352444445e-08
primary,ND-PC-NOLP,200,16465068975321571430,derived,2000000.0,0.0,0.0
primary,ND-PW,200,1580318165844385263,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,1580318165844385263,physical,2000000.0,0.0,0.0
primary,ND-PC,200,1580318165844385263,physical,1999999.9515712273,0.04842877270444444,2.421438635222222e-08
primary,ND-PC-NOLP,200,1580318165844385263,derived,2000000.0,0.0,0.0
primary,ND-PW,200,860680765458012691,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,860680765458012691,physical,2000000.0,0.0,0.0
primary,ND-PC,200,860680765458012691,physical,1999999.9515712273,0.048428772701333334,2.4214386350666665e-08
primary,ND-PC-NOLP,200,860680765458012691,derived,2000000.0,0.0,0.0
primary,ND-PW,200,405674777376978405,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,405674777376978405,physical,2000000.0,0.0,0.0
primary,ND-PC,200,405674777376978405,physical,1999999.9515712273,0.04842877270266667,2.4214386351333333e-08
primary,ND-PC-NOLP,200,405674777376978405,derived,2000000.0,0.0,0.0
primary,ND-PW,200,5516199827559636311,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,5516199827559636311,physical,2000000.0,0.0,0.0
primary,ND-PC,200,5516199827559636311,physical,1999999.9515712273,0.048428772703555556,2.4214386351777777e-08
primary,ND-PC-NOLP,200,5516199827559636311,derived,2000000.0,0.0,0.0
primary,ND-PW,200,676253669661655881,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,676253669661655881,physical,2000000.0,0.0,0.0
primary,ND-PC,200,676253669661655881,physical,1999999.9515712273,0.048428772704,2.4214386352e-08
primary,ND-PC-NOLP,200,676253669661655881,derived,2000000.0,0.0,0.0
primary,ND-PW,200,4902971022134724746,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,4902971022134724746,physical,2000000.0,0.0,0.0
primary,ND-PC,200,4902971022134724746,physical,1999999.9515712273,0.04842877270311111,2.4214386351555557e-08
primary,ND-PC-NOLP,200,4902971022134724746,derived,2000000.0,0.0,0.0
primary,ND-PW,200,7985863793510020389,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,7985863793510020389,physical,2000000.0,0.0,0.0
primary,ND-PC,200,7985863793510020389,physical,1999999.9515712273,0.048428772704,2.4214386352e-08
primary,ND-PC-NOLP,200,7985863793510020389,derived,2000000.0,0.0,0.0
primary,ND-PW,200,5259580605389323177,physical,2000000.0,0.0,0.0
primary,ND-PW-OFFSET,200,5259580605389323177,physical,2000000.0,0.0,0.0
primary,ND-PC,200,5259580605389323177,physical,1999999.9515712273,0.048428772703555556,2.4214386351777777e-08
