tag,arm,N,seed,run_kind,alpha_case,alpha,energy_J,energy_kWh,saving_vs_ND_PW,energy_per_block_J
primary,ND-PW-OFFSET,100,5926412735843326529,physical,LP25,0.25,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PW-OFFSET,100,5926412735843326529,physical,LP50,0.5,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PC,100,5926412735843326529,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,319090908.7937325
primary,ND-PC,100,5926412735843326529,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,319090908.82345015
primary,ND-PC,100,5926412735843326529,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,319090908.8680267
primary,ND-PC,100,5926412735843326529,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,319090908.9423208
primary,ND-PC-NOLP,100,5926412735843326529,derived,LP0,0.0,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PC-NOLP,100,5926412735843326529,derived,LP10,0.1,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PC-NOLP,100,5926412735843326529,derived,LP25,0.25,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PC-NOLP,100,5926412735843326529,derived,LP50,0.5,3510000000.0,975.0,0.0,319090909.09090906
primary,ND-PW,100,5192363207272324882,physical,LP0,0.0,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW,100,5192363207272324882,physical,LP10,0.1,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW,100,5192363207272324882,physical,LP25,0.25,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW,100,5192363207272324882,physical,LP50,0.5,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW-OFFSET,100,5192363207272324882,physical,LP0,0.0,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW-OFFSET,100,5192363207272324882,physical,LP10,0.1,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW-OFFSET,100,5192363207272324882,physical,LP25,0.25,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW-OFFSET,100,5192363207272324882,physical,LP50,0.5,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PC,100,5192363207272324882,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,206470588.04300338
primary,ND-PC,100,5192363207272324882,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,206470588.06223246
primary,ND-PC,100,5192363207272324882,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,206470588.09107608
primary,ND-PC,100,5192363207272324882,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,206470588.13914877
primary,ND-PC-NOLP,100,5192363207272324882,derived,LP0,0.0,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PC-NOLP,100,5192363207272324882,derived,LP10,0.1,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PC-NOLP,100,5192363207272324882,derived,LP25,0.25,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PC-NOLP,100,5192363207272324882,derived,LP50,0.5,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW,100,14936110819278713214,physical,LP0,0.0,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW,100,14936110819278713214,physical,LP10,0.1,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW,100,14936110819278713214,physical,LP25,0.25,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW,100,14936110819278713214,physical,LP50,0.5,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW-OFFSET,100,14936110819278713214,physical,LP0,0.0,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW-OFFSET,100,14936110819278713214,physical,LP10,0.1,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW-OFFSET,100,14936110819278713214,physical,LP25,0.25,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW-OFFSET,100,14936110819278713214,physical,LP50,0.5,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PC,100,14936110819278713214,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,206470588.04300338
primary,ND-PC,100,14936110819278713214,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,206470588.06223246
primary,ND-PC,100,14936110819278713214,physical,LP25,0.25,3509999997.548293,974.9999993189703,6.984920419839113e-10,206470588.09107608
primary,ND-PC,100,14936110819278713214,physical,LP50,0.5,3509999998.365529,974.9999995459802,4.656612873077393e-10,206470588.13914877
primary,ND-PC-NOLP,100,14936110819278713214,derived,LP0,0.0,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PC-NOLP,100,14936110819278713214,derived,LP10,0.1,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PC-NOLP,100,14936110819278713214,derived,LP25,0.25,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PC-NOLP,100,14936110819278713214,derived,LP50,0.5,3510000000.0,975.0,0.0,206470588.2352941
primary,ND-PW,100,15027284727339452496,physical,LP0,0.0,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PW,100,15027284727339452496,physical,LP10,0.1,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PW,100,15027284727339452496,physical,LP25,0.25,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PW,100,15027284727339452496,physical,LP50,0.5,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PW-OFFSET,100,15027284727339452496,physical,LP0,0.0,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PW-OFFSET,100,15027284727339452496,physical,LP10,0.1,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PW-OFFSET,100,15027284727339452496,physical,LP25,0.25,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PW-OFFSET,100,15027284727339452496,physical,LP50,0.5,3510000000.0,975.0,0.0,250714285.7142857
primary,ND-PC,100,15027284727339452496,physical,LP0,0.0,3509999996.7310576,974.9999990919605,9.313225746154785e-10,250714285.48078984
primary,ND-PC,100,15027284727339452496,physical,LP10,0.1,3509999997.057952,974.9999991827644,8.381902949494702e-10,250714285.50413942
