tag,arm,N,seed,run_kind,W_total,hashes_per_block,W_unique_exact_secondary,exact_duplicates_secondary
primary,ND-PC-NOLP,100,676253669661655881,derived,233999999782070517772,1.2999999987892806e+19,233999999782070517772,0
primary,ND-PW,100,4902971022134724746,physical,234000000000000000000,1.95e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,4902971022134724746,physical,234000000000000000000,1.95e+19,234000000000000000000,0
primary,ND-PC,100,4902971022134724746,physical,233999999782070517776,1.949999998183921e+19,233999999782070517776,0
primary,ND-PC-NOLP,100,4902971022134724746,derived,233999999782070517776,1.949999998183921e+19,233999999782070517776,0
primary,ND-PW,100,7985863793510020389,physical,234000000000000000000,1.4625e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,7985863793510020389,physical,234000000000000000000,1.4625e+19,234000000000000000000,0
primary,ND-PC,100,7985863793510020389,physical,233999999782070517776,1.4624999986379407e+19,233999999782070517776,0
primary,ND-PC-NOLP,100,7985863793510020389,derived,233999999782070517776,1.4624999986379407e+19,233999999782070517776,0
primary,ND-PW,100,5259580605389323177,physical,234000000000000000000,1.4625e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,5259580605389323177,physical,234000000000000000000,1.4625e+19,234000000000000000000,0
primary,ND-PC,100,5259580605389323177,physical,233999999782070517780,1.4624999986379407e+19,233999999782070517780,0
primary,ND-PC-NOLP,100,5259580605389323177,derived,233999999782070517780,1.4624999986379407e+19,233999999782070517780,0
primary,ND-PW,100,14894895525097951974,physical,234000000000000000000,1.56e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,14894895525097951974,physical,234000000000000000000,1.56e+19,234000000000000000000,0
primary,ND-PC,100,14894895525097951974,physical,233999999782070517776,1.5599999985471367e+19,233999999782070517776,0
primary,ND-PC-NOLP,100,14894895525097951974,derived,233999999782070517776,1.5599999985471367e+19,233999999782070517776,0
primary,ND-PW,100,14255052758501613198,physical,234000000000000000000,8.666666666666667e+18,234000000000000000000,0
primary,ND-PW-OFFSET,100,14255052758501613198,physical,234000000000000000000,8.666666666666667e+18,234000000000000000000,0
primary,ND-PC,100,14255052758501613198,physical,233999999782070517792,8.666666658595204e+18,233999999782070517792,0
primary,ND-PC-NOLP,100,14255052758501613198,derived,233999999782070517792,8.666666658595204e+18,233999999782070517792,0
primary,ND-PW,100,14970427933435388700,physical,234000000000000000000,9.36e+18,234000000000000000000,0
primary,ND-PW-OFFSET,100,14970427933435388700,physical,234000000000000000000,9.36e+18,234000000000000000000,0
primary,ND-PC,100,14970427933435388700,physical,233999999782070517784,9.359999991282821e+18,233999999782070517784,0
primary,ND-PC-NOLP,100,14970427933435388700,derived,233999999782070517784,9.359999991282821e+18,233999999782070517784,0
primary,ND-PW,100,6530983822519173908,physical,234000000000000000000,9.36e+18,234000000000000000000,0
primary,ND-PW-OFFSET,100,6530983822519173908,physical,234000000000000000000,9.36e+18,234000000000000000000,0
primary,ND-PC,100,6530983822519173908,physical,233999999782070517792,9.359999991282821e+18,233999999782070517792,0
primary,ND-PC-NOLP,100,6530983822519173908,derived,233999999782070517792,9.359999991282821e+18,233999999782070517792,0
primary,ND-PW,100,16478255227937338382,physical,234000000000000000000,1.3e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,16478255227937338382,physical,234000000000000000000,1.3e+19,234000000000000000000,0
primary,ND-PC,100,16478255227937338382,physical,233999999782070517780,1.2999999987892806e+19,233999999782070517780,0
primary,ND-PC-NOLP,100,16478255227937338382,derived,233999999782070517780,1.2999999987892806e+19,233999999782070517780,0
primary,ND-PW,100,447822293856133746,physical,234000000000000000000,1.56e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,447822293856133746,physical,234000000000000000000,1.56e+19,234000000000000000000,0
primary,ND-PC,100,447822293856133746,physical,233999999782070517772,1.5599999985471367e+19,233999999782070517772,0
primary,ND-PC-NOLP,100,447822293856133746,derived,233999999782070517772,1.5599999985471367e+19,233999999782070517772,0
primary,ND-PW,100,9364596802063509215,physical,234000000000000000000,1.3e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,9364596802063509215,physical,234000000000000000000,1.3e+19,234000000000000000000,0
primary,ND-PC,100,9364596802063509215,physical,233999999782070517780,1.2999999987892806e+19,233999999782070517780,0
primary,ND-PC-NOLP,100,9364596802063509215,derived,233999999782070517780,1.2999999987892806e+19,233999999782070517780,0
primary,ND-PW,100,6483795830361016413,physical,234000000000000000000,1.6714285714285713e+19,234000000000000000000,0
primary,ND-PW-OFFSET,100,6483795830361016413,physical,234000000000000000000,1.6714285714285713e+19,234000000000000000000,0
primary,ND-PC,100,6483795830361016413,physical,233999999782070517768,1.6714285698719322e+19,233999999782070517768,0
