tag,arm,N,seed,run_kind,per_miner_domain_size,per_miner_domain_size_max,C_nonce,U_nonce_run,R_nonce,rho_nonce,cross_miner_m_max,cross_miner_M_ge2,rho_exact_secondary,domain_sweeps_per_miner
primary,ND-PC-NOLP,100,16465068975321571430,derived,42949672,42949673,233999999782070517760,4294967296,233999999777775550464,0.9999999999816455,1,0,0.0,544823705.6
primary,ND-PW,100,1580318165844385263,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823700.0
primary,ND-PW-OFFSET,100,1580318165844385263,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823700.0
primary,ND-PC,100,1580318165844385263,physical,42949672,42949673,233999999782070517768,4294967296,233999999777775550472,0.9999999999816455,1,0,0.0,544823705.58
primary,ND-PC-NOLP,100,1580318165844385263,derived,42949672,42949673,233999999782070517768,4294967296,233999999777775550472,0.9999999999816455,1,0,0.0,544823705.58
primary,ND-PW,100,860680765458012691,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823690.0
primary,ND-PW-OFFSET,100,860680765458012691,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823690.0
primary,ND-PC,100,860680765458012691,physical,42949672,42949673,233999999782070517804,4294967296,233999999777775550508,0.9999999999816455,1,0,0.0,544823705.49
primary,ND-PC-NOLP,100,860680765458012691,derived,42949672,42949673,233999999782070517804,4294967296,233999999777775550508,0.9999999999816455,1,0,0.0,544823705.49
primary,ND-PW,100,405674777376978405,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823693.0
primary,ND-PW-OFFSET,100,405674777376978405,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823693.0
primary,ND-PC,100,405674777376978405,physical,42949672,42949673,233999999782070517784,4294967296,233999999777775550488,0.9999999999816455,1,0,0.0,544823705.54
primary,ND-PC-NOLP,100,405674777376978405,derived,42949672,42949673,233999999782070517784,4294967296,233999999777775550488,0.9999999999816455,1,0,0.0,544823705.54
primary,ND-PW,100,5516199827559636311,physical,4294967296,4294967296,234000000000000000000,4294967296,233999999995705032704,0.9999999999816455,100,4294967296,0.0,544823697.0
