tag,arm,N,seed,run_kind,rounds,accepted_blocks,W_total,t_active_miner_s,t_low_miner_s,F_low,state_time_conservation_rel,work_identity_rel
primary,ND-PC,100,405674777376978405,physical,22,21,233999999782070517784,999999.9990686774,0.0009313225735726496,9.313225735726496e-10,0.0,0.0
primary,ND-PC-NOLP,100,405674777376978405,derived,22,21,233999999782070517784,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,5516199827559636311,physical,16,15,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,5516199827559636311,physical,16,15,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,5516199827559636311,physical,16,15,233999999782070517780,999999.9990686774,0.0009313225735897436,9.313225735897435e-10,0.0,0.0
primary,ND-PC-NOLP,100,5516199827559636311,derived,16,15,233999999782070517780,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,676253669661655881,physical,19,18,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,676253669661655881,physical,19,18,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,676253669661655881,physical,19,18,233999999782070517772,999999.9990686774,0.0009313225736239316,9.313225736239316e-10,0.0,0.0
primary,ND-PC-NOLP,100,676253669661655881,derived,19,18,233999999782070517772,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,4902971022134724746,physical,13,12,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,4902971022134724746,physical,13,12,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,4902971022134724746,physical,13,12,233999999782070517776,999999.9990686774,0.0009313225736068376,9.313225736068376e-10,0.0,0.0
primary,ND-PC-NOLP,100,4902971022134724746,derived,13,12,233999999782070517776,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,7985863793510020389,physical,17,16,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,7985863793510020389,physical,17,16,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,7985863793510020389,physical,17,16,233999999782070517776,999999.9990686774,0.0009313225736068376,9.313225736068376e-10,0.0,0.0
primary,ND-PC-NOLP,100,7985863793510020389,derived,17,16,233999999782070517776,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,5259580605389323177,physical,17,16,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW-OFFSET,100,5259580605389323177,physical,17,16,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PC,100,5259580605389323177,physical,17,16,233999999782070517780,999999.9990686774,0.0009313225735897436,9.313225735897435e-10,0.0,0.0
primary,ND-PC-NOLP,100,5259580605389323177,derived,17,16,233999999782070517780,1000000.0,0.0,0.0,0.0,0.0
primary,ND-PW,100,14894895525097951974,physical,16,15,234000000000000000000,1000000.0,0.0,0.0,0.0,0.0
