M,N,accepted_block_interval_s,accepted_blocks,active_miner_seconds,co2_kg,duplicate_header_evaluations,empty_rounds,energy_fairness_cv,energy_per_accepted_block_kwh,energy_per_tx_kwh,exhausted_templates,hardware,idle_miner_seconds,idle_ratio,mean_discovery_time_s,mean_post_discovery_idle_s,median_discovery_time_s,n_rounds,p_success,pct_time_active,per_miner_energy_kwh_max,per_miner_energy_kwh_min,placement,protocol,round_seconds,seed,sim_seconds,sleep_miner_seconds,sleep_ratio,throughput_tx_per_s,total_attempts,total_energy_j,total_energy_kwh,total_hashes,unique_candidate_evaluations,use_sleep,winner_max_share,workload_fairness_cv
846000000000000,100,685.7142857142857,15,549390.512734478,2.058715044479953,766894216726058751,2,4.499614158139179e-16,0.3084217295101053,0.00015421086475505264,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,470609.48726552184,0.0,286.2603418229857,313.73965817701406,246.36495779490087,17,2.364066193853428e-15,53.86181497396843,0.046263259426515886,0.046263259426515886,last,common_template_duplicate_pow,600.0,0,10200.0,0.0,0.0,2.9411764705882355,774640622955614900,16654773.393545685,4.6263259426515795,7.746406229556141e+17,7746406229556149,False,1.0,0.0
846000000000000,100,685.7142857142857,15,465676.72157488985,1.7450167965198717,650038135646387565,2,1.0617001945414433e-15,0.2614257373063478,0.00013071286865317392,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,554323.2784251102,0.0,230.45114771659283,369.5488522834073,242.43045807233648,17,2.364066193853428e-15,45.65458054655783,0.03921386059595213,0.03921386059595213,last,common_template_duplicate_pow,600.0,8,10200.0,0.0,0.0,2.9411764705882355,656604177420593500,14116989.814542782,3.9213860595952172,6.566041774205948e+17,6566041774205935,False,1.0,0.0
846000000000000,100,685.7142857142857,15,513915.790776844,1.9257816535674996,717375052345395213,2,8.017024623530328e-16,0.2885066147666666,0.0001442533073833333,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,506084.209223156,0.0,262.61052718456205,337.3894728154377,252.58459727092077,17,2.364066193853428e-15,50.383901056553334,0.04327599221499999,0.04327599221499999,last,common_template_duplicate_pow,600.0,4,10200.0,0.0,0.0,2.9411764705882355,724621264995348700,15579357.197399996,4.327599221499999,7.246212649953489e+17,7246212649953487,False,1.0,0.0
846000000000000,100,685.7142857142857,15,479552.42528125405,1.7970128163107022,669407230450101825,2,1.7183003700430135e-15,0.26921540319261456,0.00013460770159630728,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,540447.5747187459,0.0,239.70161685416915,360.2983831458311,161.71591751578126,17,2.364066193853428e-15,47.01494365502491,0.04038231047889224,0.04038231047889224,last,common_template_duplicate_pow,600.0,1,10200.0,0.0,0.0,2.9411764705882355,676168919646567500,14537631.772401188,4.0382310478892185,6.761689196465668e+17,6761689196465675,False,1.0,0.0
846000000000000,100,685.7142857142857,15,395310.0154527503,1.4813336910306398,551813250570493428,2,1.0422391004589823e-15,0.22192265034166886,0.00011096132517083443,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,624689.98454725,0.0,183.54001030183318,416.4599896981669,159.23250191196803,17,2.364066193853428e-15,38.7558838679167,0.03328839755125031,0.03328839755125031,last,common_template_duplicate_pow,600.0,9,10200.0,0.0,0.0,2.9411764705882355,557387121788377200,11983823.118450118,3.328839755125033,5.5738712178837754e+17,5573871217883772,False,1.0,0.0
846000000000000,100,692.3076923076923,14,475498.4289635742,1.7818213941510248,663748256990253600,3,2.2528352934739243e-15,0.2860066443260072,0.0001430033221630036,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,544501.5710364258,0.0,211.07030640255329,388.9296935974472,175.31292157390135,17,2.364066193853428e-15,46.61749303564453,0.04004093020564101,0.04004093020564101,last,common_template_duplicate_pow,600.0,5,10200.0,0.0,0.0,2.7450980392156863,670452784838640000,14414734.874030761,4.004093020564101,6.704527848386418e+17,6704527848386400,False,1.0,0.0
846000000000000,100,738.4615384615385,14,417116.9067753756,1.5630500188495802,582253490167746507,3,5.926504750330447e-16,0.2508908537479262,0.0001254454268739631,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,602883.0932246248,0.0,169.369219125268,430.6307808747319,110.83429052214296,17,2.364066193853428e-15,40.89381438974271,0.03512471952470972,0.03512471952470972,last,common_template_duplicate_pow,600.0,12,10200.0,0.0,0.0,2.7450980392156863,588134838553279300,12644899.02889548,3.5124719524709667,5.881348385532796e+17,5881348385532793,False,1.0,0.0
846000000000000,100,640.0,16,406811.1202406624,1.5244314455534906,567867642743940165,1,1.4178830129565563e-15,0.21410554010582733,0.00010705277005291366,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,613188.8797593379,0.0,216.7569501504138,383.2430498495862,124.66279301787608,17,2.364066193853428e-15,39.883443160849254,0.03425688641693242,0.03425688641693242,last,common_template_duplicate_pow,600.0,3,10200.0,0.0,0.0,3.1372549019607843,573603679539333500,12332479.110095654,3.4256886416932373,5.736036795393341e+17,5736036795393335,False,1.0,0.0
846000000000000,100,642.8571428571429,15,517073.70196458657,1.9376152020555901,721783180572366429,2,4.780837470664304e-16,0.29027943101956405,0.00014513971550978203,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,502926.29803541343,0.0,264.71580130972444,335.2841986902755,237.70022153969512,17,2.364066193853428e-15,50.69350019260653,0.043541914652934575,0.043541914652934575,last,common_template_duplicate_pow,600.0,11,10200.0,0.0,0.0,2.9411764705882355,729073919770067100,15675089.275056459,4.354191465293461,7.290739197700686e+17,7290739197700671,False,1.0,0.0
846000000000000,100,738.4615384615385,14,405530.1852025619,1.5196314350458273,566079585524256969,3,1.0159725957319365e-15,0.24392157865904132,0.00012196078932952065,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,614469.8147974374,0.0,161.09298943040176,438.9070105695984,138.0323692678553,17,2.364066193853428e-15,39.757861294368816,0.03414902101226578,0.03414902101226578,last,common_template_duplicate_pow,600.0,13,10200.0,0.0,0.0,2.7450980392156863,571797561135613100,12293647.564415682,3.4149021012265783,5.717975611356144e+17,5717975611356131,False,1.0,0.0
846000000000000,100,640.0,16,321060.5914570765,1.203100990099854,448168479614933715,1,2.438213767601761e-15,0.16897485816009183,8.448742908004591e-05,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,698939.4085429248,0.0,163.1628696606731,436.8371303393267,125.53359721701554,17,2.364066193853428e-15,31.476528574223185,0.027035977305614693,0.027035977305614693,last,common_template_duplicate_pow,600.0,14,10200.0,0.0,0.0,3.1372549019607843,452695433954478500,9732951.83002129,2.7035977305614693,4.5269543395447834e+17,4526954339544785,False,1.0,0.0
846000000000000,100,738.4615384615385,14,390260.2879013401,1.4624109942609638,544764335881481298,3,1.266870038322908e-15,0.2347369172168481,0.00011736845860842406,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,629739.7120986598,0.0,150.18591992952886,449.8140800704712,108.78347351577213,17,2.364066193853428e-15,38.26081253934707,0.03286316841035871,0.03286316841035871,last,common_template_duplicate_pow,600.0,2,10200.0,0.0,0.0,2.7450980392156863,550267005940890200,11830740.627729146,3.2863168410358736,5.502670059408897e+17,5502670059408902,False,1.0,0.0
846000000000000,100,685.7142857142857,15,455861.90674640826,1.7082380271785345,636337635627312036,2,1.0845588512060435e-15,0.25591580931513624,0.00012795790465756812,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,564138.0932535913,0.0,223.90793783093898,376.09206216906097,169.0382580219939,17,2.364066193853428e-15,44.69234379866748,0.03838737139727049,0.03838737139727049,last,common_template_duplicate_pow,600.0,15,10200.0,0.0,0.0,2.9411764705882355,642765288512436400,13819453.703017358,3.838737139727044,6.427652885124353e+17,6427652885124364,False,1.0,0.0
846000000000000,100,640.0,16,389637.7173574335,1.460078053820087,543895289659241289,1,2.114823778879432e-15,0.20506714239046167,0.00010253357119523083,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,630362.2826425668,0.0,206.02357334839584,393.9764266516042,145.80584787366706,17,2.364066193853428e-15,38.19977621151309,0.03281074278247386,0.03281074278247386,last,common_template_duplicate_pow,600.0,6,10200.0,0.0,0.0,3.1372549019607843,549389181473981100,11811867.401690593,3.2810742782473867,5.4938918147398234e+17,5493891814739811,False,1.0,0.0
846000000000000,100,750.0,13,481450.93841173075,1.8041270591912435,672057364928934006,4,1.1980671982360536e-15,0.3118629315801631,0.00015593146579008155,0,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,538549.0615882692,0.0,185.7314910859462,414.2685089140537,155.7956826535774,17,2.364066193853428e-15,47.20107239330694,0.040542181105421106,0.040542181105421106,last,common_template_duplicate_pow,600.0,16,10200.0,0.0,0.0,2.549019607843137,678845823160539400,14595185.197951632,4.05421811054212,6.788458231605386e+17,6788458231605394,False,1.0,0.0
