N,boot_ci_high,boot_ci_low,cohens_d,comparison,hardware,mean_diff,median_diff,metric,n,other_mean,pocol_mean,tost_ci_high,tost_ci_low,tost_equivalent,tost_margin,tost_mean_diff
400,-256.0,-355.84,-1.1822212393725338,pocol_minus_common_template_duplicate_baseline,H1,-307.2,-512.0,total_attempts,100,1.4382e+18,1.4382e+18,,,,,
400,1.9539925233402755e-16,-1.2434497875801754e-16,0.044541754970720944,pocol_minus_independent_header_pow,H1,3.552713678800501e-17,0.0,total_energy_kwh,100,8.589249999999998,8.589249999999998,1.5987211554602254e-16,-8.881784197001253e-17,True,0.08589249999999998,3.552713678800501e-17
400,0.024274625125994376,-0.050933996051342946,-0.07037976755158944,pocol_minus_independent_header_pow,H1,-0.013546823465991807,-0.039042045454545427,energy_per_accepted_block_kwh,100,0.5390287219793968,0.525481898513405,,,,,
400,36.96405217714581,-51.24894339610723,-0.038102060615193035,pocol_minus_independent_header_pow,H1,-8.693198388492345,-40.35013608066953,mean_block_interval_s,100,595.1772310058244,586.4840326173321,,,,,
400,1.57,-0.62,0.08629550449570599,pocol_minus_independent_header_pow,H1,0.48,1.5,accepted_blocks,100,16.8,17.28,,,,,
400,-43.52,-186.88,-0.30553679932085376,pocol_minus_independent_header_pow,H1,-115.2,0.0,total_attempts,100,1.4382e+18,1.4382e+18,,,,,
500,-1.5987211554602254e-16,-4.085620730620576e-16,-0.4179783276115416,pocol_minus_common_template_duplicate_baseline,H1,-2.6645352591003756e-16,0.0,total_energy_kwh,100,8.589250000000078,8.589250000000076,,,,,
500,-7.975732142857212,-7.975732142857212,nan,pocol_minus_common_template_duplicate_baseline,H1,-7.975732142857212,-7.975732142857212,energy_per_accepted_block_kwh,2,8.589250000000074,0.5291854245911616,,,,,
500,nan,nan,nan,pocol_minus_common_template_duplicate_baseline,H1,nan,nan,mean_block_interval_s,0,nan,595.3733616697319,,,,,
500,17.95,16.42,4.539827984916492,pocol_minus_common_template_duplicate_baseline,H1,17.17,17.0,accepted_blocks,100,0.02,17.19,,,,,
