N,accepted_blocks__boot_ci_high,accepted_blocks__boot_ci_low,accepted_blocks__max,accepted_blocks__mean,accepted_blocks__median,accepted_blocks__min,accepted_blocks__n,accepted_blocks__p2_5,accepted_blocks__p97_5,accepted_blocks__std,accumulated_work_per_block__boot_ci_high,accumulated_work_per_block__boot_ci_low,accumulated_work_per_block__max,accumulated_work_per_block__mean,accumulated_work_per_block__median,accumulated_work_per_block__min,accumulated_work_per_block__n,accumulated_work_per_block__p2_5,accumulated_work_per_block__p97_5,accumulated_work_per_block__std,active_fraction__boot_ci_high,active_fraction__boot_ci_low,active_fraction__max,active_fraction__mean,active_fraction__median,active_fraction__min,active_fraction__n,active_fraction__p2_5,active_fraction__p97_5,active_fraction__std,actual_hashes_per_accepted_block__boot_ci_high,actual_hashes_per_accepted_block__boot_ci_low,actual_hashes_per_accepted_block__max,actual_hashes_per_accepted_block__mean,actual_hashes_per_accepted_block__median,actual_hashes_per_accepted_block__min,actual_hashes_per_accepted_block__n,actual_hashes_per_accepted_block__p2_5,actual_hashes_per_accepted_block__p97_5,actual_hashes_per_accepted_block__std,aggregate_hashrate_hps,difficulty_mode,difficulty_ratio_vs_N1,duplicate_header_attempts__boot_ci_high,duplicate_header_attempts__boot_ci_low,duplicate_header_attempts__max,duplicate_header_attempts__mean,duplicate_header_attempts__median,duplicate_header_attempts__min,duplicate_header_attempts__n,duplicate_header_attempts__p2_5,duplicate_header_attempts__p97_5,duplicate_header_attempts__std,energy_per_accepted_block_kwh__boot_ci_high,energy_per_accepted_block_kwh__boot_ci_low,energy_per_accepted_block_kwh__max,energy_per_accepted_block_kwh__mean,energy_per_accepted_block_kwh__median,energy_per_accepted_block_kwh__min,energy_per_accepted_block_kwh__n,energy_per_accepted_block_kwh__p2_5,energy_per_accepted_block_kwh__p97_5,energy_per_accepted_block_kwh__std,energy_per_tx_kwh__boot_ci_high,energy_per_tx_kwh__boot_ci_low,energy_per_tx_kwh__max,energy_per_tx_kwh__mean,energy_per_tx_kwh__median,energy_per_tx_kwh__min,energy_per_tx_kwh__n,energy_per_tx_kwh__p2_5,energy_per_tx_kwh__p97_5,energy_per_tx_kwh__std,hardware,idle_fraction__boot_ci_high,idle_fraction__boot_ci_low,idle_fraction__max,idle_fraction__mean,idle_fraction__median,idle_fraction__min,idle_fraction__n,idle_fraction__p2_5,idle_fraction__p97_5,idle_fraction__std,mean_block_interval_s__boot_ci_high,mean_block_interval_s__boot_ci_low,mean_block_interval_s__max,mean_block_interval_s__mean,mean_block_interval_s__median,mean_block_interval_s__min,mean_block_interval_s__n,mean_block_interval_s__p2_5,mean_block_interval_s__p97_5,mean_block_interval_s__std,mean_difficulty__boot_ci_high,mean_difficulty__boot_ci_low,mean_difficulty__max,mean_difficulty__mean,mean_difficulty__median,mean_difficulty__min,mean_difficulty__n,mean_difficulty__p2_5,mean_difficulty__p97_5,mean_difficulty__std,n_seeds,protocol,template_exhaustion_rate__boot_ci_high,template_exhaustion_rate__boot_ci_low,template_exhaustion_rate__max,template_exhaustion_rate__mean,template_exhaustion_rate__median,template_exhaustion_rate__min,template_exhaustion_rate__n,template_exhaustion_rate__p2_5,template_exhaustion_rate__p97_5,template_exhaustion_rate__std,total_energy_kwh__boot_ci_high,total_energy_kwh__boot_ci_low,total_energy_kwh__max,total_energy_kwh__mean,total_energy_kwh__median,total_energy_kwh__min,total_energy_kwh__n,total_energy_kwh__p2_5,total_energy_kwh__p97_5,total_energy_kwh__std,total_hashes__boot_ci_high,total_hashes__boot_ci_low,total_hashes__max,total_hashes__mean,total_hashes__median,total_hashes__min,total_hashes__n,total_hashes__p2_5,total_hashes__p97_5,total_hashes__std,unique_header_attempts__boot_ci_high,unique_header_attempts__boot_ci_low,unique_header_attempts__max,unique_header_attempts__mean,unique_header_attempts__median,unique_header_attempts__min,unique_header_attempts__n,unique_header_attempts__p2_5,unique_header_attempts__p97_5,unique_header_attempts__std
100,18.28025,16.67,36.0,17.43,17.0,10.0,100,11.475,25.52499999999999,4.015764390046263,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,9.06997124038534e+16,8.289530939872523e+16,1.4381999999999997e+17,8.675621950652702e+16,8.46e+16,3.995000000000001e+16,100,5.636637692307692e+16,1.2557011363636355e+17,1.973587655345315e+16,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.5416788379674577,0.4950692089090534,0.8589249999999999,0.5181274220528698,0.50525,0.23859027777777783,100,0.33663252884615386,0.7499326231060601,0.11786704052756748,0.00027083941898372883,0.00024753460445452673,0.0004294625,0.0002590637110264349,0.00025262500000000003,0.00011929513888888892,100,0.00016831626442307695,0.00037496631155303,5.8933520263783734e-05,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,602.4369156084847,547.0835114542099,995.6460099251466,574.1014811910403,550.2311857841796,256.6144273105791,100,366.9845897058312,863.0645735154519,135.97033434206793,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,pocol_disjoint_nonce,0.13360024953518607,0.10658984897678671,0.2777777777777778,0.11983539471078598,0.11555555555555555,0.0,100,0.0,0.23529411764705882,0.06856765320524352,8.58925,8.589249999999998,8.589250000000002,8.589249999999998,8.58925,8.58925,100,8.58925,8.589250000000002,2.4217066071966785e-15,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4382e+18,1.4381999999999997e+18,100,1.4381999999999997e+18,1.4382000000000003e+18,183.74158401671,1.4382e+18,1.4382e+18,1.4382000000000005e+18,1.4382e+18,1.4382e+18,1.4381999999999995e+18,100,1.4381999999999995e+18,1.4382000000000003e+18,197.6279536928116
200,17.81,16.22,26.0,17.03,17.0,6.0,100,8.95,23.0,3.9960965802627793,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,100,0.9999999999999999,1.0,6.312009177722025e-17,9.676650314597587e+16,8.53081150866039e+16,2.3969999999999997e+17,9.062140209041531e+16,8.459999999999998e+16,5.531538461538461e+16,100,6.2530434782608696e+16,1.6269637499999965e+17,2.8972981243980816e+16,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.5779110604551336,0.5094790206561067,1.4315416666666667,0.5412111513733137,0.50525,0.3303557692307692,100,0.37344565217391307,0.9716589062499981,0.17303308242932994,0.00028895553022756685,0.00025473951032805334,0.0007157708333333333,0.0002706055756866568,0.000252625,0.0001651778846153846,100,0.00018672282608695652,0.00048582945312499907,8.651654121466496e-05,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,7.489956367541763e-17,4.275516759805089e-17,1.7833229446528004e-16,5.706633422888963e-17,0.0,0.0,100,0.0,1.7833229446528004e-16,8.360684700488396e-17,644.0841523392687,565.994228463896,1507.1303405335211,603.8762675209053,563.8927161838991,339.8364727848306,100,379.27474061751093,1107.5458084651777,194.575198408184,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,pocol_disjoint_nonce,0.14325090236231178,0.1118075597796727,0.4166666666666667,0.12709323701193737,0.11764705882352941,0.0,100,0.0,0.3272058823529406,0.07987369556773885,8.58925,8.589249999999998,8.589250000000002,8.58925,8.58925,8.58925,100,8.58925,8.589250000000002,9.10330909659042e-16,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4381999999999997e+18,1.4381999999999997e+18,100,1.4381999999999997e+18,1.4382000000000003e+18,212.1665059867515,1.4382e+18,1.4382e+18,1.4382000000000005e+18,1.4382e+18,1.4382e+18,1.4381999999999995e+18,100,1.4381999999999995e+18,1.4382000000000003e+18,259.84984008834675
300,17.98,16.33,25.0,17.17,17.0,7.0,100,8.0,25.0,4.1513171817429635,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,100,0.9999999999999999,1.0,8.275113844157577e-17,9.63551207480534e+16,8.49861371127548e+16,2.0545714285714282e+17,9.018067195588165e+16,8.46e+16,5.752799999999999e+16,100,5.752799999999999e+16,1.7977499999999997e+17,2.880802543011552e+16,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.5754541933564303,0.507556096645619,1.2270357142857142,0.5385790130698487,0.50525,0.34357,100,0.34357,1.0736562500000002,0.17204792965207882,0.000287727096678215,0.0002537780483228095,0.0006135178571428572,0.0002692895065349244,0.000252625,0.000171785,100,0.000171785,0.0005368281250000001,8.602396482603942e-05,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,1.1591599140243204e-16,8.024953250937604e-17,1.7833229446528004e-16,9.808276195590403e-17,1.7833229446528004e-16,0.0,100,0.0,1.7833229446528004e-16,8.916614723264002e-17,646.0881675698693,566.2873482716585,1438.242001298083,602.2718744276663,564.0366786073917,357.7114564015099,100,377.33811160693784,1162.5751437238366,200.06464482484955,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,pocol_disjoint_nonce,0.14507899782164646,0.11321724268036272,0.42857142857142855,0.1284334753642433,0.1111111111111111,0.0,100,0.0,0.3359374999999996,0.0820563800765171,8.58925,8.589249999999998,8.589250000000002,8.589249999999998,8.58925,8.58925,100,8.58925,8.589250000000002,2.1938204919831897e-15,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4382e+18,1.4381999999999997e+18,100,1.4381999999999997e+18,1.4382000000000003e+18,189.06853014425508,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4382e+18,1.4381999999999995e+18,100,1.4381999999999995e+18,1.4382000000000003e+18,212.1665059867515
400,18.03025,16.52,25.0,17.28,17.0,8.0,100,9.475,24.0,3.800797364509269,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,100,0.9999999999999999,1.0,9.064933036736789e-17,9.27062121227128e+16,8.357668360489566e+16,1.7977499999999997e+17,8.798766672782594e+16,8.459999999999998e+16,5.752799999999999e+16,100,5.992499999999999e+16,1.5220949999999984e+17,2.301552370443992e+16,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.5536621001773128,0.49913852708479367,1.07365625,0.525481898513405,0.50525,0.34357,100,0.3578854166666667,0.9090289583333325,0.1374538221237384,0.0002768310500886563,0.0002495692635423968,0.000536828125,0.00026274094925670245,0.000252625,0.000171785,100,0.00017894270833333334,0.00045451447916666624,6.872691106186921e-05,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,1.42665835572224e-16,1.0699937667916803e-16,3.566645889305601e-16,1.24832606125696e-16,1.7833229446528004e-16,0.0,100,0.0,3.566645889305601e-16,9.651868559492828e-17,620.6560091171481,553.8021907822259,1224.072078485458,586.4840326173322,537.1932364565976,344.17920408244345,100,377.7444423594904,1085.2759017561675,170.38489996718366,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,pocol_disjoint_nonce,0.13773495839658614,0.10858178575715523,0.375,0.12302174884823625,0.1111111111111111,0.0,100,0.03771367521367521,0.3234374999999998,0.07307231803169693,8.58925,8.589249999999998,8.589250000000002,8.589249999999998,8.58925,8.58925,100,8.58925,8.589250000000002,2.0820064439692786e-15,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4381999999999997e+18,1.4381999999999997e+18,100,1.4381999999999997e+18,1.4382e+18,213.7208601438008,1.4382e+18,1.4381999999999997e+18,1.4382e+18,1.4382e+18,1.4381999999999995e+18,1.4381999999999992e+18,100,1.4381999999999995e+18,1.4382e+18,403.5430959674943
500,17.970499999999998,16.45,26.0,17.19,17.0,8.0,100,9.475,23.52499999999999,3.7623735255094686,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,100,0.9999999999999998,1.0,1.880406754546387e-16,9.362590532415808e+16,8.37913801098558e+16,1.7977499999999997e+17,8.860779202456581e+16,8.459999999999998e+16,5.5315384615384616e+16,100,6.116258152173913e+16,1.5220949999999987e+17,2.4128659377812384e+16,141000000000000.0,D2_HASHRATE_SCALED_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.5591547123526158,0.5004207423227545,1.0736562500000093,0.5291854245911616,0.5052500000000044,0.3303557692307721,100,0.36527652853261183,0.9090289583333404,0.14410171572860297,0.0002795773561763079,0.0002502103711613772,0.0005368281250000046,0.0002645927122955808,0.0002526250000000022,0.00016517788461538604,100,0.0001826382642663059,0.0004545144791666702,7.20508578643015e-05,H1_FIXED_AGGREGATE_NETWORK_HASHRATE,2.069100446533409e-16,1.5158245029548803e-16,3.566645889305601e-16,1.8011561740993282e-16,1.7833229446528004e-16,0.0,100,0.0,3.566645889305601e-16,1.3765804520781834e-16,633.1234050614008,559.0938775653881,1314.244018841841,595.3733616697319,550.1542279474786,357.3799134186458,100,389.69266972695584,1144.0182760677965,184.3027789826414,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,8.46e+16,100,8.46e+16,8.46e+16,0.0,100,pocol_disjoint_nonce,0.1343060661329536,0.10216023069090699,0.4,0.11826608804976352,0.10526315789473684,0.0,100,0.0,0.31021634615384613,0.07892170461930223,8.589250000000076,8.589250000000076,8.589250000000074,8.589250000000076,8.589250000000074,8.589250000000073,100,8.589250000000073,8.589250000000074,2.149792860654035e-15,1.4382e+18,1.4382e+18,1.4382000000000003e+18,1.4382e+18,1.4381999999999997e+18,1.4381999999999997e+18,100,1.4381999999999997e+18,1.4382e+18,199.29572970534988,1.4382e+18,1.4381999999999997e+18,1.4382000000000005e+18,1.4382e+18,1.4381999999999995e+18,1.4381999999999995e+18,100,1.4381999999999995e+18,1.4382e+18,391.8919661479591
1,18.44,16.77975,29.0,17.62,18.0,8.0,100,10.0,25.52499999999999,4.340972287868284,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,921646179863533.5,826738718928850.5,1797750000000000.2,872363669347533.6,799000000000000.0,495931034482758.6,100,563663769230769.2,1438199999999999.8,242980940556047.75,1410000000000.0,D1_CONSTANT_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.005504275796407216,0.004937467349158413,0.010736562500000001,0.005209949691936659,0.004771805555555557,0.0029618103448275867,100,0.003366325288461539,0.008589250000000001,0.001451136172765285,2.7521378982036076e-06,2.4687336745792064e-06,5.36828125e-06,2.6049748459683287e-06,2.3859027777777784e-06,1.4809051724137934e-06,100,1.6831626442307693e-06,4.294625e-06,7.255680863826425e-07,H2_FIXED_PER_MINER_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,603.7253165913764,540.6085157920953,1335.1683069871106,571.0586530381697,524.3895189704422,343.4491661968766,100,368.9522256182661,881.1872125783475,159.01953968726042,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,100,common_template_duplicate_baseline,0.1311305902300729,0.100748224274,0.4,0.11561887381650411,0.1,0.0,100,0.0,0.2819444444444444,0.07902245817895817,0.08589250000000001,0.0858925,0.08589250000000004,0.0858925,0.0858925,0.08589249999999998,100,0.08589249999999998,0.08589250000000004,1.2396988295329516e-17,1.4382e+16,1.4382e+16,1.4382000000000006e+16,1.4382e+16,1.4382e+16,1.4381999999999996e+16,100,1.4381999999999996e+16,1.4382000000000004e+16,1.83126605208947,1.4382e+16,1.4382e+16,1.4382000000000006e+16,1.4382e+16,1.4382e+16,1.4381999999999992e+16,100,1.4381999999999996e+16,1.4382000000000004e+16,2.3613042107609887
2,18.740249999999996,17.02,29.0,17.85,18.0,8.0,100,9.0,26.0,4.423022870518681,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,1826807521550986.8,1635306772438997.8,3595500000000000.0,1730566712308410.0,1598000000000000.0,991862068965517.2,100,1106307692307692.1,3196000000000000.0,518519355169218.3,2820000000000.0,D1_CONSTANT_DIFFICULTY,1.0,1.4382e+16,1.4382e+16,1.4382000000000004e+16,1.4382e+16,1.4382e+16,1.4381999999999996e+16,100,1.4381999999999996e+16,1.4382000000000004e+16,1.9796949055831605,0.010910100475929505,0.009766415446510683,0.021473125000000003,0.01033532897628634,0.00954361111111111,0.005923620689655173,100,0.006607115384615384,0.019087222222222224,0.0030967128155939432,5.455050237964754e-06,4.883207723255341e-06,1.07365625e-05,5.167664488143171e-06,4.771805555555555e-06,2.9618103448275868e-06,100,3.303557692307692e-06,9.543611111111112e-06,1.5483564077969714e-06,H2_FIXED_PER_MINER_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,609.9712359154059,545.0860964936371,1326.9467863701611,576.9920957413885,542.1251032296958,343.4491661968766,100,361.3255336102801,1077.0084903190548,172.33962660257382,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,100,common_template_duplicate_baseline,0.02219773008853891,0.008489819299852194,0.18181818181818182,0.015162723499410806,0.0,0.0,100,0.0,0.10494652406417089,0.034705196059445616,0.17178500000000002,0.171785,0.17178500000000008,0.171785,0.171785,0.17178499999999997,100,0.17178499999999997,0.17178500000000002,1.850371707708594e-17,2.8764e+16,2.8764e+16,2.876400000000001e+16,2.8764e+16,2.8764e+16,2.876399999999999e+16,100,2.876399999999999e+16,2.876400000000001e+16,3.9389277113386476,1.4382e+16,1.4382e+16,1.4382000000000004e+16,1.4382e+16,1.4382e+16,1.4381999999999996e+16,100,1.4381999999999996e+16,1.4382000000000004e+16,1.9796949055831605
5,18.78025,17.12,29.0,17.95,18.0,8.0,100,9.475,26.0,4.326042818170721,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,4525167905598406.0,4052432615444649.5,8988750000000000.0,4281148046653312.0,3995000000000000.0,2479655172413793.0,100,2765769230769230.5,7610474999999993.0,1223315638092567.0,7050000000000.0,D1_CONSTANT_DIFFICULTY,1.0,5.7528e+16,5.7528e+16,5.752800000000002e+16,5.7528e+16,5.7528e+16,5.752799999999998e+16,100,5.752799999999998e+16,5.752800000000002e+16,8.238858408710996,0.027025308325101586,0.024202028120016653,0.05368281250000001,0.02556796750084617,0.023859027777777778,0.014809051724137934,100,0.016517788461538462,0.04545144791666663,0.007305912838608388,1.3512654162550796e-05,1.210101406000833e-05,2.6841406250000006e-05,1.2783983750423087e-05,1.1929513888888891e-05,7.404525862068967e-06,100,8.25889423076923e-06,2.2725723958333315e-05,3.6529564193041932e-06,H2_FIXED_PER_MINER_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,606.6278703177917,546.1139874165123,1078.4317081960767,575.1408190150821,536.3184725041248,343.4491661968766,100,361.3255336102801,1026.9181820211204,158.88010277814237,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,100,common_template_duplicate_baseline,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.4294625000000001,0.4294624999999999,0.42946250000000014,0.4294624999999999,0.4294625,0.4294624999999999,100,0.4294624999999999,0.4294625000000001,1.283188541587703e-16,7.191e+16,7.191e+16,7.191000000000002e+16,7.191e+16,7.191e+16,7.190999999999998e+16,100,7.190999999999998e+16,7.191000000000002e+16,7.795362516758074,1.4382e+16,1.4382e+16,1.4382000000000004e+16,1.4382e+16,1.4382e+16,1.4381999999999996e+16,100,1.4381999999999996e+16,1.4382000000000004e+16,2.059714602177749
10,18.81,17.15,29.0,17.95,18.0,8.0,100,9.475,26.0,4.326042818170721,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,9037412250613916.0,8108262544879127.0,1.79775e+16,8562296093306625.0,7990000000000000.0,4959310344827586.0,100,5531538461538461.0,1.5220949999999986e+16,2446631276185134.0,14100000000000.0,D1_CONSTANT_DIFFICULTY,1.0,1.29438e+17,1.29438e+17,1.2943800000000003e+17,1.29438e+17,1.2943799999999998e+17,1.2943799999999995e+17,100,1.2943799999999997e+17,1.2943800000000003e+17,19.430269003164973,0.05397343427449978,0.048424345754139224,0.10736562500000002,0.05113593500169234,0.047718055555555555,0.029618103448275868,100,0.033035576923076924,0.09090289583333326,0.014611825677216776,2.6986717137249892e-05,2.4212172877069618e-05,5.368281250000001e-05,2.556796750084617e-05,2.3859027777777782e-05,1.4809051724137934e-05,100,1.651778846153846e-05,4.545144791666663e-05,7.3059128386083865e-06,H2_FIXED_PER_MINER_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,606.021018547454,544.238117825527,1078.4317081960767,575.1408190150821,536.3184725041248,343.4491661968766,100,361.3255336102801,1026.9181820211204,158.88010277814237,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,100,common_template_duplicate_baseline,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.8589250000000002,0.8589249999999998,0.8589250000000002,0.8589249999999999,0.858925,0.8589249999999998,100,0.8589249999999998,0.8589250000000002,1.5380463839450825e-16,1.4382e+17,1.4382e+17,1.4382000000000002e+17,1.4382e+17,1.4382e+17,1.4381999999999998e+17,100,1.4381999999999998e+17,1.4382000000000002e+17,12.246623942123723,1.4382e+16,1.4382e+16,1.4382000000000004e+16,1.4382e+16,1.4382e+16,1.4381999999999996e+16,100,1.4381999999999996e+16,1.4382000000000004e+16,2.059714602177749
1,18.130249999999997,16.37,29.0,17.24,17.0,6.0,100,9.475,25.0,4.3949465930265355,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,956071442139114.9,845760525236087.2,2396999999999999.5,898900609683613.1,846000000000000.0,495931034482758.56,100,575280000000000.0,1522094999999998.8,281581120241360.3,1410000000000.0,D1_CONSTANT_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.005709871112775269,0.0050510698034933,0.014315416666666666,0.0053684341967215774,0.0050525,0.0029618103448275862,100,0.0034357,0.009090289583333324,0.001681665023663679,2.8549355563876347e-06,2.5255349017466503e-06,7.1577083333333334e-06,2.68421709836079e-06,2.5262499999999997e-06,1.480905172413793e-06,100,1.71785e-06,4.545144791666662e-06,8.408325118318397e-07,H2_FIXED_PER_MINER_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,640.9429447825124,566.2682675738846,1495.894512035365,601.6928962258215,567.3781330938408,323.16469734552663,100,346.94133623493826,1075.3022591447534,189.74808778122272,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,100,independent_header_pow,0.14642149248811465,0.11264851626728865,0.5,0.12930954015311602,0.12,0.0,100,0.0,0.3125,0.08674488813764673,0.0858925,0.0858925,0.08589250000000001,0.0858925,0.0858925,0.08589249999999997,100,0.08589249999999998,0.08589250000000001,1.0982431174242724e-17,1.4382e+16,1.4382e+16,1.4382000000000004e+16,1.4382e+16,1.4382e+16,1.4381999999999996e+16,100,1.4381999999999996e+16,1.4382000000000004e+16,1.83126605208947,1.4382e+16,1.4382e+16,1.4382000000000004e+16,1.4382e+16,1.4382e+16,1.4381999999999992e+16,100,1.4381999999999996e+16,1.4382000000000004e+16,1.8531981638085644
2,35.51025,33.159749999999995,50.0,34.39,35.0,21.0,100,23.0,46.574999999999974,5.972825668362209,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,0.0,897314481164739.9,832816599513555.2,1369714285714285.5,863532242497780.0,821828571428571.5,575280000000000.0,100,618226250000000.1,1250608695652174.0,162518098453413.47,2820000000000.0,D1_CONSTANT_DIFFICULTY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0053589614847338604,0.004973765802650399,0.008180238095238096,0.005157206448250629,0.0049081428571428574,0.0034357000000000003,100,0.0036921845486111112,0.007468913043478261,0.0009705941990967747,2.6794807423669314e-06,2.4868829013251992e-06,4.090119047619048e-06,2.578603224125314e-06,2.454071428571429e-06,1.7178500000000002e-06,100,1.8460922743055556e-06,3.7344565217391304e-06,4.852970995483874e-07,H2_FIXED_PER_MINER_HASHRATE,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,308.22277825107875,286.1375207223522,457.92490868128493,296.7718616030965,282.6929106127813,195.76296176714195,100,216.11679623672578,436.8651990645815,55.75717925418562,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,846000000000000.0,100,846000000000000.0,846000000000000.0,0.0,100,independent_header_pow,0.02239652847625399,0.01340398528407324,0.1,0.01775766635263068,0.0,0.0,100,0.0,0.07142857142857142,0.022782856684324244,0.171785,0.171785,0.1717850000000001,0.171785,0.171785,0.17178499999999994,100,0.17178499999999997,0.17178500000000008,2.938963081260025e-17,2.8764e+16,2.8764e+16,2.8764000000000016e+16,2.8764e+16,2.8764e+16,2.8763999999999988e+16,100,2.876399999999999e+16,2.876400000000001e+16,4.940044575106626,2.8764e+16,2.8764e+16,2.876400000000001e+16,2.8764e+16,2.8764e+16,2.8763999999999984e+16,100,2.8763999999999988e+16,2.876400000000001e+16,5.348463387372171
