protocol,n_miners,seed,config_hash,sim_time,aggregate_hashrate_THs,aggregate_power_W,energy_kWh,co2_kg,created_blocks,accepted_main_blocks,stale_blocks,stale_rate_pct,accepted_block_interval_s,created_block_interval_s,throughput_tx_per_s,confirmation_time_6blk_s,energy_per_accepted_block_kWh,energy_per_tx_kWh,total_hashes,active_mining_time_s,exhausted_rounds,_cmd
PoCol,100,1,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.7472708333333395,9,9,0,0.0,959.4782466697675,1111.111111111111,1.6501,5756.869480018605,0.9356481481481492,0.000510322606710705,1.4099999999999997e+18,1000000.0,4,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 1
PoCol,100,2,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.7472708333333395,13,13,0,0.0,648.2423599494455,769.2307692307693,2.3975,3889.454159696673,0.6477564102564111,0.00035123392422662536,1.4100000000000003e+18,1000000.0,4,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 2
PoCol,100,3,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.747270833333338,19,19,0,0.0,538.1715307832876,526.3157894736842,3.5216,3229.0291846997256,0.44320175438596543,0.0002391195290019691,1.41e+18,1000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 3
PoCol,100,4,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.7472708333333395,22,22,0,0.0,458.33848138031306,454.54545454545456,4.0333,2750.030888281878,0.38276515151515195,0.0002087827172125392,1.4100000000000003e+18,1000000.0,3,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 4
PoCol,100,5,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.7472708333333395,18,18,0,0.0,544.9591710092405,555.5555555555555,3.3019,3269.7550260554435,0.4678240740740746,0.0002550299322612236,1.4100000000000003e+18,1000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 5
PoCol,100,6,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333345,3.7472708333333395,21,21,0,0.0,481.0270162384093,476.1904761904762,3.879,2886.162097430456,0.40099206349206407,0.00021708773738936181,1.41e+18,1000000.0,1,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 6
PoCol,100,7,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.7472708333333395,16,16,0,0.0,535.6554434959945,625.0,2.9236,3213.9326609759673,0.526302083333334,0.00028802959821225006,1.4100000000000003e+18,1000000.0,4,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 7
PoCol,100,8,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.7472708333333395,20,20,0,0.0,486.0316070571708,500.0,3.6847,2916.189642343025,0.42104166666666715,0.00022853511366823195,1.4099999999999997e+18,1000000.0,2,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 8
PoCol,100,9,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333345,3.7472708333333395,21,21,0,0.0,441.921459659026,476.1904761904762,3.8624,2651.5287579541564,0.40099206349206407,0.00021802074703120716,1.4100000000000003e+18,1000000.0,3,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 9
PoCol,100,10,602d261342d617fd,10000.0,141.0,3031.5000000000045,8.420833333333343,3.7472708333333395,16,16,0,0.0,555.8619025437694,625.0,2.9653,3335.1714152626164,0.526302083333334,0.00028397913645612056,1.4100000000000003e+18,1000000.0,3,/usr/local/bin/python /home/user/BlockSim-New/experiments/run_scenario.py PoCol 100 10
