protocol,n_miners,metric,mean,median,std,ci95_low,ci95_high,min,max,n
PoW,100,energy_kWh,8.420833333333345,8.420833333333343,1.615983173576801e-15,8.420833333333345,8.420833333333345,8.420833333333343,8.420833333333345,30
PoW,100,co2_kg,3.747270833333341,3.7472708333333395,1.3550430849800884e-15,3.7472708333333404,3.7472708333333413,3.7472708333333395,3.7472708333333395,30
PoW,100,created_blocks,17.9,18.0,3.467583875126092,16.65914104648081,19.14085895351919,12.0,26.0,30
PoW,100,accepted_main_blocks,17.9,18.0,3.467583875126092,16.65914104648081,19.14085895351919,12.0,26.0,30
PoW,100,stale_blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,100,stale_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,100,accepted_block_interval_s,548.1699375017196,526.4423797821105,112.13368774657873,508.04341268149227,588.2964623219469,363.34715741845326,788.44071730543,30
PoW,100,created_block_interval_s,579.5192953474688,555.5555555555555,114.33955218346726,538.6034120761317,620.4351786188058,384.61538461538464,833.3333333333334,30
PoW,100,throughput_tx_per_s,3.3004033333333336,3.3157,0.635923852242212,3.0728409053639543,3.527965761302713,2.2228,4.804,30
PoW,100,confirmation_time_6blk_s,3289.019625010318,3158.6542786926625,672.8021264794723,3048.2604760889544,3529.778773931682,2180.0829445107197,4730.64430383258,30
PoW,100,energy_per_accepted_block_kWh,0.48800353995718154,0.4678240740740746,0.09628343123449484,0.45354895658577643,0.5224581233285867,0.32387820512820553,0.7017361111111119,30
PoW,100,energy_per_tx_kWh,0.00026460680102446363,0.00025397295673801725,5.212866646225662e-05,0.00024595279730195684,0.0002832608047469704,0.000175287954482376,0.00037883900185951694,30
PoW,100,total_hashes,1.41e+18,1.41e+18,0.0,1.41e+18,1.41e+18,1.41e+18,1.41e+18,30
PoW,100,active_mining_time_s,1000000.0,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,30
PoW,100,exhausted_rounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,200,energy_kWh,8.420833333333313,8.420833333333311,1.8067241133067846e-15,8.420833333333313,8.420833333333313,8.420833333333311,8.420833333333311,30
PoW,200,co2_kg,3.747270833333345,3.7472708333333444,4.737270590596318e-16,3.747270833333345,3.747270833333345,3.747270833333344,3.7472708333333444,30
PoW,200,created_blocks,17.366666666666667,16.5,4.1562859193850175,15.879358851720996,18.85397448161234,8.0,25.0,30
PoW,200,accepted_main_blocks,17.366666666666667,16.5,4.1562859193850175,15.879358851720996,18.85397448161234,8.0,25.0,30
PoW,200,stale_blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,200,stale_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
PoW,200,accepted_block_interval_s,570.778609706243,545.9062054540022,151.54303421597223,516.549631367971,625.0075880445149,354.7479407568226,1036.0564952495079,30
PoW,200,created_block_interval_s,614.0927247273996,606.6176470588235,176.6784411962166,550.869156517628,677.3162929371713,400.0,1250.0,30
PoW,200,throughput_tx_per_s,3.2022066666666666,3.04375,0.7691786994438685,2.9269596040339096,3.4774537292994236,1.47,4.6278,30
PoW,200,confirmation_time_6blk_s,3424.6716582374575,3275.437232724013,909.2582052958334,3099.2977882078258,3750.045528267089,2128.4876445409354,6216.338971497047,30
PoW,200,energy_per_accepted_block_kWh,0.5171172486141964,0.5108226102941162,0.148777970690647,0.46387773555088463,0.5703567616775082,0.33683333333333243,1.052604166666664,30
PoW,200,energy_per_tx_kWh,0.0002806076841813203,0.0002768899574766301,8.120096562555058e-05,0.0002515502918126341,0.00030966507655000655,0.000181961911347364,0.0005728458049886606,30
PoW,200,total_hashes,1.41e+18,1.41e+18,0.0,1.41e+18,1.41e+18,1.41e+18,1.41e+18,30
PoW,200,active_mining_time_s,2000000.0,2000000.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,30
PoW,200,exhausted_rounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
