time_s,H_effective,H_pipeline,floor_threshold,live_activation_requests,waking_miners,active_hashing_miners,accepted_block_event,round_boundary
27.579167,0.0,0.0,3200.0,0,0,0,1,1
28.579167,3600.0,3600.0,3200.0,0,0,12,0,0
28.704167,2800.0,2800.0,3200.0,0,0,8,0,0
28.745833,1900.0,1900.0,3200.0,0,0,5,0,0
28.779167,300.0,1100.0,3200.0,3,3,1,0,0
28.812500,0.0,0.0,3200.0,0,0,0,1,1
29.812500,3600.0,3600.0,3200.0,0,0,12,0,0
29.895833,2400.0,2400.0,3200.0,0,0,8,0,0
29.937500,200.0,200.0,3200.0,0,0,1,0,0
29.942500,0.0,0.0,3200.0,0,0,0,1,1
30.942500,4000.0,4000.0,3200.0,0,0,16,0,0
31.142500,2400.0,3200.0,3200.0,3,3,12,0,0
31.209167,1200.0,2200.0,3200.0,4,4,8,0,0
31.342500,400.0,1400.0,3200.0,4,4,4,0,0
31.742500,0.0,1000.0,3200.0,4,4,0,0,0
32.142500,800.0,1000.0,3200.0,1,1,3,0,0
32.209167,1000.0,1000.0,3200.0,0,0,4,0,0
32.342500,600.0,600.0,3200.0,0,0,3,0,0
32.409167,300.0,300.0,3200.0,0,0,2,0,0
32.609167,100.0,100.0,3200.0,0,0,1,0,0
32.942500,0.0,0.0,3200.0,0,0,0,0,1
33.942500,2400.0,2400.0,3200.0,0,0,8,0,0
33.942500,3600.0,3600.0,3200.0,0,0,12,0,0
34.025833,2400.0,2400.0,3200.0,0,0,8,0,0
34.067500,400.0,400.0,3200.0,0,0,1,0,0
34.100000,0.0,0.0,3200.0,0,0,0,1,1
35.100000,4000.0,4000.0,3200.0,0,0,16,0,0
35.300000,2400.0,3200.0,3200.0,3,3,12,0,0
35.350000,1400.0,2200.0,3200.0,3,3,5,0,0
35.366667,200.0,1200.0,3200.0,4,4,1,0,0
35.380000,0.0,0.0,3200.0,0,0,0,1,1
36.303333,300.0,300.0,3200.0,0,0,1,0,0
36.386667,0.0,0.0,3200.0,0,0,0,1,1
37.386667,2800.0,2800.0,3200.0,0,0,12,0,0
37.386667,4000.0,4000.0,3200.0,0,0,16,0,0
37.586667,2400.0,3200.0,3200.0,3,3,12,0,0
37.653333,1200.0,2200.0,3200.0,4,4,8,0,0
37.786667,400.0,1400.0,3200.0,4,4,4,0,0
38.186667,0.0,1000.0,3200.0,4,4,0,0,0
38.586667,800.0,1000.0,3200.0,1,1,3,0,0
38.653333,1000.0,1000.0,3200.0,0,0,4,0,0
38.786667,600.0,600.0,3200.0,0,0,3,0,0
38.853333,300.0,300.0,3200.0,0,0,2,0,0
39.053333,100.0,100.0,3200.0,0,0,1,0,0
39.386667,0.0,0.0,3200.0,0,0,0,0,1
40.386667,4000.0,4000.0,3200.0,0,0,16,0,0
40.586667,2400.0,3200.0,3200.0,3,3,12,0,0
40.653333,1200.0,2200.0,3200.0,4,4,8,0,0
