outcome,inactive_fraction,value
effective_block_interval_s,0.15,714.2857142857143
effective_block_interval_s,0.15,666.6666666666666
effective_block_interval_s,0.15,769.2307692307693
effective_block_interval_s,0.3,833.3333333333334
effective_block_interval_s,0.3,833.3333333333334
effective_block_interval_s,0.3,833.3333333333334
effective_block_interval_s,0.3,1250.0
effective_block_interval_s,0.3,1000.0
effective_block_interval_s,0.3,666.6666666666666
effective_block_interval_s,0.3,1111.111111111111
effective_block_interval_s,0.3,666.6666666666666
effective_block_interval_s,0.3,666.6666666666666
effective_block_interval_s,0.3,833.3333333333334
effective_block_interval_s,0.3,909.0909090909091
effective_block_interval_s,0.3,1000.0
effective_block_interval_s,0.3,1000.0
effective_block_interval_s,0.3,1666.6666666666667
effective_block_interval_s,0.3,588.2352941176471
effective_block_interval_s,0.3,500.0
effective_block_interval_s,0.3,666.6666666666666
effective_block_interval_s,0.3,833.3333333333334
effective_block_interval_s,0.3,714.2857142857143
effective_block_interval_s,0.3,1000.0
effective_block_interval_s,0.3,714.2857142857143
effective_block_interval_s,0.3,1000.0
effective_block_interval_s,0.3,714.2857142857143
effective_block_interval_s,0.3,625.0
effective_block_interval_s,0.3,714.2857142857143
effective_block_interval_s,0.3,555.5555555555555
effective_block_interval_s,0.3,1428.5714285714287
effective_block_interval_s,0.3,769.2307692307693
effective_block_interval_s,0.3,1250.0
effective_block_interval_s,0.3,1000.0
effective_block_interval_s,0.3,1250.0
effective_block_interval_s,0.3,714.2857142857143
effective_block_interval_s,0.3,1111.111111111111
effective_block_interval_s,0.3,625.0
effective_block_interval_s,0.3,833.3333333333334
effective_block_interval_s,0.3,714.2857142857143
effective_block_interval_s,0.3,666.6666666666666
effective_block_interval_s,0.3,1111.111111111111
effective_block_interval_s,0.3,1111.111111111111
effective_block_interval_s,0.3,1000.0
effective_block_interval_s,0.3,909.0909090909091
effective_block_interval_s,0.3,625.0
effective_block_interval_s,0.3,769.2307692307693
effective_block_interval_s,0.3,769.2307692307693
effective_block_interval_s,0.3,625.0
effective_block_interval_s,0.3,714.2857142857143
effective_block_interval_s,0.3,909.0909090909091
effective_block_interval_s,0.3,1000.0
effective_block_interval_s,0.3,833.3333333333334
effective_block_interval_s,0.3,588.2352941176471
effective_block_interval_s,0.3,666.6666666666666
effective_block_interval_s,0.3,1000.0
effective_block_interval_s,0.3,666.6666666666666
effective_block_interval_s,0.3,909.0909090909091
effective_block_interval_s,0.3,555.5555555555555
effective_block_interval_s,0.3,454.54545454545456
effective_block_interval_s,0.3,1000.0
effective_block_interval_s,0.3,476.1904761904762
effective_block_interval_s,0.3,833.3333333333334
effective_block_interval_s,0.3,1111.111111111111
accepted_blocks,0.0,15
accepted_blocks,0.0,20
accepted_blocks,0.0,17
accepted_blocks,0.0,17
accepted_blocks,0.0,11
accepted_blocks,0.0,24
accepted_blocks,0.0,18
accepted_blocks,0.0,15
accepted_blocks,0.0,18
accepted_blocks,0.0,16
accepted_blocks,0.0,13
accepted_blocks,0.0,22
accepted_blocks,0.0,14
accepted_blocks,0.0,13
accepted_blocks,0.0,20
accepted_blocks,0.0,23
accepted_blocks,0.0,22
accepted_blocks,0.0,14
accepted_blocks,0.0,14
accepted_blocks,0.0,18
accepted_blocks,0.0,19
accepted_blocks,0.0,13
accepted_blocks,0.0,20
accepted_blocks,0.0,21
accepted_blocks,0.0,23
accepted_blocks,0.0,24
accepted_blocks,0.0,16
accepted_blocks,0.0,19
accepted_blocks,0.0,15
accepted_blocks,0.0,14
accepted_blocks,0.0,14
accepted_blocks,0.0,16
accepted_blocks,0.0,14
accepted_blocks,0.0,19
accepted_blocks,0.0,15
accepted_blocks,0.0,18
accepted_blocks,0.0,18
accepted_blocks,0.0,11
accepted_blocks,0.0,18
accepted_blocks,0.0,18
accepted_blocks,0.0,13
accepted_blocks,0.0,17
accepted_blocks,0.0,15
accepted_blocks,0.0,13
accepted_blocks,0.0,20
accepted_blocks,0.0,18
accepted_blocks,0.0,22
accepted_blocks,0.0,15
accepted_blocks,0.0,19
accepted_blocks,0.0,19
accepted_blocks,0.0,20
accepted_blocks,0.0,13
accepted_blocks,0.0,20
accepted_blocks,0.0,20
accepted_blocks,0.0,24
accepted_blocks,0.0,24
accepted_blocks,0.0,14
accepted_blocks,0.0,22
accepted_blocks,0.0,15
accepted_blocks,0.0,11
accepted_blocks,0.05,15
accepted_blocks,0.05,20
accepted_blocks,0.05,17
accepted_blocks,0.05,16
accepted_blocks,0.05,11
accepted_blocks,0.05,24
accepted_blocks,0.05,17
accepted_blocks,0.05,13
accepted_blocks,0.05,16
accepted_blocks,0.05,16
accepted_blocks,0.05,13
accepted_blocks,0.05,21
accepted_blocks,0.05,13
accepted_blocks,0.05,13
accepted_blocks,0.05,20
accepted_blocks,0.05,21
accepted_blocks,0.05,22
accepted_blocks,0.05,11
accepted_blocks,0.05,14
accepted_blocks,0.05,17
accepted_blocks,0.05,19
accepted_blocks,0.05,13
accepted_blocks,0.05,20
accepted_blocks,0.05,21
accepted_blocks,0.05,20
accepted_blocks,0.05,22
accepted_blocks,0.05,15
accepted_blocks,0.05,18
accepted_blocks,0.05,15
accepted_blocks,0.05,14
accepted_blocks,0.05,14
accepted_blocks,0.05,14
accepted_blocks,0.05,14
accepted_blocks,0.05,16
accepted_blocks,0.05,12
accepted_blocks,0.05,18
accepted_blocks,0.05,16
accepted_blocks,0.05,9
accepted_blocks,0.05,18
accepted_blocks,0.05,17
accepted_blocks,0.05,13
accepted_blocks,0.05,17
accepted_blocks,0.05,13
accepted_blocks,0.05,12
accepted_blocks,0.05,20
accepted_blocks,0.05,14
accepted_blocks,0.05,22
accepted_blocks,0.05,13
accepted_blocks,0.05,18
accepted_blocks,0.05,16
accepted_blocks,0.05,20
accepted_blocks,0.05,13
accepted_blocks,0.05,20
accepted_blocks,0.05,16
accepted_blocks,0.05,24
accepted_blocks,0.05,23
accepted_blocks,0.05,14
accepted_blocks,0.05,21
accepted_blocks,0.05,15
accepted_blocks,0.05,9
accepted_blocks,0.15,14
accepted_blocks,0.15,16
accepted_blocks,0.15,12
accepted_blocks,0.15,13
accepted_blocks,0.15,15
accepted_blocks,0.15,16
accepted_blocks,0.15,18
accepted_blocks,0.15,9
accepted_blocks,0.15,18
accepted_blocks,0.15,16
accepted_blocks,0.15,13
accepted_blocks,0.15,16
accepted_blocks,0.15,13
accepted_blocks,0.15,13
accepted_blocks,0.15,18
accepted_blocks,0.15,9
accepted_blocks,0.15,21
accepted_blocks,0.15,11
accepted_blocks,0.15,14
accepted_blocks,0.15,15
accepted_blocks,0.15,15
accepted_blocks,0.15,13
accepted_blocks,0.15,19
accepted_blocks,0.15,12
accepted_blocks,0.15,21
accepted_blocks,0.15,22
accepted_blocks,0.15,14
accepted_blocks,0.15,19
accepted_blocks,0.15,10
accepted_blocks,0.15,11
accepted_blocks,0.15,13
accepted_blocks,0.15,16
accepted_blocks,0.15,13
accepted_blocks,0.15,16
accepted_blocks,0.15,11
accepted_blocks,0.15,19
accepted_blocks,0.15,17
accepted_blocks,0.15,12
accepted_blocks,0.15,13
accepted_blocks,0.15,14
accepted_blocks,0.15,13
accepted_blocks,0.15,20
accepted_blocks,0.15,13
accepted_blocks,0.15,13
accepted_blocks,0.15,16
accepted_blocks,0.15,23
accepted_blocks,0.15,17
accepted_blocks,0.15,11
accepted_blocks,0.15,14
accepted_blocks,0.15,17
accepted_blocks,0.15,16
accepted_blocks,0.15,13
accepted_blocks,0.15,19
accepted_blocks,0.15,16
accepted_blocks,0.15,19
