miner_count,seed,equal,weighted
100,20260201,5.746931013743454,8.420833333331645
100,20260202,5.42461519155536,8.4208333333323
100,20260203,5.282976805307312,8.42083333333128
100,20260204,6.13135372979602,8.420833333332709
100,20260205,3.9290164509331458,8.420833333330375
100,20260206,6.889432393275222,8.420833333331116
100,20260207,5.765140624958792,8.420833333332157
100,20260208,3.518008094287931,8.420833333330076
100,20260209,6.403567416663296,8.420833333332398
100,20260210,3.5639809466808234,8.420833333331979
100,20260211,4.380765287058673,8.420833333331005
100,20260212,4.94267309087998,8.420833333331991
100,20260213,3.793473661358003,8.420833333331693
100,20260214,3.2672397070314045,8.420833333331723
100,20260215,4.603410707262114,8.420833333332023
100,20260216,5.83108625566991,8.420833333332638
100,20260217,5.809324365304296,8.420833333332686
100,20260218,5.2760203766379155,8.420833333332231
100,20260219,5.424116625087064,8.420833333332032
100,20260220,5.497213225168883,8.420833333331606
100,20260221,4.266216074442544,8.420833333331792
100,20260222,5.1112727937404046,8.42083333333156
100,20260223,4.3911299056348145,8.420833333332519
100,20260224,4.699079527841602,8.420833333332057
100,20260225,5.132595146934945,8.420833333332823
100,20260226,6.102397899685255,8.42083333333285
100,20260227,3.1480173871517683,8.420833333330364
100,20260228,7.155435935832687,8.420833333331876
100,20260229,4.927136609851822,8.420833333330886
100,20260230,4.7271537923144935,8.420833333331565
500,20260201,4.788320575995313,8.420833333309998
500,20260202,6.056017320875217,8.420833333327819
500,20260203,4.933999516466475,8.420833333315656
500,20260204,4.4068855768122575,8.420833333323515
500,20260205,4.077546011733718,8.420833333310329
500,20260206,6.196960002174112,8.420833333325227
500,20260207,5.336269867098284,8.420833333325628
500,20260208,2.904904548711738,8.420833333319482
500,20260209,4.857405557682363,8.420833333325124
500,20260210,3.3304530517984494,8.420833333323927
500,20260211,4.271339493409305,8.420833333320452
500,20260212,4.928060062097629,8.420833333319683
500,20260213,3.9044853398198556,8.420833333316795
500,20260214,3.0633999534330756,8.420833333316997
500,20260215,2.546778768909999,8.420833333319463
500,20260216,4.829824722161246,8.420833333327977
500,20260217,6.148671662997315,8.4208333333261
500,20260218,4.644408584947345,8.420833333315453
500,20260219,4.016484424569156,8.420833333316029
500,20260220,5.937475090369987,8.420833333319653
500,20260221,3.8947871586202343,8.420833333322461
500,20260222,4.423736120216224,8.420833333314226
500,20260223,3.688724338024229,8.420833333324126
500,20260224,3.6979793616204617,8.420833333328016
500,20260225,4.203356665866282,8.420833333328732
500,20260226,6.9505346634403695,8.420833333333306
500,20260227,2.717797911878181,8.420833333317784
500,20260228,7.723054311117013,8.420833333333304
500,20260229,4.833781011378694,8.420833333319115
500,20260230,5.073351657942421,8.420833333313599
