group,value
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B0,0.0
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.998
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.995
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.9966666666666667
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.99
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B1,0.9975
B2,0.7931248427615809
B2,0.6050402694441057
B2,0.42891195063292126
B2,0.6311956601212502
B2,0.7182233437692569
B2,0.38078280367384965
B2,0.5382955601533072
B2,0.7930535087086922
B2,0.6612215556814935
B2,0.6172745073595303
B2,0.5795977227086743
B2,0.5810584054076333
B2,0.6811803089346492
B2,0.7068158119806867
B2,0.8253892745641513
B2,0.4606429336387616
B2,0.397901217892154
B2,0.6042955346594764
B2,0.6280555376605512
B2,0.40182460859975516
B2,0.7437507893187375
B2,0.6060472572149952
B2,0.5396950453693122
B2,0.6557056894303102
B2,0.6722921542581224
B2,0.5996056753169622
B2,0.7296422745145588
B2,0.28066970573955013
B2,0.6898291130938198
B2,0.689694588161634
B2,0.6512949838217971
B2,0.345163294210803
B2,0.5462528919509366
B2,0.6022936010732804
B2,0.5758476539802369
B2,0.36100502753559494
B2,0.5469244033737792
B2,0.6861258399738162
B2,0.48400189765428087
B2,0.6535177182630177
B2,0.573744276780682
B2,0.5501280853255799
B2,0.5921445701919583
B2,0.7037446896746066
B2,0.8396346980983491
B2,0.5143873467687559
B2,0.5968770097225479
B2,0.6511451083682713
B2,0.6543500896704229
B2,0.4526771799962821
B2,0.7797070661557974
B2,0.6720069259851577
B2,0.5625303206120769
B2,0.6552016737617942
B2,0.7636881289554605
B2,0.34025939994986987
B2,0.7714856429309538
B2,0.37429638143532884
B2,0.8358532423316971
B2,0.6492645967645926
B2,0.703979837794456
B2,0.4734030145595142
B2,0.4878139339425189
B2,0.592456389403623
B2,0.5510862764590293
B2,0.4622593363495525
B2,0.5196973768214882
B2,0.7132199764404275
B2,0.5378011838175178
B2,0.5122959743048696
B2,0.5414423398316985
B2,0.6470131600700048
B2,0.5770740034910573
B2,0.7039919834912179
B2,0.7646425851344281
B2,0.5642426842397794
B2,0.501467596652654
B2,0.6121851312392007
B2,0.5083569028654549
B2,0.39311837406773337
B2,0.625441655503042
B2,0.6500001393845074
B2,0.5585299582587182
B2,0.5628829062625325
B2,0.6818688929352336
B2,0.4509580340852732
B2,0.7372015225007252
B2,0.49547661728035636
B2,0.5103356663471857
B2,0.6069261114689574
B2,0.6971247686449856
B2,0.427518547366689
B2,0.5234309577623167
B2,0.609893521962811
B2,0.6146798275699321
B2,0.4237474290835659
B2,0.5018805025182503
B2,0.7587560452978636
B2,0.4703831018982019
B2,0.7999766462029059
B2,0.681168171958749
B2,0.5350565139157116
B2,0.6539995786906619
B2,0.7793595720673274
B2,0.8327114967012567
B2,0.44763882433522767
B2,0.5082322378998707
B2,0.6652675763543623
B2,0.6669198040025683
B2,0.5124535047594667
B2,0.8778581006554621
B2,0.5936555701040102
B2,0.54700131985377
B2,0.581895508391087
B2,0.8128888423014321
B2,0.3285751951927813
B2,0.8149075084576345
B2,0.3029312344655444
B2,0.6759425030112435
B2,0.5913865728903357
B2,0.6471253447014007
B2,0.4782626199282212
B2,0.4602463626896438
B2,0.6754025398152571
B2,0.6936746604291005
B2,0.27369177341047873
B2,0.43558947110105195
B2,0.6696937700360905
B2,0.5342511721407787
B2,0.8245422050588845
B2,0.6459272597241581
B2,0.6700153396295742
B2,0.5283016041815418
B2,0.6636469106973049
B2,0.777210630670742
B2,0.6311721683193089
B2,0.4300834242642608
B2,0.6461817449211082
B2,0.734936340541764
B2,0.6003684750753314
B2,0.8795308104516704
B2,0.6106528762814356
B2,0.5166206878459069
B2,0.722617525104498
B2,0.7418615260310931
B2,0.2960776763750911
B2,0.7532551681249008
B2,0.3285939390000876
B2,0.8004006387345266
B2,0.6252321278189189
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
B3/C1,0.0
