miner_count,seed,active_energy_kwh,idle_energy_kwh,saving_vs_anchor_kwh,total_energy_kwh
100,20260201,5.449830756011245,0.2971002577322089,2.673902319589878,5.746931013743454
100,20260202,5.091702064691141,0.3329131268642192,2.9962181417779723,5.42461519155536
100,20260203,4.934326079971088,0.34865072533622454,3.1378565280260204,5.282976805307312
100,20260204,5.8769671071807625,0.2543866226152569,2.2894796035373126,6.13135372979602
100,20260205,3.4299256862220138,0.49909076471113206,4.491816882400187,3.9290164509331458
100,20260206,6.7192767332687655,0.17015566000645693,1.5314009400581101,6.889432393275222
100,20260207,5.470063657361621,0.29507696759717117,2.6556927083745405,5.765140624958792
100,20260208,2.973249734393997,0.5447583598939336,4.902825239045402,3.518008094287931
100,20260209,6.179426759255514,0.2241406574077821,2.017265916670037,6.403567416663296
100,20260210,3.024330681497211,0.5396502651836123,4.856852386652509,3.5639809466808234
100,20260211,3.9318688374725994,0.44889644958607333,4.040068046274659,4.380765287058673
100,20260212,4.556210841718497,0.38646224916148364,3.4781602424533524,4.94267309087998
100,20260213,3.2793225866940774,0.5141510746639257,4.627359671975329,3.793473661358003
100,20260214,2.694618192997857,0.5726215140335477,5.153593626301928,3.2672397070314045
100,20260215,4.179252637698645,0.4241580695634688,3.8174226260712185,4.603410707262114
100,20260216,5.543336580373974,0.2877496752959361,2.5897470776634224,5.83108625566991
100,20260217,5.519156702189958,0.2901676631143377,2.611508968029036,5.809324365304296
100,20260218,4.926596714782869,0.34942366185504653,3.144812956695417,5.2760203766379155
100,20260219,5.09114810194859,0.33296852313847436,2.996716708246269,5.424116625087064
100,20260220,5.172366546483944,0.324846678684939,2.9236201081644495,5.497213225168883
100,20260221,3.804591934565789,0.46162413987675444,4.154617258890789,4.266216074442544
100,20260222,4.743543844896746,0.36772894884365864,3.309560539592928,5.1112727937404046
100,20260223,3.943385080334979,0.44774482529983545,4.029703427698518,4.3911299056348145
100,20260224,4.285551327231409,0.41352820061019246,3.7217538054917307,4.699079527841602
100,20260225,4.767235348446236,0.3653597984887098,3.288238186398387,5.132595146934945
100,20260226,5.844793962613246,0.25760393707200857,2.3184354336480775,6.102397899685255
100,20260227,2.5621489486871503,0.5858684384646181,5.272815946181565,3.1480173871517683
100,20260228,7.014836224999281,0.1405997108334051,1.2653973975006458,7.155435935832687
100,20260229,4.538948085020543,0.388188524831279,3.49369672348151,4.927136609851822
100,20260230,4.316744954423512,0.4104088378909822,3.693679541018839,4.7271537923144935
500,20260201,4.3847080474022,0.40361252859311336,3.632512757338019,4.788320575995313
500,20260202,5.793259986157649,0.26275733471756846,2.3648160124581157,6.056017320875217
500,20260203,4.546573536814602,0.3874259796518731,3.4868338168668576,4.933999516466475
500,20260204,3.9608913816432487,0.44599419516900846,4.013947756521075,4.4068855768122575
500,20260205,3.5949585315559824,0.4825874801777351,4.343287321599615,4.077546011733718
500,20260206,5.949862965378643,0.24709703679546907,2.2238733311592203,6.196960002174112
500,20260207,4.993540593072168,0.3427292740261165,3.084563466235048,5.336269867098284
500,20260208,2.292023572642672,0.6128809760690661,5.515928784621595,2.904904548711738
500,20260209,4.461469138165588,0.39593641951677455,3.563427775650969,4.857405557682363
500,20260210,2.7648552427390176,0.5655978090594316,5.090380281534883,3.3304530517984494
500,20260211,3.8102846223066353,0.4610548711026698,4.149493839924028,4.271339493409305
500,20260212,4.539974143071439,0.38808591902618944,3.492773271235704,4.928060062097629
500,20260213,3.4026688960961358,0.5018164437237198,4.516347993513477,3.9044853398198556
500,20260214,2.4681295778886025,0.595270375544473,5.357433379900257,3.0633999534330756
500,20260215,1.8941060395296285,0.6526727293803705,5.874054564423334,2.546778768909999
500,20260216,4.430823765364347,0.39900095679689856,3.5910086111720867,4.829824722161246
500,20260217,5.896209255182202,0.25246240781511314,2.2721616703360175,6.148671662997315
500,20260218,4.22480583512668,0.41960274982066526,3.7764247483859874,4.644408584947345
500,20260219,3.5271123235953588,0.4893721009737974,4.4043489087641765,4.016484424569156
500,20260220,5.661546396707394,0.2759286936625939,2.4833582429633454,5.937475090369987
500,20260221,3.3918931392076677,0.5028940194125666,4.526046174713098,3.8947871586202343
500,20260222,3.9796142076476566,0.4441219125685677,3.997097213117108,4.423736120216224
500,20260223,3.162934449656551,0.5257898883676783,4.732108995309103,3.688724338024229
500,20260224,3.1732178092079204,0.5247615524125413,4.722853971712871,3.6979793616204617
500,20260225,3.734748147258832,0.46860851860745023,4.21747666746705,4.203356665866282
500,20260226,6.787168144563373,0.163366518876996,1.470298669892963,6.9505346634403695
500,20260227,2.084127309494275,0.6336706023839059,5.7030354214551515,2.717797911878181
500,20260228,7.645523308648533,0.07753100246847995,0.6977790222163192,7.723054311117013
500,20260229,4.435219642272623,0.3985613691060711,3.587052321954639,4.833781011378694
500,20260230,4.701409249565653,0.37194240837676806,3.3474816753909113,5.073351657942421
