miner_count,seed,completion_time_std_s
100,20260201,2649.49246287689
100,20260202,4829.082888865947
100,20260203,3199.929053603856
100,20260204,2413.973443607909
100,20260205,3202.262200695725
100,20260206,4484.578703994278
100,20260207,3228.421729455895
100,20260208,3861.4413743158184
100,20260209,2638.1144686114453
100,20260210,6004.903801669598
100,20260211,2645.120855394441
100,20260212,3437.179943691007
100,20260213,5955.66866247032
100,20260214,3692.2910574613643
100,20260215,3420.202448465172
100,20260216,2666.635857795235
100,20260217,3083.8027914878685
100,20260218,2806.617209542486
100,20260219,2245.4791643767885
100,20260220,4326.11055199318
100,20260221,3204.7864695489175
100,20260222,2409.405017165428
100,20260223,5552.8748449585955
100,20260224,4142.442761357656
100,20260225,3898.361078044507
100,20260226,3069.3490670066117
100,20260227,3981.333833140514
100,20260228,4208.35653217923
100,20260229,3528.2955477281616
100,20260230,2975.6957318887708
500,20260201,3481.1017661720725
500,20260202,4289.126063515955
500,20260203,3436.642947535134
500,20260204,3601.767147265869
500,20260205,4321.089702195928
500,20260206,5073.647216476192
500,20260207,3816.946343625333
500,20260208,3034.6772206048804
500,20260209,4542.511679154766
500,20260210,4047.458871684809
500,20260211,3579.7331903352606
500,20260212,3665.9399993705015
500,20260213,4549.380385616119
500,20260214,3478.106006249864
500,20260215,4747.891603519239
500,20260216,3894.1070172721616
500,20260217,3447.5402221278723
500,20260218,3228.695960403582
500,20260219,4429.3545477268835
500,20260220,4307.165563026193
500,20260221,3434.66567927878
500,20260222,3359.071983254882
500,20260223,5072.829900499262
500,20260224,4599.04585604259
500,20260225,4181.738233651203
500,20260226,3926.2091764594534
500,20260227,4119.114486124265
500,20260228,3793.1634005916558
500,20260229,3494.258509858804
500,20260230,3866.294023543424
