scenario,n,zero_block,prob,wilson_lo,wilson_hi
B0,150,0,0.0,1.734723475976807e-18,0.0249702443680766
B1,150,138,0.92,0.8653786362494686,0.953646358481347
B2,150,0,0.0,1.734723475976807e-18,0.0249702443680766
B3_C1_CONTINUOUS_DISJOINT,870,4,0.004597701149425287,0.0017893652182392056,0.011761672788901063
C2,570,0,0.0,0.0,0.006694285959381073
