group,value
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B0,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
B1,8.420833333333333
