contrast,n_seeds,mean_abs_reduction_kwh,median_abs_reduction_kwh,ci95_abs_lower_kwh,ci95_abs_upper_kwh,mean_relative_reduction,median_relative_reduction,ci95_rel_lower,ci95_rel_upper,exact_sign_permutation_p_one_sided
H-M1 (M01 vs within-run power null),10,0.01930280312037059,0.019312496435185345,0.019258044898148353,0.019342936851852108,0.5386828777777839,0.5389533888888934,0.5374375777777829,0.5397535666666744,0.0009765625
H-M2 (M02 vs within-run power null),10,0.015967381111111373,0.01598166666666708,0.015879183333333595,0.01605405000000026,0.44560133333334057,0.4460000000000115,0.443114666666674,0.4479746666666732,0.0009765625
H-M3 accepted_blocks ratio (M03/M01),10,,,,,0.8241653968397605,0.8280788177339902,0.805268889497938,0.8430368161613163,deterministic limit (no p-value)
H-M3 median_round_duration ratio (M03/M01),10,,,,,1.0008453363076522,1.0010570824524123,0.9876022916744281,1.0135833331136987,deterministic limit (no p-value)
