sweep,level,value,network_energy_mean_kwh,network_energy_std_kwh,network_energy_ci95_kwh,n_seeds
coin_price,low,20000.0,155826023.63732776,15295893.56113602,5710939.216197632,30
coin_price,medium,60000.0,467478070.91198325,45887680.68340807,17132817.648592897,30
coin_price,high,100000.0,779130118.1866386,76479467.80568008,28554696.08098815,30
electricity_price_per_kwh,cheap,0.03,779130118.1866387,76479467.8056801,28554696.08098816,30
electricity_price_per_kwh,typical,0.05,467478070.91198325,45887680.68340807,17132817.648592897,30
electricity_price_per_kwh,expensive,0.1,233739035.45599163,22943840.341704033,8566408.824296448,30
block_subsidy,low,1.5625,254532641.83840984,28931947.53271737,10802153.735260203,30
block_subsidy,base,3.125,467478070.91198325,45887680.68340807,17132817.648592897,30
block_subsidy,high,6.25,893368929.0591301,82961587.8768348,30974887.720691867,30
