miner_count,network_energy_mean_kwh,network_energy_std_kwh,network_energy_ci95_kwh,per_miner_mean_kwh,per_miner_std_kwh,per_miner_ci95_kwh,n_seeds
50,467478070.91198325,45887680.68340807,17132817.648592897,9349561.418239662,917753.6136681619,342656.3529718582,30
100,467478070.91198325,45887680.68340807,17132817.648592897,4674780.709119832,458876.8068340803,171328.17648592885,30
500,467478070.91198325,45887680.68340807,17132817.648592897,934956.1418239668,91775.36136681624,34265.63529718584,30
1000,467478070.91198325,45887680.68340807,17132817.648592897,467478.070911983,45887.68068340809,17132.817648592907,30
