scenario_id,duration_below_static_floor,static_floor_deficit_area_hash_s,static_floor_unattainable_count,duration_below_useful_floor,useful_floor_deficit_area,useful_floor_unattainable_count,H_useful_available_time_weighted,H_useful_target_time_weighted
S00_NO_FLOOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S01_STAGE8R_STATIC_FLOOR,273.752986111107,828653.1805555419,53.083333333333336,42.25013888888898,53514.749999999614,0.0,676.2834490740697,612.7004398148097
S02_USEFUL_FLOOR,273.752986111107,828653.1805555419,0.0,42.25013888888898,53514.749999999614,541.5,676.2834490740697,612.7004398148097
S03_USEFUL_FLOOR_COARSE_REASSIGNMENT,271.8088194444413,820048.3819444353,0.0,28.707847222221925,42806.70138888727,672.0,675.3902777777546,606.701273148126
