run_id,scenario_id,role,seed_class,seed_index,master_seed,hypotheses,run_status,all_integrity_gates_pass,E_idle_kwh,E_power_null_kwh,absolute_reduction_kwh,relative_reduction,rounds_accepted,median_round_duration,rounds_executed,zero_block_indicator,total_duration_below_floor,floor_unattainable_count,security_floor_observation_count,reserve_activations_seated,reserve_activations_completed,nonterminal_activation_request_count,maximum_energy_identity_residual_j,maximum_residency_partition_residual_s,duplicate_nonce_count,post_round_evaluation_record_count,post_round_evaluation_nonce_count,evaluation_missing_terminal_time_count,physical_frontier_rewind_count,work_reward_union_residual,nonterminal_lease_count,nonterminal_reassignment_request_count,adversarial_action_total,offline_residency_s,power_null_equals_A1_residual_kwh,a1_continuous_control_kwh,evaluation_ledger_entries,wall_clock_seconds,peak_rss_mb,config_sha256,engine_sha256,record_sha256
7m-M02_HOM_IDLE-s00,M02_HOM_IDLE,CONFIRMATORY,CONFIRMATORY,0,7266343386191483739,H-M2,COMPLETED,True,0.020103933333333136,0.035833333333333335,0.0157294000000002,0.4389600000000055,147,1.5000000000000036,195,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,5778,1.0647807121276855,51.99609375,cd8c9f5b97f144e08150b198b6a2c5b7565a80ff3959481d4a3b70563f810122,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,6dda36fa2f138f2b08e65f5f50b3a9d387128577db58b3be116515f3ca996b80
7m-M02_HOM_IDLE-s01,M02_HOM_IDLE,CONFIRMATORY,CONFIRMATORY,1,7327669731288643706,H-M2,COMPLETED,True,0.019876988888888704,0.035833333333333335,0.01595634444444463,0.44529333333333854,152,1.4700000000000273,199,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,5574,1.0639960765838623,51.359375,460911c5bc2e4055487f11d55a76b6cc0581b7098b40839b3480a1f0c060b682,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,c56989a4ba3b51c29ccac46f1d960d3a8114803ed0836054fcfcbbb52afbebe4
7m-M02_HOM_IDLE-s02,M02_HOM_IDLE,CONFIRMATORY,CONFIRMATORY,2,14021529625252821637,H-M2,COMPLETED,True,0.020037522222222024,0.035833333333333335,0.01579581111111131,0.4408133333333389,146,1.505000000000038,196,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,5754,1.0402863025665283,51.93359375,7a689328ba7497cf6ba7be841285a429e750944e135d16b8359014c74d66e143,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,36e1e8c59f5ef6dbf139de2b6d59512a4fd08eb908ba839cc3c214ad8cf96ea2
7m-M02_HOM_IDLE-s03,M02_HOM_IDLE,CONFIRMATORY,CONFIRMATORY,3,13015257401067502099,H-M2,COMPLETED,True,0.020017933333333144,0.035833333333333335,0.01581540000000019,0.4413600000000053,148,1.45000000000001,197,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,5742,1.0432322025299072,51.94921875,3caf53f084a37979fa94a960df9f878b8b7f4ee40fdfc2a66a57c78ebba907ea,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,bdf218e42fe8d461f7b36be43dd59a9c28743a4b2e913619907ba601c82dd4b4
7m-M02_HOM_IDLE-s04,M02_HOM_IDLE,CONFIRMATORY,CONFIRMATORY,4,4888788266148067928,H-M2,COMPLETED,True,0.01971836666666647,0.035833333333333335,0.016114966666666865,0.4497200000000055,159,1.3600000000000705,203,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,5257,0.9969625473022461,50.46484375,e96292b97ef71e86a2daf97c0761b1c008e714b39d8423219c351d0bdbfdf4ca,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,ea083f73f441b7e55f5a81e0da97b50fa4935688694f78e24581367dece551a2
7m-M02_HOM_IDLE-s05,M02_HOM_IDLE,CONFIRMATORY,CONFIRMATORY,5,372686234733934361,H-M2,COMPLETED,True,0.019787166666666484,0.035833333333333335,0.01604616666666685,0.44780000000000514,162,1.4100000000000108,201,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,5247,0.9512765407562256,50.375,68085e9cec703ed36c9c2c4c144815dd0a73294b4640d17e0d0cf3a7173d024e,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,4ed09e05107d37e259c322087cf91867a89fd02d56633ed7ba4bf4ccf5f066a6
7m-M02_HOM_IDLE-s06,M02_HOM_IDLE,CONFIRMATORY,CONFIRMATORY,6,8946841158517248766,H-M2,COMPLETED,True,0.01977999999999958,0.035833333333333335,0.016053333333333756,0.4480000000000118,158,1.4300000000000015,201,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,5341,0.971182107925415,50.640625,3828f67242d0ba8dcffab9679ceabdaab8eb14030fd16ddbe5ad96aa1ac7136b,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,0f936b9f299bf2ff65e3e7dc2f8aa94cc9b742eb63cac1eda20673b2af5b4d06
7m-M02_HOM_IDLE-s07,M02_HOM_IDLE,CONFIRMATORY,CONFIRMATORY,7,9009703059525875822,H-M2,COMPLETED,True,0.019875555555555143,0.035833333333333335,0.015957777777778192,0.44533333333334485,157,1.4300000000000006,199,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,5450,1.0681757926940918,50.96875,ef6d895b83b8258af9a15026efb7846c15227a3fa8ee17028e6215086c193464,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,0ef611a646e6721b5e7cafb90b463505f898aa468c2acfd1cbda666da4e6427f
7m-M02_HOM_IDLE-s08,M02_HOM_IDLE,CONFIRMATORY,CONFIRMATORY,8,13763262471769672163,H-M2,COMPLETED,True,0.0196342777777776,0.035833333333333356,0.016199055555555755,0.45206666666667195,169,1.3800000000000523,205,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,2.0816681711721685e-17,0.035833333333333335,5139,1.039970874786377,50.07421875,531fea701b74a831be1330afdda979013cc4ea39d2a3c73619100427f563059d,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,0abefb36f3eb0326cce6974200b4fde1cf844e4df054ee687e29ed519a38ba70
7m-M02_HOM_IDLE-s09,M02_HOM_IDLE,CONFIRMATORY,CONFIRMATORY,9,11943450448932995834,H-M2,COMPLETED,True,0.019827777777777365,0.035833333333333335,0.01600555555555597,0.4466666666666782,155,1.3850000000000477,200,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,5415,1.0034618377685547,50.94921875,457b5fccdfb21737557ad6502cab8da513003bd05111112d955f56054e7c7379,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,891d750c6e4f2829d624cd1751eb7b73420fe11373a23b267cdafe5b3840bf98
7m-M03_HET_IDLE_FLOOR-s00,M03_HET_IDLE_FLOOR,CONFIRMATORY,CONFIRMATORY,0,7266343386191483739,H-M3,COMPLETED,True,0.014739486249999934,0.035833333333333335,0.0210938470833334,0.5886655000000018,135,1.1900000000000084,178,0,275.2608333333294,1092,4709,328,226,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,6312,1.5492370128631592,56.4140625,c8995fa87d24653232668f7042f71ecabc2b4998cec230cf0ada2cb085a5af88,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,481e2cdb43c841be537b1e3ba0b79e5b0b276bfdc0b54a27c08a23551233253b
7m-M03_HET_IDLE_FLOOR-s01,M03_HET_IDLE_FLOOR,CONFIRMATORY,CONFIRMATORY,1,7327669731288643706,H-M3,COMPLETED,True,0.014722593819444267,0.03583333333333333,0.02111073951388906,0.5891369166666716,135,1.1750000000000114,179,0,275.5883333333297,1097,4706,326,221,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,6.938893903907228e-18,0.035833333333333335,6211,1.4657597541809082,56.37890625,6550632357e326c44aeb25c29f098e7ec35134be4140ce599c17dd1dbf7ec79e,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,085cfc0fdb4c660d2540746b6a74c06dfbe4a3e2f6fbb7ee75e38ef35d3394e4
7m-M03_HET_IDLE_FLOOR-s02,M03_HET_IDLE_FLOOR,CONFIRMATORY,CONFIRMATORY,2,14021529625252821637,H-M3,COMPLETED,True,0.014720311435185164,0.035833333333333335,0.02111302189814817,0.5892006111111117,133,1.1775000000000375,178,0,275.7408333333296,1098,4720,332,217,0,0.0,5.684341886080802e-14,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,6235,1.5483667850494385,56.46875,8c83e4a244ff70498bacd0f8bcaa205b39a11d30a508553c503f7bcc3915fd94,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,ff4df58dbaa51e5ee523359c83230f417bb139ea53cebd4e2f266459f874de2a
7m-M03_HET_IDLE_FLOOR-s03,M03_HET_IDLE_FLOOR,CONFIRMATORY,CONFIRMATORY,3,13015257401067502099,H-M3,COMPLETED,True,0.014705325636573913,0.035833333333333335,0.02112800769675942,0.5896188194444489,130,1.190000000000019,174,0,275.0099999999962,1159,4696,335,237,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.035833333333333335,6484,1.4790229797363281,57.0234375,6b8d9f06e596fbba89d870021e39fc9434a13fc1083e2791acd189df2290c82b,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,248ae28e3819ae0e3a91839b1e1943c260a5ef2baa0f7142cfa654afe80592a8
7m-M03_HET_IDLE_FLOOR-s04,M03_HET_IDLE_FLOOR,CONFIRMATORY,CONFIRMATORY,4,4888788266148067928,H-M3,COMPLETED,True,0.014953990555555184,0.03583333333333334,0.020879342777778157,0.5826793333333438,145,1.1825000000000259,184,0,274.03750000000036,1032,4746,320,205,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,6.938893903907228e-18,0.035833333333333335,6255,1.5011911392211914,56.796875,401115f89dd3ce8e76f5d2c2fe76c54d5d1530b790108f726f940d7b5c2c5a40,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,51abb6c3991250842a8eab58d4a1d08aa87d0a2db810e77630ccecf1e1dd3b33
7m-M03_HET_IDLE_FLOOR-s05,M03_HET_IDLE_FLOOR,CONFIRMATORY,CONFIRMATORY,5,372686234733934361,H-M3,COMPLETED,True,0.015103652453703511,0.03583333333333333,0.020729680879629817,0.5785027222222275,157,1.1600000000000108,193,0,274.4449999999958,951,4809,323,178,0,0.0,5.684341886080802e-14,0,0,0,0,0,0.0,0,0,0,0.0,6.938893903907228e-18,0.035833333333333335,6036,1.5357136726379395,56.47265625,faf510158cbebbbd1b1bbee4de54fdd70e8e8cc5399c83098d0fa200fbb9681d,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,52adebcdf14127e77bac724da092f36a814ce41d7a0f9a8f6509a88392861f69
7m-M03_HET_IDLE_FLOOR-s06,M03_HET_IDLE_FLOOR,CONFIRMATORY,CONFIRMATORY,6,8946841158517248766,H-M3,COMPLETED,True,0.014866998668981299,0.03583333333333334,0.020966334664352042,0.5851070138888941,151,1.1450000000000067,190,0,275.669999999996,960,4708,276,199,0,0.0,5.684341886080802e-14,0,0,0,0,0,0.0,0,0,0,0.0,6.938893903907228e-18,0.035833333333333335,5712,1.4253456592559814,55.1171875,2accad93b1facf34acca8496e76a629ce5b287da6ef6f7f2948e8acddb8a9969,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,3db9f4836066109908765a590cca65f5d0c13ac999e8f7313b268942a766c310
7m-M03_HET_IDLE_FLOOR-s07,M03_HET_IDLE_FLOOR,CONFIRMATORY,CONFIRMATORY,7,9009703059525875822,H-M3,COMPLETED,True,0.015016876562499826,0.035833333333333314,0.020816456770833488,0.5809243750000046,152,1.1600000000000108,191,0,274.02916666666243,951,4742,293,191,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,2.0816681711721685e-17,0.035833333333333335,5956,1.5699031352996826,56.05859375,291634a563f79d5b2c0b32cacf649bccec8f1d4c5b383c7eace9e3060246ab48,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,aada4ba4270ca19acfa879103cc2eb26e47f19f467d802ba5e695577fdbff219
7m-M03_HET_IDLE_FLOOR-s08,M03_HET_IDLE_FLOOR,CONFIRMATORY,CONFIRMATORY,8,13763262471769672163,H-M3,COMPLETED,True,0.01502472107638878,0.03583333333333333,0.020808612256944546,0.5807054583333363,152,1.1650000000000205,187,0,274.1249999999959,1003,4765,315,203,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,6.938893903907228e-18,0.035833333333333335,6188,1.5121943950653076,56.63671875,87801c9ef12821bacf6cabd54183777ff7c712277e6b9f166a97c7c480c7512e,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,0a027c27ebdd63695807e63f42ac67e004c4608dff2ca1b3032ba12f667e0321
7m-M03_HET_IDLE_FLOOR-s09,M03_HET_IDLE_FLOOR,CONFIRMATORY,CONFIRMATORY,9,11943450448932995834,H-M3,COMPLETED,True,0.014950077754629452,0.035833333333333314,0.020883255578703862,0.5827885277777826,144,1.1800000000000352,185,0,274.3149999999962,1019,4751,333,196,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,2.0816681711721685e-17,0.035833333333333335,6256,1.5383191108703613,56.8359375,6d76f18e36b164b5f06f996355fd8c02f75b5ecf5a5c59fa044080f6848aa019,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,92a9b7940d8f4d10d6577b3816118cb7c012fb9a556e7f3f188923fa486f3174
