run_id,scenario_id,role,seed_class,seed_index,master_seed,hypotheses,run_status,all_integrity_gates_pass,E_idle_kwh,E_power_null_kwh,absolute_reduction_kwh,relative_reduction,rounds_accepted,median_round_duration,rounds_executed,zero_block_indicator,total_duration_below_floor,floor_unattainable_count,security_floor_observation_count,reserve_activations_seated,reserve_activations_completed,nonterminal_activation_request_count,maximum_energy_identity_residual_j,maximum_residency_partition_residual_s,duplicate_nonce_count,post_round_evaluation_record_count,post_round_evaluation_nonce_count,evaluation_missing_terminal_time_count,physical_frontier_rewind_count,work_reward_union_residual,nonterminal_lease_count,nonterminal_reassignment_request_count,adversarial_action_total,offline_residency_s,power_null_equals_A1_residual_kwh,a1_continuous_control_kwh,evaluation_ledger_entries,wall_clock_seconds,peak_rss_mb,config_sha256,engine_sha256,record_sha256
7m-X01_SCALE_HET_IDLE-p02,X01_SCALE_HET_IDLE,EXPLORATORY_SCALE_CHECK,PILOT,2,15937574252844005470,NONE,COMPLETED,True,0.1095655960763869,0.252625,0.1430594039236131,0.5662915543735304,283,1.027500000000014,288,0,0.0,0,0,0,0,0,0.0,5.684341886080802e-14,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.252625,1804,7.689432144165039,108.6484375,4cd99eeee534e9001a7ce23c4bc8ef23738828aa52d15f75b2a5a6540fc4f78e,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,fc95f1b124821c7fc0e3586678499947f1fde79c080acb40595654c67f62db19
7m-X02_SCALE_HET_IDLE_FLOOR-p03,X02_SCALE_HET_IDLE_FLOOR,EXPLORATORY_SCALE_CHECK,PILOT,3,193675606317841507,NONE,COMPLETED,True,0.10702028871527587,0.25262499999999993,0.14560471128472408,0.5763669917257758,268,1.0275000000000318,274,0,290.8133333333272,2494,35313,1195,364,0,0.0,5.684341886080802e-14,0,0,0,0,0,0.0,0,0,0,0.0,5.551115123125783e-17,0.252625,3854,25.05402970314026,150.87109375,0eee0f0a8890bee5d6cdc0c294d2280ccd424becda1a96c4a441e75220106ed6,7ce5754a1ed461278b55de53002faad1fb82533e7224eb1bb199ce713d4f93d7,d4464451f08df520ab3b7047b2de4954e165b30c147437f98bd36544079821a4
