scenario_id,seed,miners,domain_size,config_hash,total_candidate_evaluations,distinct_candidate_identities,duplicate_evaluations,duplicate_rate,overlap_headers,unsearched_candidates,active_energy_kwh,idle_energy_kwh,coordination_energy_kwh,total_energy_kwh,total_active_time_s,total_idle_time_s,finders,idle_policy,common_template
C1,3,10,1000,a705b66dfabe858d,1000,1000,0,0.0,0,0,5.9722222222222214e-15,0.0,0.0,5.9722222222222214e-15,1000.0,0.0,0,False,True
C2,1,10,1000,43cf4166c600c52e,1000,1000,0,0.0,0,0,5.9722222222222214e-15,0.0,0.0,5.9722222222222214e-15,1000.0,0.0,2,True,True
C2,2,10,1000,f9102b881b4c5e93,1000,1000,0,0.0,0,0,5.9722222222222214e-15,0.0,0.0,5.9722222222222214e-15,1000.0,0.0,0,True,True
C2,3,10,1000,e4a6f86ed98e3a6a,1000,1000,0,0.0,0,0,5.9722222222222214e-15,0.0,0.0,5.9722222222222214e-15,1000.0,0.0,0,True,True
B0,1,20,2000,79da9386c5037e65,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,0,False,False
B0,2,20,2000,ab05720f87f9adbe,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,1,False,False
B0,3,20,2000,22d094f67a87654b,2000,2000,0,0.0,0,0,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,1,False,False
B1,1,20,2000,1755870b753a3e2b,2000,100,1900,0.95,100,1900,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,0,False,True
B1,2,20,2000,b5e7e213b883892c,2000,100,1900,0.95,100,1900,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,1,False,True
B1,3,20,2000,548472a5dcfbd2f0,2000,100,1900,0.95,100,1900,1.1944444444444449e-14,0.0,0.0,1.1944444444444449e-14,2000.0,0.0,1,False,True
