demo,idle_ratio,c1_total_kwh,c2_total_kwh,c1_active_s,c2_active_s,c2_idle_s,c2_active_kwh,c2_idle_kwh,saving_kwh,fractional_saving
c2_idle,0.0,5.9722222222222214e-15,2.9861111111111107e-15,1000.0,500.0,500.0,2.9861111111111107e-15,0.0,2.9861111111111107e-15,0.5
c2_idle,0.1,5.9722222222222214e-15,3.284722222222222e-15,1000.0,500.0,500.0,2.9861111111111107e-15,2.98611111111111e-16,2.6874999999999996e-15,0.45
c2_idle,0.2,5.9722222222222214e-15,3.5833333333333325e-15,1000.0,500.0,500.0,2.9861111111111107e-15,5.97222222222222e-16,2.388888888888889e-15,0.4000000000000001
