N,M,mode,schedule,hardware,idle_ratio,sleep_ratio,use_sleep,slot_seconds,sim_seconds,per_miner_hashrate_hps,per_miner_active_power_w,aggregate_active_power_w,n_slots,successful_rounds,exhausted_rounds,active_miner_seconds,idle_miner_seconds,sleep_miner_seconds,unique_candidate_evaluations,duplicate_header_evaluations,total_energy_j,total_energy_kwh,co2_kg,energy_per_successful_round_kwh,avg_discovery_time_s,pct_time_active,slot_utilization,total_state_time_s,seed,p_success,deterministic
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,17,0,364190.15999999986,635809.8400000008,0.0,6069836,600913764,42777114.40000005,11.882531777777793,5.287726641111118,0.6989724575163407,214.22950588235292,36.419015999999985,1.0,1000000.0000000007,9,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,15,2,414938.79999999923,585061.2000000007,0.0,7248980,717649020,47344491.99999998,13.15124777777777,5.852305261111108,0.8767498518518514,209.95919999999998,41.493879999999926,0.8823529411764706,999999.9999999999,12,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,16,1,427192.6199999992,572807.3800000009,0.0,7119877,704867823,48447335.80000004,13.45759327777779,5.988629008611117,0.8410995798611118,229.4953875,42.719261999999915,0.9411764705882353,1000000.0000000001,14,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,17,0,344025.7800000003,655974.2199999988,0.0,5733763,567642537,40962320.199999966,11.378422277777767,5.063397913611107,0.6693189575163393,202.36810588235295,34.40257800000003,1.0,999999.9999999991,22,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,15,2,386634.6599999994,613365.34,0.0,6443911,637947189,44797119.399999894,12.443644277777748,5.537421703611098,0.8295762851851832,177.75644000000005,38.66346599999994,0.8823529411764706,999999.9999999993,13,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,15,2,405451.26000000024,594548.7399999994,0.0,6757521,668994579,46490613.40000007,12.914059277777799,5.746756378611121,0.8609372851851866,190.30084000000005,40.545126000000025,0.8823529411764706,999999.9999999997,17,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,14,3,506911.4999999994,493088.5000000006,0.0,8448525,836403975,55622035.000000104,15.450565277777807,6.875501548611124,1.1036118055555577,233.50821428571427,50.69114999999994,0.8235294117647058,1000000.0,21,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,13,4,488233.6599999993,511766.3400000007,0.0,8470561,838585539,53941029.39999998,14.983619277777773,6.667710578611109,1.152586098290598,206.3335846153846,48.82336599999993,0.7647058823529411,1000000.0,19,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,17,0,447659.9400000005,552340.0599999998,0.0,7460999,738638901,50289394.600000046,13.96927627777779,6.216327943611117,0.8217221339869288,263.32937647058816,44.76599400000005,1.0,1000000.0000000003,20,2e-06,False
100,1000000,COMMON_TEMPLATE_DUPLICATE_BASELINE,FIXED_SLOT_IDLE,H2_FIXED_PER_MINER_HARDWARE,0.1,0.0,False,600.0,10000.0,1666.6666666666667,100.0,10000.0,17,14,3,385266.4199999999,614733.5800000001,0.0,6421107,635689593,44673977.799999975,12.40943827777777,5.5222000336111075,0.8863884484126979,146.6188714285714,38.526641999999995,0.8235294117647058,1000000.0,15,2e-06,False
