B_mean,N,boot_ci_high,boot_ci_low,cohens_d,comparison,mean_diff,median_diff,metric,n,other_mean,tost_ci_high,tost_ci_low,tost_equivalent,tost_margin,tost_mean_diff
2.886290372777778,100,-10.112940171499998,-10.877853435249992,-5.282890754864439,B_minus_COMMON_TEMPLATE_DUPLICATE_BASELINE,-10.489395434999997,-10.255052749999987,total_energy_kwh,100,13.375685807777774,,,,,
2.886290372777778,100,0.0061019279999999535,-0.005938732875000242,-0.0021114439421461724,B_minus_INDEPENDENT_HEADERS_EQUAL_TOTAL_BUDGET,-6.542999999997078e-05,0.003346500000003916,total_energy_kwh,100,2.8863558027777776,0.004967989500000377,-0.004970433000000638,True,0.028863558027777778,-6.542999999997078e-05
2.886290372777778,100,-0.009270175499999004,-0.02437356937499949,-0.42643526269771725,B_minus_INDEPENDENT_HEADERS_FULL_PER_MINER_BUDGET,-0.01693991999999981,-0.011181000000002994,total_energy_kwh,100,2.903230292777779,,,,,
5.666967425555556,200,-20.472703289749987,-22.047093992500002,-5.193340400266007,B_minus_COMMON_TEMPLATE_DUPLICATE_BASELINE,-21.240721249999993,-21.435749499999947,total_energy_kwh,100,26.90768867555555,,,,,
5.666967425555556,200,0.006898930500002055,-0.004851588000002796,0.03856340772015042,B_minus_INDEPENDENT_HEADERS_EQUAL_TOTAL_BUDGET,0.0011348400000007076,0.005191499999982252,total_energy_kwh,100,5.665832585555555,0.006070188000001377,-0.0036874665000004242,True,0.05665832585555555,0.0011348400000007076
5.666967425555556,200,-0.00849054750000104,-0.022334072250000905,-0.4383761175047033,B_minus_INDEPENDENT_HEADERS_FULL_PER_MINER_BUDGET,-0.015401220000001263,-0.014400000000015734,total_energy_kwh,100,5.6823686455555595,,,,,
8.44606025333332,300,-31.526220414750032,-34.16331640500004,-4.869405399707144,B_minus_COMMON_TEMPLATE_DUPLICATE_BASELINE,-32.837399025000025,-32.416238249999914,total_energy_kwh,100,41.283459278333346,,,,,
8.44606025333332,300,0.007257307124985948,-0.0048650178750182125,0.038388099771798995,B_minus_INDEPENDENT_HEADERS_EQUAL_TOTAL_BUDGET,0.0011717249999884062,0.004527749999961195,total_energy_kwh,100,8.444888528333331,0.006215650499994729,-0.003933393750012881,True,0.08444888528333332,0.0011717249999884062
8.44606025333332,300,-0.009763325625018807,-0.02526083025001239,-0.4429427088742716,B_minus_INDEPENDENT_HEADERS_FULL_PER_MINER_BUDGET,-0.01744206000001487,-0.01645350000000434,total_energy_kwh,100,8.463502313333336,,,,,
11.224324991111118,400,-42.66934773949994,-46.31696495849996,-4.763289582271478,B_minus_COMMON_TEMPLATE_DUPLICATE_BASELINE,-44.46739035999992,-43.46048699999962,total_energy_kwh,100,55.691715351111036,,,,,
11.224324991111118,400,0.004925549999981267,-0.005810857500006561,-0.01291544181874557,B_minus_INDEPENDENT_HEADERS_EQUAL_TOTAL_BUDGET,-0.0003651000000046878,0.0008550000000013824,total_energy_kwh,100,11.224690091111121,0.004133129999994066,-0.004958646000008358,True,0.11224690091111121,-0.0003651000000046878
11.224324991111118,400,-0.012559940999993345,-0.02699084849998758,-0.5247937491607175,B_minus_INDEPENDENT_HEADERS_FULL_PER_MINER_BUDGET,-0.019629059999985116,-0.02041799999999494,total_energy_kwh,100,11.243954051111102,,,,,
14.00114311388888,500,-52.88039184374995,-57.333833798749815,-4.786096301044018,B_minus_COMMON_TEMPLATE_DUPLICATE_BASELINE,-55.124724124999894,-56.14841250000033,total_energy_kwh,100,69.12586723888877,,,,,
14.00114311388888,500,0.0022502999999743523,-0.008616371250011457,-0.11511993201813038,B_minus_INDEPENDENT_HEADERS_EQUAL_TOTAL_BUDGET,-0.0031767750000161856,2.6250000112248983e-05,total_energy_kwh,100,14.004319888888894,0.0014953199999938594,-0.007840950000025639,True,0.14004319888888894,-0.0031767750000161856
14.00114311388888,500,-0.016250011874993614,-0.0306586368749801,-0.6406446604928997,B_minus_INDEPENDENT_HEADERS_FULL_PER_MINER_BUDGET,-0.023433825000005192,-0.018344999999980516,total_energy_kwh,100,14.024576938888886,,,,,
