N,arm,metric,mean,median,sd,iqr,ci95_lo,ci95_hi,n
100,E50-PC10,coverage_retention,9.999999974513718,9.999999975086405,1.8042306514812566e-09,0.0,9.999999973840008,9.999999975187428,30
100,E50-PC10,saving_LP0,0.9000000000931323,0.9000000000931323,0.0,0.0,0.9000000000931323,0.9000000000931323,30
100,E50-PC10,saving_LP50,0.45000000004656615,0.45000000004656615,0.0,0.0,0.45000000004656615,0.45000000004656615,30
100,E50-PC10,block_ratio_per_seed,3.0,3.0,2.0,4.0,-1.9682754235006605,7.9682754235006605,3
100,E50-PC20,coverage_retention,19.999999949027437,19.99999995017281,3.6084613029625132e-09,0.0,19.999999947680017,19.999999950374857,30
100,E50-PC20,saving_LP0,0.8000000001862645,0.8000000001862645,0.0,0.0,0.8000000001862645,0.8000000001862645,30
100,E50-PC20,saving_LP50,0.4000000000931323,0.4000000000931323,0.0,0.0,0.4000000000931323,0.4000000000931323,30
100,E50-PC20,block_ratio_per_seed,5.0,5.0,3.0,6.0,-2.452413135250991,12.45241313525099,3
100,E50-PC30,coverage_retention,29.999999923541157,29.999999925259218,5.41269214256978e-09,0.0,29.999999921520025,29.99999992556229,30
100,E50-PC30,saving_LP0,0.7000000002793967,0.7000000002793967,0.0,0.0,0.7000000002793967,0.7000000002793967,30
100,E50-PC30,saving_LP50,0.35000000013969834,0.35000000013969834,0.0,0.0,0.35000000013969834,0.35000000013969834,30
100,E50-PC30,block_ratio_per_seed,7.333333333333333,9.0,4.725815626252609,9.0,-4.406243482619774,19.07291014928644,3
100,E50-PC40,coverage_retention,39.999999898054874,39.99999990034562,7.2169226059250264e-09,0.0,39.999999895360034,39.999999900749714,30
100,E50-PC40,saving_LP0,0.600000000372529,0.600000000372529,0.0,0.0,0.600000000372529,0.600000000372529,30
100,E50-PC40,saving_LP50,0.3000000001862646,0.3000000001862646,0.0,0.0,0.3000000001862646,0.3000000001862646,30
100,E50-PC40,block_ratio_per_seed,8.666666666666666,10.0,4.163331998932265,8.0,-1.6756233584178588,19.00895669175119,3
100,E50-PC50,coverage_retention,49.9999998725686,49.99999987543203,9.021153668482383e-09,0.0,49.999999869200046,49.999999875937156,30
100,E50-PC50,saving_LP0,0.5000000004656613,0.5000000004656613,0.0,0.0,0.5000000004656613,0.5000000004656613,30
100,E50-PC50,saving_LP50,0.25000000023283064,0.25000000023283064,0.0,0.0,0.25000000023283064,0.25000000023283064,30
100,E50-PC50,block_ratio_per_seed,10.333333333333334,12.0,4.725815626252609,9.0,-1.4062434826197734,22.072910149286443,3
100,E50-PC60,coverage_retention,59.999999847082314,59.999999850518435,1.082538428513956e-08,0.0,59.99999984304005,59.99999985112458,30
100,E50-PC60,saving_LP0,0.4000000005587935,0.4000000005587935,0.0,0.0,0.4000000005587935,0.4000000005587935,30
100,E50-PC60,saving_LP50,0.2000000002793968,0.2000000002793968,0.0,0.0,0.2000000002793968,0.2000000002793968,30
100,E50-PC60,block_ratio_per_seed,11.666666666666666,14.0,4.932882862316247,9.0,-0.5872936792600356,23.920627012593368,3
100,E50-PC80,coverage_retention,79.99999979610975,79.99999980069124,1.4433845211850053e-08,0.0,79.99999979072007,79.99999980149943,30
100,E50-PC80,saving_LP0,0.20000000074505808,0.20000000074505808,0.0,0.0,0.20000000074505808,0.20000000074505808,30
100,E50-PC80,saving_LP50,0.1000000003725291,0.1000000003725291,0.0,0.0,0.1000000003725291,0.1000000003725291,30
100,E50-PC80,block_ratio_per_seed,15.333333333333334,18.0,5.507570547286102,10.0,1.6517696366945227,29.014897029972147,3
100,E50-PC100,coverage_retention,99.9999997451372,99.99999975086406,1.8042307336964767e-08,0.0,99.99999973840009,99.99999975187431,30
100,E50-PC100,saving_LP0,9.313225746154785e-10,9.313225746154785e-10,0.0,0.0,9.313225746154785e-10,9.313225746154785e-10,30
100,E50-PC100,saving_LP50,4.656612873077393e-10,4.656612873077393e-10,0.0,0.0,4.656612873077393e-10,4.656612873077393e-10,30
100,E50-PC100,block_ratio_per_seed,19.333333333333332,22.0,7.371114795831994,14.0,1.0224690913662435,37.644197575300424,3
200,E50-PC10,coverage_retention,19.999999483377007,19.999999484511537,4.3701290674190905e-09,0.0,19.999999481745174,19.99999948500884,30
200,E50-PC10,saving_LP0,0.9000000024214386,0.9000000024214386,0.0,0.0,0.9000000024214386,0.9000000024214386,30
200,E50-PC10,saving_LP50,0.45000000121071937,0.45000000121071937,0.0,0.0,0.45000000121071937,0.45000000121071937,30
200,E50-PC10,block_ratio_per_seed,4.0,4.0,1.4142135623730951,2.0,-8.706204736174694,16.706204736174694,2
200,E50-PC20,coverage_retention,39.99999896675401,39.999998969023075,8.740258134838181e-09,0.0,39.99999896349035,39.99999897001768,30
200,E50-PC20,saving_LP0,0.8000000048428773,0.8000000048428773,0.0,0.0,0.8000000048428773,0.8000000048428773,30
200,E50-PC20,saving_LP50,0.40000000242143874,0.40000000242143874,0.0,0.0,0.40000000242143874,0.40000000242143874,30
200,E50-PC20,block_ratio_per_seed,6.5,6.5,2.1213203435596424,3.0,-12.55930710426204,25.55930710426204,2
200,E50-PC30,coverage_retention,59.99999845013102,59.99999845353461,1.311038668488348e-08,0.0,59.99999844523552,59.999998455026514,30
200,E50-PC30,saving_LP0,0.700000007264316,0.700000007264316,0.0,0.0,0.700000007264316,0.700000007264316,30
200,E50-PC30,saving_LP50,0.350000003632158,0.350000003632158,0.0,0.0,0.350000003632158,0.350000003632158,30
200,E50-PC30,block_ratio_per_seed,10.0,10.0,1.4142135623730951,2.0,-2.706204736174694,22.706204736174694,2
200,E50-PC40,coverage_retention,79.99999793350803,79.99999793804615,1.7480516269676362e-08,0.0,79.9999979269807,79.99999794003536,30
200,E50-PC40,saving_LP0,0.6000000096857545,0.6000000096857545,0.0,0.0,0.6000000096857545,0.6000000096857545,30
200,E50-PC40,saving_LP50,0.30000000484287737,0.30000000484287737,0.0,0.0,0.30000000484287737,0.30000000484287737,30
200,E50-PC40,block_ratio_per_seed,11.0,11.0,1.4142135623730951,2.0,-1.7062047361746941,23.706204736174694,2
200,E50-PC50,coverage_retention,99.99999741688504,99.99999742255768,2.1850645854469256e-08,0.0,99.99999740872587,99.9999974250442,30
200,E50-PC50,saving_LP0,0.5000000121071931,0.5000000121071931,0.0,0.0,0.5000000121071931,0.5000000121071931,30
200,E50-PC50,saving_LP50,0.2500000060535966,0.2500000060535966,0.0,0.0,0.2500000060535966,0.2500000060535966,30
200,E50-PC50,block_ratio_per_seed,13.0,13.0,1.4142135623730951,2.0,0.29379526382530585,25.706204736174694,2
200,E50-PC60,coverage_retention,119.99999690026203,119.99999690706922,2.622077336976696e-08,0.0,119.99999689047104,119.99999691005303,30
200,E50-PC60,saving_LP0,0.4000000145286319,0.4000000145286319,0.0,0.0,0.4000000145286319,0.4000000145286319,30
200,E50-PC60,saving_LP50,0.20000000726431588,0.20000000726431588,0.0,0.0,0.20000000726431588,0.20000000726431588,30
200,E50-PC60,block_ratio_per_seed,14.5,14.5,0.7071067811865476,1.0,8.146897631912653,20.85310236808735,2
200,E50-PC80,coverage_retention,159.99999586701605,159.9999958760923,3.4961032539352724e-08,0.0,159.9999958539614,159.9999958800707,30
200,E50-PC80,saving_LP0,0.20000001937150913,0.20000001937150913,0.0,0.0,0.20000001937150913,0.20000001937150913,30
200,E50-PC80,saving_LP50,0.10000000968575451,0.10000000968575451,0.0,0.0,0.10000000968575451,0.10000000968575451,30
200,E50-PC80,block_ratio_per_seed,18.5,18.5,0.7071067811865476,1.0,12.146897631912653,24.85310236808735,2
200,E50-PC100,coverage_retention,199.99999483377007,199.99999484511537,4.370129170893851e-08,0.0,199.99999481745175,199.9999948500884,30
200,E50-PC100,saving_LP0,2.4214386273868627e-08,2.4214386273868627e-08,0.0,0.0,2.4214386273868627e-08,2.4214386273868627e-08,30
200,E50-PC100,saving_LP50,1.2107193247956616e-08,1.2107193247956616e-08,0.0,0.0,1.2107193247956616e-08,1.2107193247956616e-08,30
200,E50-PC100,block_ratio_per_seed,23.5,23.5,2.1213203435596424,3.0,4.4406928957379606,42.55930710426204,2
300,E50-PC10,coverage_retention,29.999999225482224,29.999999226767304,7.038682841456211e-09,0.0,29.999999222853937,29.99999922811051,30
300,E50-PC10,saving_LP0,0.9000000024214386,0.9000000024214386,0.0,0.0,0.9000000024214386,0.9000000024214386,30
300,E50-PC10,saving_LP50,0.45000000121071926,0.45000000121071926,0.0,0.0,0.45000000121071926,0.45000000121071926,30
300,E50-PC10,block_ratio_per_seed,5.0,5.0,0.0,0.0,5.0,5.0,1
300,E50-PC20,coverage_retention,59.99999845096445,59.99999845353461,1.4077365682912422e-08,0.0,59.999998445707874,59.99999845622102,30
300,E50-PC20,saving_LP0,0.8000000048428773,0.8000000048428773,0.0,0.0,0.8000000048428773,0.8000000048428773,30
300,E50-PC20,saving_LP50,0.4000000024214386,0.4000000024214386,0.0,0.0,0.4000000024214386,0.4000000024214386,30
300,E50-PC20,block_ratio_per_seed,8.0,8.0,0.0,0.0,8.0,8.0,1
300,E50-PC30,coverage_retention,89.99999767644667,89.99999768030192,2.1116050470270053e-08,0.0,89.9999976685618,89.99999768433153,30
300,E50-PC30,saving_LP0,0.7000000072643159,0.7000000072643159,0.0,0.0,0.7000000072643159,0.7000000072643159,30
300,E50-PC30,saving_LP50,0.3500000036321579,0.3500000036321579,0.0,0.0,0.3500000036321579,0.3500000036321579,30
