N,miner_hashrate_THs,miner_power_W,eta_J_per_TH,aggregate_hashrate_THs,difficulty_D_N,q_per_candidate,epoch_ticks_MT,epoch_ticks_PC,k_E50-PC10,k_E50-PC20,k_E50-PC30,k_E50-PC40,k_E50-PC50,k_E50-PC60,k_E50-PC80,k_E50-PC100
100,234.0,3510.0,15.0,23400.0,3268942236.9003296,7.122507122507123e-20,4294967296,42949673,10,20,30,40,50,60,80,100
200,234.0,3510.0,15.0,46800.0,6537884473.800659,3.5612535612535614e-20,4294967296,21474837,20,40,60,80,100,120,160,200
300,234.0,3510.0,15.0,70200.0,9806826710.700989,2.3741690408357075e-20,4294967296,14316558,30,60,90,120,150,180,240,300
400,234.0,3510.0,15.0,93600.0,13075768947.601318,1.7806267806267807e-20,4294967296,10737419,40,80,120,160,200,240,320,400
500,234.0,3510.0,15.0,117000.0,16344711184.501648,1.4245014245014244e-20,4294967296,8589935,50,100,150,200,250,300,400,500
