N,arm,coverage_retention,ok_coverage,pooled_block_retention,ok_blocks,median_latency_ratio,ok_latency,MT100_pooled_blocks,feasible,saving_LP0,saving_LP10,saving_LP25,saving_LP50
100,E50-PC10,9.999999974513718,True,16.666666666666668,True,1.0364968943321828,True,3,True,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
100,E50-PC20,19.999999949027437,True,35.666666666666664,True,0.6324657979239278,True,3,True,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
100,E50-PC30,29.999999923541157,True,54.0,True,0.41239966381286325,True,3,True,0.7000000002793967,0.6300000002514571,0.5250000002095476,0.35000000013969834
100,E50-PC40,39.999999898054874,True,67.33333333333333,True,0.35636574565567997,True,3,True,0.600000000372529,0.5400000003352762,0.4500000002793968,0.3000000001862646
100,E50-PC50,49.9999998725686,True,83.33333333333333,True,0.2416583066367666,True,3,True,0.5000000004656613,0.45000000041909516,0.37500000034924597,0.25000000023283064
100,E50-PC60,59.999999847082314,True,98.33333333333333,True,0.21051513565462107,True,3,True,0.4000000005587935,0.36000000050291414,0.30000000041909514,0.2000000002793968
100,E50-PC80,79.99999979610975,True,136.33333333333334,True,0.15464987394344834,True,3,True,0.20000000074505808,0.18000000067055233,0.15000000055879348,0.1000000003725291
100,E50-PC100,99.9999997451372,True,169.33333333333334,True,0.11651655974113503,True,3,True,9.313225746154785e-10,8.381902949494702e-10,6.984920419839113e-10,4.656612873077393e-10
200,E50-PC10,19.999999483377007,True,25.0,True,0.7249088433129591,True,2,True,0.9000000024214386,0.8100000021792948,0.675000001816079,0.45000000121071937
200,E50-PC20,39.99999896675401,True,53.5,True,0.44233615412006,True,2,True,0.8000000048428773,0.7200000043585896,0.600000003632158,0.40000000242143874
200,E50-PC30,59.99999845013102,True,81.0,True,0.2884255272871023,True,2,True,0.700000007264316,0.6300000065378843,0.525000005448237,0.350000003632158
200,E50-PC40,79.99999793350803,True,101.0,True,0.24923632854559383,True,2,True,0.6000000096857545,0.540000008717179,0.4500000072643159,0.30000000484287737
200,E50-PC50,99.99999741688504,True,125.0,True,0.16901183641176082,True,2,True,0.5000000121071931,0.4500000108964739,0.3750000090803949,0.2500000060535966
200,E50-PC60,119.99999690026203,True,147.5,True,0.14723081594184295,True,2,True,0.4000000145286319,0.3600000130757687,0.300000010896474,0.20000000726431588
200,E50-PC80,159.99999586701605,True,204.5,True,0.10815957273405853,True,2,True,0.20000001937150913,0.18000001743435823,0.15000001452863188,0.10000000968575451
200,E50-PC100,199.99999483377007,True,254.0,True,0.08148976134252962,True,2,True,2.4214386273868627e-08,2.1792947779708527e-08,1.816078976091262e-08,1.2107193247956616e-08
300,E50-PC10,29.999999225482224,True,50.0,True,0.8038024598131214,True,1,True,0.9000000024214386,0.8100000021792948,0.6750000018160789,0.45000000121071926
300,E50-PC20,59.99999845096445,True,107.0,True,0.4904766882453699,True,1,True,0.8000000048428773,0.7200000043585896,0.600000003632158,0.4000000024214386
300,E50-PC30,89.99999767644667,True,162.0,True,0.31981558846384345,True,1,True,0.7000000072643159,0.6300000065378843,0.5250000054482369,0.3500000036321579
300,E50-PC40,119.9999969019289,True,202.0,True,0.2763613326158837,True,1,True,0.6000000096857545,0.540000008717179,0.450000007264316,0.30000000484287725
300,E50-PC50,149.99999612741112,True,250.0,True,0.18740581122005143,True,1,True,0.5000000121071931,0.4500000108964738,0.3750000090803949,0.2500000060535966
300,E50-PC60,179.99999535289334,True,295.0,True,0.16325430859691145,True,1,True,0.40000001452863176,0.36000001307576857,0.30000001089647377,0.200000007264316
300,E50-PC80,239.9999938038578,True,409.0,True,0.11993084567591776,True,1,True,0.20000001937150913,0.18000001743435823,0.15000001452863188,0.10000000968575451
300,E50-PC100,299.99999225482225,True,508.0,True,0.09035849294593765,True,1,True,2.4214386273868627e-08,2.1792947557663922e-08,1.816078976091262e-08,1.2107193247956616e-08
400,E50-PC10,39.99999710441794,True,50.0,True,0.602851873558702,True,1,True,0.9000000070780511,0.8100000063702459,0.6750000053085383,0.4500000035390256
400,E50-PC20,79.99999420883589,True,107.0,True,0.36785753369308394,True,1,True,0.8000000141561021,0.720000012740492,0.6000000106170766,0.40000000707805106
400,E50-PC30,119.99999131325382,True,162.0,True,0.23986170276680083,True,1,True,0.7000000212341532,0.6300000191107378,0.5250000159256148,0.35000001061707675
400,E50-PC40,159.99998841767177,True,202.0,True,0.2072710093269083,True,1,True,0.6000000283122042,0.5400000254809838,0.45000002123415317,0.3000000141561022
400,E50-PC50,199.99998552208973,True,250.0,True,0.14055436510233002,True,1,True,0.5000000353902554,0.45000003185122983,0.3750000265426916,0.2500000176951277
400,E50-PC60,239.99998262650763,True,295.0,True,0.12244073727854815,True,1,True,0.40000004246830634,0.36000003822147586,0.3000000318512297,0.20000002123415317
400,E50-PC80,319.99997683534355,True,409.0,True,0.08994813853726112,True,1,True,0.20000005662440856,0.18000005096196758,0.15000004246830656,0.10000002831220423
400,E50-PC100,399.99997104417946,True,508.0,True,0.06776887294110956,True,1,True,7.078051067477276e-08,6.370245952957987e-08,5.308538297832399e-08,3.539025550391983e-08
500,E50-PC10,49.999997544464954,True,50.0,True,0.482281487918636,True,1,True,0.900000004749745,0.8100000042747704,0.6750000035623087,0.4500000023748725
500,E50-PC20,99.99999508892991,True,107.0,True,0.2942860202871521,True,1,True,0.8000000094994898,0.7200000085495408,0.6000000071246174,0.40000000474974495
500,E50-PC30,149.99999263339487,True,162.0,True,0.19188935786418607,True,1,True,0.7000000142492346,0.6300000128243113,0.5250000106869259,0.3500000071246173
