tag,arm,N,seed,k_active,coverage_retention,block_ratio,median_latency_ratio,saving_LP0,saving_LP10,saving_LP25,saving_LP50
pilot,E50-CONV100,100,6918711742289843946,100,99.9999998439963,NA,NA,0.0,0.0,0.0,0.0
pilot,E50-PC10,100,6918711742289843946,10,9.999999975086405,NA,NA,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
pilot,E50-PC20,100,6918711742289843946,20,19.99999995017281,NA,NA,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
pilot,E50-PC30,100,6918711742289843946,30,29.999999925259218,NA,NA,0.7000000002793967,0.6300000002514571,0.5250000002095476,0.35000000013969834
pilot,E50-PC40,100,6918711742289843946,40,39.99999990034562,NA,NA,0.600000000372529,0.5400000003352762,0.4500000002793968,0.3000000001862646
pilot,E50-PC50,100,6918711742289843946,50,49.99999987543203,NA,NA,0.5000000004656613,0.45000000041909516,0.37500000034924597,0.25000000023283064
pilot,E50-PC60,100,6918711742289843946,60,59.999999850518435,NA,NA,0.4000000005587935,0.36000000050291414,0.30000000041909514,0.2000000002793968
pilot,E50-PC80,100,6918711742289843946,80,79.99999980069124,NA,NA,0.20000000074505808,0.18000000067055233,0.15000000055879348,0.1000000003725291
pilot,E50-PC100,100,6918711742289843946,100,99.99999975086406,NA,NA,9.313225746154785e-10,8.381902949494702e-10,6.984920419839113e-10,4.656612873077393e-10
pilot,E50-CONV100,100,9878713980055163606,100,99.9999998439963,NA,NA,0.0,0.0,0.0,0.0
pilot,E50-PC10,100,9878713980055163606,10,9.999999975086405,NA,NA,0.9000000000931323,0.810000000083819,0.6750000000698492,0.45000000004656615
pilot,E50-PC20,100,9878713980055163606,20,19.99999995017281,NA,NA,0.8000000001862645,0.7200000001676381,0.6000000001396983,0.4000000000931323
pilot,E50-PC30,100,9878713980055163606,30,29.999999925259218,NA,NA,0.7000000002793967,0.6300000002514571,0.5250000002095476,0.35000000013969834
pilot,E50-PC40,100,9878713980055163606,40,39.99999990034562,NA,NA,0.600000000372529,0.5400000003352762,0.4500000002793968,0.3000000001862646
pilot,E50-PC50,100,9878713980055163606,50,49.99999987543203,NA,NA,0.5000000004656613,0.45000000041909516,0.37500000034924597,0.25000000023283064
pilot,E50-PC60,100,9878713980055163606,60,59.999999850518435,NA,NA,0.4000000005587935,0.36000000050291414,0.30000000041909514,0.2000000002793968
pilot,E50-PC80,100,9878713980055163606,80,79.99999980069124,NA,NA,0.20000000074505808,0.18000000067055233,0.15000000055879348,0.1000000003725291
pilot,E50-PC100,100,9878713980055163606,100,99.99999975086406,NA,NA,9.313225746154785e-10,8.381902949494702e-10,6.984920419839113e-10,4.656612873077393e-10
pilot,E50-CONV100,300,6918711742289843946,300,299.9999995319889,NA,NA,0.0,0.0,0.0,0.0
pilot,E50-PC10,300,6918711742289843946,30,29.999999226767304,NA,NA,0.9000000024214386,0.8100000021792948,0.6750000018160789,0.45000000121071926
pilot,E50-PC20,300,6918711742289843946,60,59.99999845353461,NA,NA,0.8000000048428773,0.7200000043585896,0.600000003632158,0.4000000024214386
pilot,E50-PC30,300,6918711742289843946,90,89.99999768030192,NA,NA,0.7000000072643159,0.6300000065378843,0.5250000054482369,0.3500000036321579
pilot,E50-PC40,300,6918711742289843946,120,119.99999690706922,NA,NA,0.6000000096857545,0.540000008717179,0.450000007264316,0.30000000484287725
pilot,E50-PC50,300,6918711742289843946,150,149.99999613383653,NA,NA,0.5000000121071931,0.4500000108964738,0.3750000090803949,0.2500000060535966
pilot,E50-PC60,300,6918711742289843946,180,179.99999536060383,NA,NA,0.40000001452863176,0.36000001307576857,0.30000001089647377,0.200000007264316
pilot,E50-PC80,300,6918711742289843946,240,239.99999381413843,NA,NA,0.20000001937150913,0.18000001743435823,0.15000001452863188,0.10000000968575451
pilot,E50-PC100,300,6918711742289843946,300,299.99999226767306,NA,NA,2.4214386273868627e-08,2.1792947557663922e-08,1.816078976091262e-08,1.2107193247956616e-08
pilot,E50-CONV100,300,9878713980055163606,300,299.9999995319889,NA,NA,0.0,0.0,0.0,0.0
pilot,E50-PC10,300,9878713980055163606,30,29.999999226767304,NA,NA,0.9000000024214386,0.8100000021792948,0.6750000018160789,0.45000000121071926
pilot,E50-PC20,300,9878713980055163606,60,59.99999845353461,NA,NA,0.8000000048428773,0.7200000043585896,0.600000003632158,0.4000000024214386
pilot,E50-PC30,300,9878713980055163606,90,89.99999768030192,NA,NA,0.7000000072643159,0.6300000065378843,0.5250000054482369,0.3500000036321579
pilot,E50-PC40,300,9878713980055163606,120,119.99999690706922,NA,NA,0.6000000096857545,0.540000008717179,0.450000007264316,0.30000000484287725
pilot,E50-PC50,300,9878713980055163606,150,149.99999613383653,NA,NA,0.5000000121071931,0.4500000108964738,0.3750000090803949,0.2500000060535966
pilot,E50-PC60,300,9878713980055163606,180,179.99999536060383,NA,NA,0.40000001452863176,0.36000001307576857,0.30000001089647377,0.200000007264316
pilot,E50-PC80,300,9878713980055163606,240,239.99999381413843,NA,NA,0.20000001937150913,0.18000001743435823,0.15000001452863188,0.10000000968575451
pilot,E50-PC100,300,9878713980055163606,300,299.99999226767306,NA,NA,2.4214386273868627e-08,2.1792947557663922e-08,1.816078976091262e-08,1.2107193247956616e-08
pilot,E50-CONV100,500,6918711742289843946,500,499.9999992199816,NA,NA,0.0,0.0,0.0,0.0
pilot,E50-PC10,500,6918711742289843946,50,49.99999754712571,NA,NA,0.900000004749745,0.8100000042747704,0.6750000035623087,0.4500000023748725
