tag,arm,N,seed,k_active,coverage_retention,block_ratio,median_latency_ratio,saving_LP0,saving_LP10,saving_LP25,saving_LP50
pilot,E50-PC20,500,6918711742289843946,100,99.99999509425142,NA,NA,0.8000000094994898,0.7200000085495408,0.6000000071246174,0.40000000474974495
pilot,E50-PC30,500,6918711742289843946,150,149.99999264137713,NA,NA,0.7000000142492346,0.6300000128243113,0.5250000106869259,0.3500000071246173
pilot,E50-PC40,500,6918711742289843946,200,199.99999018850284,NA,NA,0.6000000189989796,0.5400000170990817,0.45000001424923475,0.3000000094994899
pilot,E50-PC50,500,6918711742289843946,250,249.99998773562854,NA,NA,0.5000000237487245,0.450000021373852,0.37500001781154335,0.25000001187436227
pilot,E50-PC60,500,6918711742289843946,300,299.99998528275427,NA,NA,0.4000000284984694,0.36000002564862243,0.30000002137385207,0.20000001424923464
pilot,E50-PC80,500,6918711742289843946,400,399.99998037700567,NA,NA,0.2000000379979593,0.18000003419816335,0.1500000284984695,0.10000001899897959
pilot,E50-PC100,500,6918711742289843946,500,499.9999754712571,NA,NA,4.7497449084943355e-08,4.2747704043222257e-08,3.5623086813707516e-08,2.3748724542471678e-08
pilot,E50-CONV100,500,9878713980055163606,500,499.9999992199816,NA,NA,0.0,0.0,0.0,0.0
pilot,E50-PC10,500,9878713980055163606,50,49.99999754712571,NA,NA,0.900000004749745,0.8100000042747704,0.6750000035623087,0.4500000023748725
pilot,E50-PC20,500,9878713980055163606,100,99.99999509425142,NA,NA,0.8000000094994898,0.7200000085495408,0.6000000071246174,0.40000000474974495
pilot,E50-PC30,500,9878713980055163606,150,149.99999264137713,NA,NA,0.7000000142492346,0.6300000128243113,0.5250000106869259,0.3500000071246173
pilot,E50-PC40,500,9878713980055163606,200,199.99999018850284,NA,NA,0.6000000189989796,0.5400000170990817,0.45000001424923475,0.3000000094994899
pilot,E50-PC50,500,9878713980055163606,250,249.99998773562854,NA,NA,0.5000000237487245,0.450000021373852,0.37500001781154335,0.25000001187436227
pilot,E50-PC60,500,9878713980055163606,300,299.99998528275427,NA,NA,0.4000000284984694,0.36000002564862243,0.30000002137385207,0.20000001424923464
pilot,E50-PC80,500,9878713980055163606,400,399.99998037700567,NA,NA,0.2000000379979593,0.18000003419816335,0.1500000284984695,0.10000001899897959
pilot,E50-PC100,500,9878713980055163606,500,499.9999754712571,NA,NA,4.7497449084943355e-08,4.2747704043222257e-08,3.5623086813707516e-08,2.3748724542471678e-08
