tag,arm,N,seed,k_active,U_exact,unique_coverage_rate_per_s,coverage_retention_vs_MT100
primary,E50-MT100,100,14497997932990664800,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,14497997932990664800,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,14497997932990664800,20,46799999956414103551,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,14497997932990664800,30,70199999934621155328,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,14497997932990664800,40,93599999912828207107,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,14497997932990664800,50,116999999891035258880,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,14497997932990664800,60,140399999869242310662,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,14497997932990664800,80,187199999825656414218,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,14497997932990664800,100,233999999782070517768,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,5634683829678867503,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,5634683829678867503,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,5634683829678867503,10,23399999978207051781,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,5634683829678867503,20,46799999956414103553,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,5634683829678867503,30,70199999934621155329,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,5634683829678867503,40,93599999912828207109,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,5634683829678867503,50,116999999891035258884,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,5634683829678867503,60,140399999869242310661,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,5634683829678867503,80,187199999825656414219,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,5634683829678867503,100,233999999782070517784,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,11032126464482234521,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,11032126464482234521,100,2340000003650486272,234000000365048.62,1.0
primary,E50-PC10,100,11032126464482234521,10,23399999978207051779,2339999997820705.0,9.999999975086405
primary,E50-PC20,100,11032126464482234521,20,46799999956414103554,4679999995641410.0,19.99999995017281
primary,E50-PC30,100,11032126464482234521,30,70199999934621155330,7019999993462116.0,29.999999925259218
primary,E50-PC40,100,11032126464482234521,40,93599999912828207110,9359999991282820.0,39.99999990034562
primary,E50-PC50,100,11032126464482234521,50,116999999891035258886,1.1699999989103526e+16,49.99999987543203
primary,E50-PC60,100,11032126464482234521,60,140399999869242310672,1.4039999986924232e+16,59.999999850518435
primary,E50-PC80,100,11032126464482234521,80,187199999825656414227,1.871999998256564e+16,79.99999980069124
primary,E50-PC100,100,11032126464482234521,100,233999999782070517784,2.3399999978207052e+16,99.99999975086406
primary,E50-CONV100,100,5708610443790281403,100,234000000000000000000,2.34e+16,99.9999998439963
primary,E50-MT100,100,5708610443790281403,100,2340000003650486272,234000000365048.62,1.0
