N,arm,alpha_case,saving_mean,saving_sd,saving_predicted
300,E50-PC60,LP50,0.200000007264316,0.0,0.2
300,E50-PC80,LP0,0.20000001937150913,0.0,0.19999999999999996
300,E50-PC80,LP10,0.18000001743435823,0.0,0.17999999999999997
300,E50-PC80,LP25,0.15000001452863188,0.0,0.14999999999999997
300,E50-PC80,LP50,0.10000000968575451,0.0,0.09999999999999998
300,E50-PC100,LP0,2.4214386273868627e-08,0.0,0.0
300,E50-PC100,LP10,2.1792947557663922e-08,0.0,0.0
300,E50-PC100,LP25,1.816078976091262e-08,0.0,0.0
300,E50-PC100,LP50,1.2107193247956616e-08,0.0,0.0
400,E50-PC10,LP0,0.9000000070780511,0.0,0.9
400,E50-PC10,LP10,0.8100000063702459,0.0,0.81
400,E50-PC10,LP25,0.6750000053085383,0.0,0.675
400,E50-PC10,LP50,0.4500000035390256,0.0,0.45
400,E50-PC20,LP0,0.8000000141561021,0.0,0.8
400,E50-PC20,LP10,0.720000012740492,0.0,0.7200000000000001
400,E50-PC20,LP25,0.6000000106170766,0.0,0.6000000000000001
400,E50-PC20,LP50,0.40000000707805106,0.0,0.4
400,E50-PC30,LP0,0.7000000212341532,0.0,0.7
400,E50-PC30,LP10,0.6300000191107378,0.0,0.63
400,E50-PC30,LP25,0.5250000159256148,0.0,0.5249999999999999
400,E50-PC30,LP50,0.35000001061707675,0.0,0.35
400,E50-PC40,LP0,0.6000000283122042,0.0,0.6
400,E50-PC40,LP10,0.5400000254809838,0.0,0.54
400,E50-PC40,LP25,0.45000002123415317,0.0,0.44999999999999996
400,E50-PC40,LP50,0.3000000141561022,0.0,0.3
400,E50-PC50,LP0,0.5000000353902554,0.0,0.5
400,E50-PC50,LP10,0.45000003185122983,0.0,0.45
400,E50-PC50,LP25,0.3750000265426916,0.0,0.375
400,E50-PC50,LP50,0.2500000176951277,0.0,0.25
400,E50-PC60,LP0,0.40000004246830634,0.0,0.4
400,E50-PC60,LP10,0.36000003822147586,0.0,0.36000000000000004
400,E50-PC60,LP25,0.3000000318512297,0.0,0.30000000000000004
400,E50-PC60,LP50,0.20000002123415317,0.0,0.2
400,E50-PC80,LP0,0.20000005662440856,0.0,0.19999999999999996
400,E50-PC80,LP10,0.18000005096196758,0.0,0.17999999999999997
400,E50-PC80,LP25,0.15000004246830656,0.0,0.14999999999999997
400,E50-PC80,LP50,0.10000002831220423,0.0,0.09999999999999998
400,E50-PC100,LP0,7.078051067477276e-08,0.0,0.0
400,E50-PC100,LP10,6.370245952957987e-08,0.0,0.0
400,E50-PC100,LP25,5.308538297832399e-08,0.0,0.0
400,E50-PC100,LP50,3.539025550391983e-08,0.0,0.0
500,E50-PC10,LP0,0.900000004749745,0.0,0.9
500,E50-PC10,LP10,0.8100000042747704,0.0,0.81
500,E50-PC10,LP25,0.6750000035623087,0.0,0.675
500,E50-PC10,LP50,0.4500000023748725,0.0,0.45
500,E50-PC20,LP0,0.8000000094994898,0.0,0.8
500,E50-PC20,LP10,0.7200000085495408,0.0,0.7200000000000001
500,E50-PC20,LP25,0.6000000071246174,0.0,0.6000000000000001
500,E50-PC20,LP50,0.40000000474974495,0.0,0.4
500,E50-PC30,LP0,0.7000000142492346,0.0,0.7
500,E50-PC30,LP10,0.6300000128243113,0.0,0.63
500,E50-PC30,LP25,0.5250000106869259,0.0,0.5249999999999999
500,E50-PC30,LP50,0.3500000071246173,0.0,0.35
500,E50-PC40,LP0,0.6000000189989796,0.0,0.6
500,E50-PC40,LP10,0.5400000170990817,0.0,0.54
500,E50-PC40,LP25,0.45000001424923475,0.0,0.44999999999999996
500,E50-PC40,LP50,0.3000000094994899,0.0,0.3
500,E50-PC50,LP0,0.5000000237487245,0.0,0.5
500,E50-PC50,LP10,0.450000021373852,0.0,0.45
500,E50-PC50,LP25,0.37500001781154335,0.0,0.375
500,E50-PC50,LP50,0.25000001187436227,0.0,0.25
500,E50-PC60,LP0,0.4000000284984694,0.0,0.4
500,E50-PC60,LP10,0.36000002564862243,0.0,0.36000000000000004
500,E50-PC60,LP25,0.30000002137385207,0.0,0.30000000000000004
500,E50-PC60,LP50,0.20000001424923464,0.0,0.2
500,E50-PC80,LP0,0.2000000379979593,0.0,0.19999999999999996
500,E50-PC80,LP10,0.18000003419816335,0.0,0.17999999999999997
500,E50-PC80,LP25,0.1500000284984695,0.0,0.14999999999999997
500,E50-PC80,LP50,0.10000001899897959,0.0,0.09999999999999998
500,E50-PC100,LP0,4.7497449084943355e-08,0.0,0.0
500,E50-PC100,LP10,4.2747704043222257e-08,0.0,0.0
500,E50-PC100,LP25,3.5623086813707516e-08,0.0,0.0
500,E50-PC100,LP50,2.3748724542471678e-08,0.0,0.0
