tag,arm,N,seed,k_active,C_total,U_exact,R_exact,rho_exact
primary,E50-CONV100,100,15633523601349685045,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,15633523601349685045,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,15633523601349685045,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,15633523601349685045,20,46799999956414103551,46799999956414103551,0,0.0
primary,E50-PC30,100,15633523601349685045,30,70199999934621155328,70199999934621155328,0,0.0
primary,E50-PC40,100,15633523601349685045,40,93599999912828207102,93599999912828207102,0,0.0
primary,E50-PC50,100,15633523601349685045,50,116999999891035258878,116999999891035258878,0,0.0
primary,E50-PC60,100,15633523601349685045,60,140399999869242310658,140399999869242310658,0,0.0
primary,E50-PC80,100,15633523601349685045,80,187199999825656414209,187199999825656414209,0,0.0
primary,E50-PC100,100,15633523601349685045,100,233999999782070517776,233999999782070517776,0,0.0
primary,E50-CONV100,100,14497997932990664800,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,14497997932990664800,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,14497997932990664800,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,14497997932990664800,20,46799999956414103551,46799999956414103551,0,0.0
primary,E50-PC30,100,14497997932990664800,30,70199999934621155328,70199999934621155328,0,0.0
primary,E50-PC40,100,14497997932990664800,40,93599999912828207107,93599999912828207107,0,0.0
primary,E50-PC50,100,14497997932990664800,50,116999999891035258880,116999999891035258880,0,0.0
primary,E50-PC60,100,14497997932990664800,60,140399999869242310662,140399999869242310662,0,0.0
primary,E50-PC80,100,14497997932990664800,80,187199999825656414218,187199999825656414218,0,0.0
primary,E50-PC100,100,14497997932990664800,100,233999999782070517768,233999999782070517768,0,0.0
primary,E50-CONV100,100,5634683829678867503,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,5634683829678867503,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,5634683829678867503,10,23399999978207051781,23399999978207051781,0,0.0
primary,E50-PC20,100,5634683829678867503,20,46799999956414103553,46799999956414103553,0,0.0
primary,E50-PC30,100,5634683829678867503,30,70199999934621155329,70199999934621155329,0,0.0
primary,E50-PC40,100,5634683829678867503,40,93599999912828207109,93599999912828207109,0,0.0
primary,E50-PC50,100,5634683829678867503,50,116999999891035258884,116999999891035258884,0,0.0
primary,E50-PC60,100,5634683829678867503,60,140399999869242310661,140399999869242310661,0,0.0
primary,E50-PC80,100,5634683829678867503,80,187199999825656414219,187199999825656414219,0,0.0
primary,E50-PC100,100,5634683829678867503,100,233999999782070517784,233999999782070517784,0,0.0
primary,E50-CONV100,100,11032126464482234521,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,11032126464482234521,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
primary,E50-PC10,100,11032126464482234521,10,23399999978207051779,23399999978207051779,0,0.0
primary,E50-PC20,100,11032126464482234521,20,46799999956414103554,46799999956414103554,0,0.0
primary,E50-PC30,100,11032126464482234521,30,70199999934621155330,70199999934621155330,0,0.0
primary,E50-PC40,100,11032126464482234521,40,93599999912828207110,93599999912828207110,0,0.0
primary,E50-PC50,100,11032126464482234521,50,116999999891035258886,116999999891035258886,0,0.0
primary,E50-PC60,100,11032126464482234521,60,140399999869242310672,140399999869242310672,0,0.0
primary,E50-PC80,100,11032126464482234521,80,187199999825656414227,187199999825656414227,0,0.0
primary,E50-PC100,100,11032126464482234521,100,233999999782070517784,233999999782070517784,0,0.0
primary,E50-CONV100,100,5708610443790281403,100,234000000000000000000,234000000000000000000,0,0.0
primary,E50-MT100,100,5708610443790281403,100,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996
