N,arm,retention_mean,retention_median,retention_sd,retention_iqr,retention_ci95_lo,retention_ci95_hi,retention_n,fraction_seeds_ge_095
100,E50-PC10,9.999999974513718,9.999999975086405,1.8042306514812566e-09,0.0,9.999999973840008,9.999999975187428,30,1.0
100,E50-PC20,19.999999949027437,19.99999995017281,3.6084613029625132e-09,0.0,19.999999947680017,19.999999950374857,30,1.0
100,E50-PC30,29.999999923541157,29.999999925259218,5.41269214256978e-09,0.0,29.999999921520025,29.99999992556229,30,1.0
100,E50-PC40,39.999999898054874,39.99999990034562,7.2169226059250264e-09,0.0,39.999999895360034,39.999999900749714,30,1.0
100,E50-PC50,49.9999998725686,49.99999987543203,9.021153668482383e-09,0.0,49.999999869200046,49.999999875937156,30,1.0
100,E50-PC60,59.999999847082314,59.999999850518435,1.082538428513956e-08,0.0,59.99999984304005,59.99999985112458,30,1.0
100,E50-PC80,79.99999979610975,79.99999980069124,1.4433845211850053e-08,0.0,79.99999979072007,79.99999980149943,30,1.0
100,E50-PC100,99.9999997451372,99.99999975086406,1.8042307336964767e-08,0.0,99.99999973840009,99.99999975187431,30,1.0
100,E50-CONV100,99.99999983826945,99.9999998439963,1.804230313733562e-08,0.0,99.99999983153234,99.99999984500656,30,1.0
200,E50-PC10,19.999999483377007,19.999999484511537,4.3701290674190905e-09,0.0,19.999999481745174,19.99999948500884,30,1.0
200,E50-PC20,39.99999896675401,39.999998969023075,8.740258134838181e-09,0.0,39.99999896349035,39.99999897001768,30,1.0
200,E50-PC30,59.99999845013102,59.99999845353461,1.311038668488348e-08,0.0,59.99999844523552,59.999998455026514,30,1.0
200,E50-PC40,79.99999793350803,79.99999793804615,1.7480516269676362e-08,0.0,79.9999979269807,79.99999794003536,30,1.0
200,E50-PC50,99.99999741688504,99.99999742255768,2.1850645854469256e-08,0.0,99.99999740872587,99.9999974250442,30,1.0
200,E50-PC60,119.99999690026203,119.99999690706922,2.622077336976696e-08,0.0,119.99999689047104,119.99999691005303,30,1.0
200,E50-PC80,159.99999586701605,159.9999958760923,3.4961032539352724e-08,0.0,159.9999958539614,159.9999958800707,30,1.0
200,E50-PC100,199.99999483377007,199.99999484511537,4.370129170893851e-08,0.0,199.99999481745175,199.9999948500884,30,1.0
200,E50-CONV100,199.99999967664732,199.9999996879926,4.370128458480308e-08,0.0,199.999999660329,199.99999969296564,30,1.0
300,E50-PC10,29.999999225482224,29.999999226767304,7.038682841456211e-09,0.0,29.999999222853937,29.99999922811051,30,1.0
300,E50-PC20,59.99999845096445,59.99999845353461,1.4077365682912422e-08,0.0,59.999998445707874,59.99999845622102,30,1.0
300,E50-PC30,89.99999767644667,89.99999768030192,2.1116050470270053e-08,0.0,89.9999976685618,89.99999768433153,30,1.0
300,E50-PC40,119.9999969019289,119.99999690706922,2.8154731365824844e-08,0.0,119.99999689141575,119.99999691244204,30,1.0
300,E50-PC50,149.99999612741112,149.99999613383653,3.519341745045009e-08,0.0,149.9999961142697,149.99999614055255,30,1.0
300,E50-PC60,179.99999535289334,179.99999536060383,4.2232100940540107e-08,0.0,179.9999953371236,179.99999536866306,30,1.0
300,E50-PC80,239.9999938038578,239.99999381413843,5.630946273164969e-08,0.0,239.9999937828315,239.9999938248841,30,1.0
300,E50-PC100,299.99999225482225,299.99999226767306,7.038683490090018e-08,0.0,299.9999922285394,299.9999922811051,30,1.0
300,E50-CONV100,299.9999995191381,299.9999995319889,7.038682452275926e-08,0.0,299.99999949285524,299.99999954542096,30,1.0
400,E50-PC10,39.99999710441794,39.9999971063781,1.0736251643665255e-08,0.0,39.99999710040896,39.999997108426925,30,1.0
400,E50-PC20,79.99999420883589,79.9999942127562,2.147250328733051e-08,0.0,79.99999420081792,79.99999421685385,30,1.0
400,E50-PC30,119.99999131325382,119.99999131913431,3.2208757525531e-08,0.0,119.99999130122687,119.99999132528076,30,1.0
400,E50-PC40,159.99998841767177,159.9999884255124,4.294500657466102e-08,0.0,159.99998840163585,159.9999884337077,30,1.0
400,E50-PC50,199.99998552208973,199.99998553189053,5.3681266001931965e-08,0.0,199.9999855020448,199.99998554213465,30,1.0
400,E50-PC60,239.99998262650763,239.99998263826862,6.4417515051062e-08,0.0,239.99998260245374,239.99998265056152,30,1.0
400,E50-PC80,319.99997683534355,319.9999768510248,8.589001314932204e-08,0.0,319.9999768032717,319.9999768674154,30,1.0
400,E50-PC100,399.99997104417946,399.99997106378106,1.0736253200386393e-07,0.0,399.9999710040896,399.9999710842693,30,1.0
400,E50-CONV100,399.9999993563836,399.9999993759852,1.0736252162572301e-07,0.0,399.9999993162938,399.99999939647347,30,1.0
500,E50-PC10,49.999997544464954,49.99999754712571,1.4573542005695125e-08,0.0,49.999997539023106,49.9999975499068,30,1.0
500,E50-PC20,99.99999508892991,99.99999509425142,2.914708401139025e-08,0.0,99.99999507804621,99.9999950998136,30,1.0
500,E50-PC30,149.99999263339487,149.99999264137713,4.3720627314352993e-08,0.0,149.99999261706932,149.9999926497204,30,1.0
500,E50-PC40,199.99999017785981,199.99999018850284,5.82941680227805e-08,0.0,199.99999015609242,199.9999901996272,30,1.0
500,E50-PC50,249.99998772232476,249.99998773562854,7.286770873120802e-08,0.0,249.99998769511552,249.999987749534,30,1.0
500,E50-PC60,299.99998526678974,299.99998528275427,8.744125462870599e-08,0.0,299.99998523413865,299.9999852994408,30,1.0
500,E50-PC80,399.99998035571963,399.99998037700567,1.16588336045561e-07,0.0,399.99998031218485,399.9999803992544,30,1.0
500,E50-PC100,499.9999754446495,499.9999754712571,1.4573541746241604e-07,0.0,499.99997539023104,499.999975499068,30,1.0
500,E50-CONV100,499.99999919337404,499.9999992199816,1.4573542784055695e-07,0.0,499.99999913895556,499.9999992477925,30,1.0
