tag,arm,N,seed,k_active,rounds,accepted_blocks,C_total,U_exact,R_exact,rho_exact,t_active_miner_s,t_low_miner_s,F_low,epochs_completed,exhaustions,state_time_conservation_rel,work_identity_rel
pilot,E50-PC100,300,6918711742289843946,300,15,14,701999983001500780584,701999983001500780584,0,0.0,2999999.927356841,0.07264315905733333,2.4214386352444445e-08,163447107879,49034132363700,0.0,0.0
pilot,E50-CONV100,300,9878713980055163606,300,8,7,702000000000000000000,702000000000000000000,0,0.0,3000000.0,0.0,0.0,163447111200,163447111200,0.0,0.0
pilot,E50-MT100,300,9878713980055163606,300,1,0,702000000000000000000,2340000003650486272,699659999996349513728,0.9966666666614665,3000000.0,0.0,0.0,544823706,163447111800,0.0,0.0
pilot,E50-PC10,300,9878713980055163606,30,1,0,70199998300150077976,70199998300150077976,0,0.0,299999.9927356841,2700000.007264316,0.9000000024214387,163447107887,4903413236610,0.0,0.0
pilot,E50-PC20,300,9878713980055163606,60,2,1,140399996600300155952,140399996600300155952,0,0.0,599999.9854713682,2400000.0145286317,0.8000000048428773,163447107887,9806826473220,0.0,0.0
pilot,E50-PC30,300,9878713980055163606,90,3,2,210599994900450233958,210599994900450233958,0,0.0,899999.9782070523,2100000.021792948,0.7000000072643159,163447107886,14710239709740,0.0,0.0
pilot,E50-PC40,300,9878713980055163606,120,3,2,280799993200600311943,280799993200600311943,0,0.0,1199999.9709427364,1800000.0290572636,0.6000000096857545,163447107886,19613652946320,0.0,0.0
pilot,E50-PC50,300,9878713980055163606,150,4,3,350999991500750390032,350999991500750390032,0,0.0,1499999.9636784205,1500000.0363215795,0.5000000121071931,163447107884,24517066182600,0.0,0.0
pilot,E50-PC60,300,9878713980055163606,180,6,5,421199989800900468101,421199989800900468101,0,0.0,1799999.9564141047,1200000.0435858953,0.40000001452863176,163447107883,29420479418940,0.0,0.0
pilot,E50-PC80,300,9878713980055163606,240,7,6,561599986401200624219,561599986401200624219,0,0.0,2399999.9418854727,600000.0581145273,0.20000001937150907,163447107882,39227305891680,0.0,0.0
pilot,E50-PC100,300,9878713980055163606,300,8,7,701999983001500780064,701999983001500780064,0,0.0,2999999.927356841,0.07264315905955555,2.4214386353185186e-08,163447107884,49034132365200,0.0,0.0
pilot,E50-CONV100,500,6918711742289843946,500,15,14,1170000000000000000000,1170000000000000000000,0,0.0,5000000.0,0.0,0.0,272411849000,272411849000,0.0,0.0
pilot,E50-MT100,500,6918711742289843946,500,1,0,1170000000000000000000,2340000003650486272,1167659999996349513728,0.9979999999968799,5000000.0,0.0,0.0,544823706,272411853000,0.0,0.0
pilot,E50-PC10,500,6918711742289843946,50,3,2,116999994442798461265,116999994442798461265,0,0.0,499999.97625127545,4500000.023748725,0.900000004749745,272411840134,13620592006700,0.0,0.0
pilot,E50-PC20,500,6918711742289843946,100,3,2,233999988885596922533,233999988885596922533,0,0.0,999999.9525025509,4000000.047497449,0.8000000094994898,272411840134,27241184013400,0.0,0.0
pilot,E50-PC30,500,6918711742289843946,150,4,3,350999983328395383859,350999983328395383859,0,0.0,1499999.9287538265,3500000.0712461737,0.7000000142492347,272411840133,40861776019950,0.0,0.0
pilot,E50-PC40,500,6918711742289843946,200,5,4,467999977771193845147,467999977771193845147,0,0.0,1999999.9050051018,3000000.094994898,0.6000000189989796,272411840133,54482368026600,0.0,0.0
pilot,E50-PC50,500,6918711742289843946,250,5,4,584999972213992306434,584999972213992306434,0,0.0,2499999.8812563773,2500000.1187436227,0.5000000237487245,272411840133,68102960033250,0.0,0.0
pilot,E50-PC60,500,6918711742289843946,300,7,6,701999966656790767965,701999966656790767965,0,0.0,2999999.857507653,2000000.1424923472,0.40000002849846944,272411840131,81723552039300,0.0,0.0
pilot,E50-PC80,500,6918711742289843946,400,11,10,935999955542387690782,935999955542387690782,0,0.0,3999999.8100102036,1000000.1899897961,0.20000003799795923,272411840130,108964736052000,0.0,0.0
pilot,E50-PC100,500,6918711742289843946,500,15,14,1169999944427984614092,1169999944427984614092,0,0.0,4999999.762512755,0.2374872452389231,4.7497449047784615e-08,272411840127,136205920063500,0.0,0.0
pilot,E50-CONV100,500,9878713980055163606,500,8,7,1170000000000000000000,1170000000000000000000,0,0.0,5000000.0,0.0,0.0,272411852000,272411852000,0.0,0.0
pilot,E50-MT100,500,9878713980055163606,500,1,0,1170000000000000000000,2340000003650486272,1167659999996349513728,0.9979999999968799,5000000.0,0.0,0.0,544823706,272411853000,0.0,0.0
pilot,E50-PC10,500,9878713980055163606,50,1,0,116999994442798461225,116999994442798461225,0,0.0,499999.97625127545,4500000.023748725,0.900000004749745,272411840136,13620592006800,0.0,0.0
pilot,E50-PC20,500,9878713980055163606,100,2,1,233999988885596922451,233999988885596922451,0,0.0,999999.9525025509,4000000.047497449,0.8000000094994898,272411840136,27241184013600,0.0,0.0
pilot,E50-PC30,500,9878713980055163606,150,3,2,350999983328395383737,350999983328395383737,0,0.0,1499999.9287538265,3500000.0712461737,0.7000000142492347,272411840135,40861776020250,0.0,0.0
pilot,E50-PC40,500,9878713980055163606,200,3,2,467999977771193844984,467999977771193844984,0,0.0,1999999.9050051018,3000000.094994898,0.6000000189989796,272411840135,54482368027000,0.0,0.0
pilot,E50-PC50,500,9878713980055163606,250,4,3,584999972213992306230,584999972213992306230,0,0.0,2499999.8812563773,2500000.1187436227,0.5000000237487245,272411840135,68102960033750,0.0,0.0
pilot,E50-PC60,500,9878713980055163606,300,6,5,701999966656790767719,701999966656790767719,0,0.0,2999999.857507653,2000000.1424923472,0.40000002849846944,272411840133,81723552039900,0.0,0.0
pilot,E50-PC80,500,9878713980055163606,400,7,6,935999955542387690455,935999955542387690455,0,0.0,3999999.8100102036,1000000.1899897961,0.20000003799795923,272411840132,108964736052800,0.0,0.0
pilot,E50-PC100,500,9878713980055163606,500,8,7,1169999944427984613072,1169999944427984613072,0,0.0,4999999.762512755,0.23748724524328205,4.749744904865641e-08,272411840132,136205920066000,0.0,0.0
