tag,arm,N,seed,k_active,rounds,accepted_blocks,C_total,U_exact,R_exact,rho_exact,t_active_miner_s,t_low_miner_s,F_low,epochs_completed,exhaustions,state_time_conservation_rel,work_identity_rel
primary,E50-PC100,100,12108552042459345255,100,15,14,233999999782070517776,233999999782070517776,0,0.0,999999.9990686774,0.0009313225736068376,9.313225736068376e-10,54482370556,5448237055600,0.0,0.0
primary,E50-CONV100,100,16218162384852915827,100,26,25,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369500,54482369500,0.0,0.0
primary,E50-MT100,100,16218162384852915827,100,2,1,234000000000000000000,2340000004552834681,231659999995447165319,0.9899999999805434,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,16218162384852915827,10,4,3,23399999978207051780,23399999978207051780,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370562,544823705620,0.0,0.0
primary,E50-PC20,100,16218162384852915827,20,6,5,46799999956414103554,46799999956414103554,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370560,1089647411200,0.0,0.0
primary,E50-PC30,100,16218162384852915827,30,10,9,70199999934621155331,70199999934621155331,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370559,1634471116770,0.0,0.0
primary,E50-PC40,100,16218162384852915827,40,11,10,93599999912828207112,93599999912828207112,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370558,2179294822320,0.0,0.0
primary,E50-PC50,100,16218162384852915827,50,13,12,116999999891035258886,116999999891035258886,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370557,2724118527850,0.0,0.0
primary,E50-PC60,100,16218162384852915827,60,16,15,140399999869242310672,140399999869242310672,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370555,3268942233300,0.0,0.0
primary,E50-PC80,100,16218162384852915827,80,19,18,187199999825656414233,187199999825656414233,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370553,4358589644240,0.0,0.0
primary,E50-PC100,100,16218162384852915827,100,26,25,233999999782070517808,233999999782070517808,0,0.0,999999.9990686774,0.0009313225734700855,9.313225734700855e-10,54482370548,5448237054800,0.0,0.0
primary,E50-CONV100,100,3678478102310266571,100,19,18,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369600,54482369600,0.0,0.0
primary,E50-MT100,100,3678478102310266571,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,3678478102310266571,10,2,1,23399999978207051780,23399999978207051780,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370563,544823705630,0.0,0.0
primary,E50-PC20,100,3678478102310266571,20,3,2,46799999956414103552,46799999956414103552,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370563,1089647411260,0.0,0.0
primary,E50-PC30,100,3678478102310266571,30,9,8,70199999934621155330,70199999934621155330,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370560,1634471116800,0.0,0.0
primary,E50-PC40,100,3678478102310266571,40,10,9,93599999912828207110,93599999912828207110,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370559,2179294822360,0.0,0.0
primary,E50-PC50,100,3678478102310266571,50,14,13,116999999891035258886,116999999891035258886,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370557,2724118527850,0.0,0.0
primary,E50-PC60,100,3678478102310266571,60,15,14,140399999869242310667,140399999869242310667,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370557,3268942233420,0.0,0.0
primary,E50-PC80,100,3678478102310266571,80,18,17,187199999825656414227,187199999825656414227,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370555,4358589644400,0.0,0.0
primary,E50-PC100,100,3678478102310266571,100,19,18,233999999782070517792,233999999782070517792,0,0.0,999999.9990686774,0.0009313225735384616,9.313225735384615e-10,54482370552,5448237055200,0.0,0.0
primary,E50-CONV100,100,876786005621288851,100,28,27,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369000,54482369000,0.0,0.0
primary,E50-MT100,100,876786005621288851,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,876786005621288851,10,3,2,23399999978207051779,23399999978207051779,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370563,544823705630,0.0,0.0
primary,E50-PC20,100,876786005621288851,20,5,4,46799999956414103551,46799999956414103551,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370561,1089647411220,0.0,0.0
primary,E50-PC30,100,876786005621288851,30,7,6,70199999934621155328,70199999934621155328,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370561,1634471116830,0.0,0.0
primary,E50-PC40,100,876786005621288851,40,8,7,93599999912828207104,93599999912828207104,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370561,2179294822440,0.0,0.0
primary,E50-PC50,100,876786005621288851,50,13,12,116999999891035258882,116999999891035258882,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370559,2724118527950,0.0,0.0
primary,E50-PC60,100,876786005621288851,60,15,14,140399999869242310662,140399999869242310662,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370558,3268942233480,0.0,0.0
primary,E50-PC80,100,876786005621288851,80,23,22,187199999825656414224,187199999825656414224,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370555,4358589644400,0.0,0.0
primary,E50-PC100,100,876786005621288851,100,28,27,233999999782070517792,233999999782070517792,0,0.0,999999.9990686774,0.0009313225735384616,9.313225735384615e-10,54482370552,5448237055200,0.0,0.0
primary,E50-CONV100,100,5865549906742908637,100,19,18,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369700,54482369700,0.0,0.0
primary,E50-MT100,100,5865549906742908637,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,5865549906742908637,10,1,0,23399999978207051779,23399999978207051779,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370564,544823705640,0.0,0.0
primary,E50-PC20,100,5865549906742908637,20,6,5,46799999956414103552,46799999956414103552,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370562,1089647411240,0.0,0.0
primary,E50-PC30,100,5865549906742908637,30,10,9,70199999934621155329,70199999934621155329,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370561,1634471116830,0.0,0.0
primary,E50-PC40,100,5865549906742908637,40,11,10,93599999912828207106,93599999912828207106,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370560,2179294822400,0.0,0.0
primary,E50-PC50,100,5865549906742908637,50,11,10,116999999891035258880,116999999891035258880,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370560,2724118528000,0.0,0.0
primary,E50-PC60,100,5865549906742908637,60,12,11,140399999869242310661,140399999869242310661,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370559,3268942233540,0.0,0.0
primary,E50-PC80,100,5865549906742908637,80,13,12,187199999825656414216,187199999825656414216,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370559,4358589644720,0.0,0.0
primary,E50-PC100,100,5865549906742908637,100,19,18,233999999782070517788,233999999782070517788,0,0.0,999999.9990686774,0.0009313225735555555,9.313225735555555e-10,54482370553,5448237055300,0.0,0.0
primary,E50-CONV100,100,15633523601349685045,100,15,14,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369700,54482369700,0.0,0.0
primary,E50-MT100,100,15633523601349685045,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,15633523601349685045,10,2,1,23399999978207051779,23399999978207051779,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370564,544823705640,0.0,0.0
primary,E50-PC20,100,15633523601349685045,20,3,2,46799999956414103551,46799999956414103551,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370563,1089647411260,0.0,0.0
primary,E50-PC30,100,15633523601349685045,30,5,4,70199999934621155328,70199999934621155328,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370562,1634471116860,0.0,0.0
primary,E50-PC40,100,15633523601349685045,40,6,5,93599999912828207102,93599999912828207102,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370562,2179294822480,0.0,0.0
primary,E50-PC50,100,15633523601349685045,50,6,5,116999999891035258878,116999999891035258878,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370561,2724118528050,0.0,0.0
primary,E50-PC60,100,15633523601349685045,60,7,6,140399999869242310658,140399999869242310658,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370561,3268942233660,0.0,0.0
primary,E50-PC80,100,15633523601349685045,80,10,9,187199999825656414209,187199999825656414209,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370560,4358589644800,0.0,0.0
primary,E50-PC100,100,15633523601349685045,100,15,14,233999999782070517776,233999999782070517776,0,0.0,999999.9990686774,0.0009313225736068376,9.313225736068376e-10,54482370556,5448237055600,0.0,0.0
primary,E50-CONV100,100,14497997932990664800,100,14,13,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369800,54482369800,0.0,0.0
primary,E50-MT100,100,14497997932990664800,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,14497997932990664800,10,1,0,23399999978207051779,23399999978207051779,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370564,544823705640,0.0,0.0
primary,E50-PC20,100,14497997932990664800,20,3,2,46799999956414103551,46799999956414103551,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370563,1089647411260,0.0,0.0
primary,E50-PC30,100,14497997932990664800,30,5,4,70199999934621155328,70199999934621155328,0,0.0,299999.9997206032,700000.0002793968,0.7000000002793968,54482370562,1634471116860,0.0,0.0
primary,E50-PC40,100,14497997932990664800,40,6,5,93599999912828207107,93599999912828207107,0,0.0,399999.99962747097,600000.000372529,0.600000000372529,54482370561,2179294822440,0.0,0.0
primary,E50-PC50,100,14497997932990664800,50,8,7,116999999891035258880,116999999891035258880,0,0.0,499999.9995343387,500000.0004656613,0.5000000004656613,54482370560,2724118528000,0.0,0.0
primary,E50-PC60,100,14497997932990664800,60,9,8,140399999869242310662,140399999869242310662,0,0.0,599999.9994412065,400000.00055879354,0.40000000055879353,54482370559,3268942233540,0.0,0.0
primary,E50-PC80,100,14497997932990664800,80,12,11,187199999825656414218,187199999825656414218,0,0.0,799999.9992549419,200000.00074505806,0.20000000074505805,54482370558,4358589644640,0.0,0.0
primary,E50-PC100,100,14497997932990664800,100,14,13,233999999782070517768,233999999782070517768,0,0.0,999999.9990686774,0.0009313225736410257,9.313225736410256e-10,54482370558,5448237055800,0.0,0.0
primary,E50-CONV100,100,5634683829678867503,100,19,18,234000000000000000000,234000000000000000000,0,0.0,1000000.0,0.0,0.0,54482369600,54482369600,0.0,0.0
primary,E50-MT100,100,5634683829678867503,100,1,0,234000000000000000000,2340000003650486272,231659999996349513728,0.9899999999843996,1000000.0,0.0,0.0,544823706,54482370600,0.0,0.0
primary,E50-PC10,100,5634683829678867503,10,4,3,23399999978207051781,23399999978207051781,0,0.0,99999.99990686774,900000.0000931323,0.9000000000931323,54482370562,544823705620,0.0,0.0
primary,E50-PC20,100,5634683829678867503,20,5,4,46799999956414103553,46799999956414103553,0,0.0,199999.99981373549,800000.0001862645,0.8000000001862645,54482370562,1089647411240,0.0,0.0
