tag,arm,N,seed,k_active,epochs_completed,exhaustions,unique_per_epoch,epoch_seconds
primary,E50-PC10,100,876786005621288851,10,54482370563,544823705630,429496729.6099709,1.835456111153722e-07
primary,E50-PC20,100,876786005621288851,20,54482370561,1089647411220,858993459.2514747,1.8354561112211e-07
primary,E50-PC30,100,876786005621288851,30,54482370561,1634471116830,1288490188.8772123,1.8354561112211e-07
primary,E50-PC40,100,876786005621288851,40,54482370561,2179294822440,1717986918.5029495,1.8354561112211e-07
primary,E50-PC50,100,876786005621288851,50,54482370559,2724118527950,2147483648.207519,1.835456111288478e-07
primary,E50-PC60,100,876786005621288851,60,54482370558,3268942233480,2576980377.8963223,1.835456111322167e-07
primary,E50-PC80,100,876786005621288851,80,54482370555,4358589644400,3435973837.384294,1.8354561114232339e-07
primary,E50-PC100,100,876786005621288851,100,54482370552,5448237055200,4294967296.966865,1.835456111524301e-07
primary,E50-CONV100,100,5865549906742908637,100,54482369700,54482369700,4294967368.131933,1.835456140227322e-07
primary,E50-MT100,100,5865549906742908637,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,5865549906742908637,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,5865549906742908637,20,54482370562,1089647411240,858993459.2357084,1.835456111187411e-07
primary,E50-PC30,100,5865549906742908637,30,54482370561,1634471116830,1288490188.8772123,1.8354561112211e-07
primary,E50-PC40,100,5865549906742908637,40,54482370560,2179294822400,1717986918.5344825,1.835456111254789e-07
primary,E50-PC50,100,5865549906742908637,50,54482370560,2724118528000,2147483648.168103,1.835456111254789e-07
primary,E50-PC60,100,5865549906742908637,60,54482370559,3268942233540,2576980377.849023,1.835456111288478e-07
primary,E50-PC80,100,5865549906742908637,80,54482370559,4358589644720,3435973837.132031,1.835456111288478e-07
primary,E50-PC100,100,5865549906742908637,100,54482370553,5448237055300,4294967296.888032,1.835456111490612e-07
primary,E50-CONV100,100,15633523601349685045,100,54482369700,54482369700,4294967368.131933,1.835456140227322e-07
primary,E50-MT100,100,15633523601349685045,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,15633523601349685045,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,15633523601349685045,20,54482370563,1089647411260,858993459.2199419,1.835456111153722e-07
primary,E50-PC30,100,15633523601349685045,30,54482370562,1634471116860,1288490188.8535626,1.835456111187411e-07
primary,E50-PC40,100,15633523601349685045,40,54482370562,2179294822480,1717986918.4714167,1.835456111187411e-07
primary,E50-PC50,100,15633523601349685045,50,54482370561,2724118528050,2147483648.128687,1.8354561112211e-07
primary,E50-PC60,100,15633523601349685045,60,54482370561,3268942233660,2576980377.7544246,1.8354561112211e-07
primary,E50-PC80,100,15633523601349685045,80,54482370560,4358589644800,3435973837.068965,1.835456111254789e-07
primary,E50-PC100,100,15633523601349685045,100,54482370556,5448237055600,4294967296.651535,1.835456111389545e-07
primary,E50-CONV100,100,14497997932990664800,100,54482369800,54482369800,4294967360.24871,1.8354561368584228e-07
primary,E50-MT100,100,14497997932990664800,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,14497997932990664800,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,14497997932990664800,20,54482370563,1089647411260,858993459.2199419,1.835456111153722e-07
primary,E50-PC30,100,14497997932990664800,30,54482370562,1634471116860,1288490188.8535626,1.835456111187411e-07
primary,E50-PC40,100,14497997932990664800,40,54482370561,2179294822440,1717986918.5029495,1.8354561112211e-07
primary,E50-PC50,100,14497997932990664800,50,54482370560,2724118528000,2147483648.168103,1.835456111254789e-07
primary,E50-PC60,100,14497997932990664800,60,54482370559,3268942233540,2576980377.849023,1.835456111288478e-07
primary,E50-PC80,100,14497997932990664800,80,54482370558,4358589644640,3435973837.1950965,1.835456111322167e-07
primary,E50-PC100,100,14497997932990664800,100,54482370558,5448237055800,4294967296.493871,1.835456111322167e-07
primary,E50-CONV100,100,5634683829678867503,100,54482369600,54482369600,4294967376.015158,1.8354561435962213e-07
primary,E50-MT100,100,5634683829678867503,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,5634683829678867503,10,54482370562,544823705620,429496729.6178542,1.835456111187411e-07
primary,E50-PC20,100,5634683829678867503,20,54482370562,1089647411240,858993459.2357084,1.835456111187411e-07
primary,E50-PC30,100,5634683829678867503,30,54482370560,1634471116800,1288490188.900862,1.835456111254789e-07
primary,E50-PC40,100,5634683829678867503,40,54482370558,2179294822320,1717986918.5975482,1.835456111322167e-07
primary,E50-PC50,100,5634683829678867503,50,54482370558,2724118527900,2147483648.2469354,1.835456111322167e-07
primary,E50-PC60,100,5634683829678867503,60,54482370558,3268942233480,2576980377.8963223,1.835456111322167e-07
primary,E50-PC80,100,5634683829678867503,80,54482370557,4358589644560,3435973837.2581625,1.8354561113558558e-07
primary,E50-PC100,100,5634683829678867503,100,54482370554,5448237055400,4294967296.809199,1.835456111456923e-07
primary,E50-CONV100,100,11032126464482234521,100,54482369800,54482369800,4294967360.24871,1.8354561368584228e-07
primary,E50-MT100,100,11032126464482234521,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,11032126464482234521,10,54482370562,544823705620,429496729.6178542,1.835456111187411e-07
primary,E50-PC20,100,11032126464482234521,20,54482370561,1089647411220,858993459.2514747,1.8354561112211e-07
primary,E50-PC30,100,11032126464482234521,30,54482370560,1634471116800,1288490188.900862,1.835456111254789e-07
primary,E50-PC40,100,11032126464482234521,40,54482370558,2179294822320,1717986918.5975482,1.835456111322167e-07
primary,E50-PC50,100,11032126464482234521,50,54482370557,2724118527850,2147483648.2863517,1.8354561113558558e-07
primary,E50-PC60,100,11032126464482234521,60,54482370555,3268942233300,2576980378.0382204,1.8354561114232339e-07
primary,E50-PC80,100,11032126464482234521,80,54482370555,4358589644400,3435973837.384294,1.8354561114232339e-07
primary,E50-PC100,100,11032126464482234521,100,54482370554,5448237055400,4294967296.809199,1.835456111456923e-07
primary,E50-CONV100,100,5708610443790281403,100,54482369600,54482369600,4294967376.015158,1.8354561435962213e-07
primary,E50-MT100,100,5708610443790281403,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,5708610443790281403,10,54482370563,544823705630,429496729.6099709,1.835456111153722e-07
primary,E50-PC20,100,5708610443790281403,20,54482370561,1089647411220,858993459.2514747,1.8354561112211e-07
primary,E50-PC30,100,5708610443790281403,30,54482370561,1634471116830,1288490188.8772123,1.8354561112211e-07
primary,E50-PC40,100,5708610443790281403,40,54482370560,2179294822400,1717986918.5344825,1.835456111254789e-07
primary,E50-PC50,100,5708610443790281403,50,54482370559,2724118527950,2147483648.207519,1.835456111288478e-07
primary,E50-PC60,100,5708610443790281403,60,54482370558,3268942233480,2576980377.8963223,1.835456111322167e-07
primary,E50-PC80,100,5708610443790281403,80,54482370557,4358589644560,3435973837.2581625,1.8354561113558558e-07
primary,E50-PC100,100,5708610443790281403,100,54482370556,5448237055600,4294967296.651535,1.835456111389545e-07
primary,E50-CONV100,100,4972874671198070758,100,54482369700,54482369700,4294967368.131933,1.835456140227322e-07
primary,E50-MT100,100,4972874671198070758,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,4972874671198070758,10,54482370563,544823705630,429496729.6099709,1.835456111153722e-07
primary,E50-PC20,100,4972874671198070758,20,54482370562,1089647411240,858993459.2357084,1.835456111187411e-07
primary,E50-PC30,100,4972874671198070758,30,54482370560,1634471116800,1288490188.900862,1.835456111254789e-07
primary,E50-PC40,100,4972874671198070758,40,54482370559,2179294822360,1717986918.5660155,1.835456111288478e-07
primary,E50-PC50,100,4972874671198070758,50,54482370561,2724118528050,2147483648.128687,1.8354561112211e-07
primary,E50-PC60,100,4972874671198070758,60,54482370560,3268942233600,2576980377.801724,1.835456111254789e-07
primary,E50-PC80,100,4972874671198070758,80,54482370558,4358589644640,3435973837.1950965,1.835456111322167e-07
primary,E50-PC100,100,4972874671198070758,100,54482370556,5448237055600,4294967296.651535,1.835456111389545e-07
primary,E50-CONV100,100,15110839482730944980,100,54482370300,54482370300,4294967320.832588,1.8354561200139267e-07
primary,E50-MT100,100,15110839482730944980,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,15110839482730944980,10,54482370564,544823705640,429496729.60208774,1.835456111120033e-07
primary,E50-PC20,100,15110839482730944980,20,54482370563,1089647411260,858993459.2199419,1.835456111153722e-07
primary,E50-PC30,100,15110839482730944980,30,54482370562,1634471116860,1288490188.8535626,1.835456111187411e-07
primary,E50-PC40,100,15110839482730944980,40,54482370563,2179294822520,1717986918.4398837,1.835456111153722e-07
primary,E50-PC50,100,15110839482730944980,50,54482370562,2724118528100,2147483648.089271,1.835456111187411e-07
primary,E50-PC60,100,15110839482730944980,60,54482370562,3268942233720,2576980377.707125,1.835456111187411e-07
primary,E50-PC80,100,15110839482730944980,80,54482370561,4358589644880,3435973837.005899,1.8354561112211e-07
primary,E50-PC100,100,15110839482730944980,100,54482370561,5448237056100,4294967296.257374,1.8354561112211e-07
primary,E50-CONV100,100,8623653743411919337,100,54482369800,54482369800,4294967360.24871,1.8354561368584228e-07
primary,E50-MT100,100,8623653743411919337,100,544823706,54482370600,4294967303.883224,1.8354561099072293e-05
primary,E50-PC10,100,8623653743411919337,10,54482370562,544823705620,429496729.6178542,1.835456111187411e-07
primary,E50-PC20,100,8623653743411919337,20,54482370561,1089647411220,858993459.2514747,1.8354561112211e-07
primary,E50-PC30,100,8623653743411919337,30,54482370561,1634471116830,1288490188.8772123,1.8354561112211e-07
primary,E50-PC40,100,8623653743411919337,40,54482370560,2179294822400,1717986918.5344825,1.835456111254789e-07
