run_id,scenario_id,block_id,pair_id,master_seed,seed_index,condition,control_or_treatment,template_seed,adversarial_seed,num_miners,horizon_T,difficulty,config_sha256
A01-S29,A01,A,A01-S29,4354161107732199298,29,A01,CONTROL,958257433142140251,11054401464327553918,141,10000.0,1000,d06fa7bcee39efc2f322cad6fa2fb3d99959b7736645f4e5a147a14e10f3a045
A02-S00,A02,A,A01-S00,7266343386191483739,0,A02,TREATMENT,12089769011917694374,1988348648956568175,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
A02-S01,A02,A,A01-S01,7327669731288643706,1,A02,TREATMENT,12962257606173152482,5324873478951682309,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
A02-S02,A02,A,A01-S02,14021529625252821637,2,A02,TREATMENT,10111987247277390914,7444505376397852194,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
A02-S03,A02,A,A01-S03,13015257401067502099,3,A02,TREATMENT,17270178139864731407,8641882922361671506,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
A02-S04,A02,A,A01-S04,4888788266148067928,4,A02,TREATMENT,2317428014290689691,5004527360990479258,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
A02-S05,A02,A,A01-S05,372686234733934361,5,A02,TREATMENT,4112462094266218956,12493455952218554452,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
A02-S06,A02,A,A01-S06,8946841158517248766,6,A02,TREATMENT,18344430265889267866,3607112505366798910,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
A02-S07,A02,A,A01-S07,9009703059525875822,7,A02,TREATMENT,17090463357186446524,16318870803467828902,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
A02-S08,A02,A,A01-S08,13763262471769672163,8,A02,TREATMENT,16125149457169702369,9691583463255889012,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
A02-S09,A02,A,A01-S09,11943450448932995834,9,A02,TREATMENT,17149423523499720600,14346439664770562953,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
A02-S10,A02,A,A01-S10,383364110206706523,10,A02,TREATMENT,523302846518345112,15696728803483267094,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
A02-S11,A02,A,A01-S11,7597450664324651830,11,A02,TREATMENT,7369064661370065246,5366810094079678820,141,10000.0,1000,63966ea5476c848094090758463b4c886c4cf646b5c8fb3393669d7dac425918
