scenario_id,metric,seed_index,value_s
W01_POW_ACTIVE_CAPACITY_MATCHED,p95,5,4.0
W01_POW_ACTIVE_CAPACITY_MATCHED,p95,6,4.0
W01_POW_ACTIVE_CAPACITY_MATCHED,p95,7,4.0
W01_POW_ACTIVE_CAPACITY_MATCHED,p95,8,4.0
W01_POW_ACTIVE_CAPACITY_MATCHED,p95,9,4.0
W01_POW_ACTIVE_CAPACITY_MATCHED,p95,10,4.0
W01_POW_ACTIVE_CAPACITY_MATCHED,p95,11,4.0
W01_POW_ACTIVE_CAPACITY_MATCHED,p95,MEAN,4.0
W01_POW_ACTIVE_CAPACITY_MATCHED,p95,CI95_LOW,4.0
W01_POW_ACTIVE_CAPACITY_MATCHED,p95,CI95_HIGH,4.0
P00_POCOL_NO_FLOOR,p95,0,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,1,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,2,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,3,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,4,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,5,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,6,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,7,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,8,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,9,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,10,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,11,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,MEAN,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,CI95_LOW,2.0000000000000284
P00_POCOL_NO_FLOOR,p95,CI95_HIGH,2.0000000000000284
P01_POCOL_STAGE8S_COARSE,p95,0,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,1,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,2,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,3,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,4,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,5,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,6,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,7,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,8,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,9,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,10,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,11,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,MEAN,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,CI95_LOW,2.3325000000000387
P01_POCOL_STAGE8S_COARSE,p95,CI95_HIGH,2.3325000000000387
P02_POCOL_SINGLE_HANDOFF,p95,0,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,1,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,2,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,3,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,4,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,5,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,6,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,7,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,8,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,9,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,10,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,11,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,MEAN,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,CI95_LOW,1.8000000000000398
P02_POCOL_SINGLE_HANDOFF,p95,CI95_HIGH,1.8000000000000398
