scenario_id,metric,seed_index,value
P01_POCOL_STAGE8S_COARSE,static deficit area,4,818248.1666666521
P01_POCOL_STAGE8S_COARSE,static deficit area,5,818868.6666666693
P01_POCOL_STAGE8S_COARSE,static deficit area,6,824297.9999999863
P01_POCOL_STAGE8S_COARSE,static deficit area,7,821273.0000000013
P01_POCOL_STAGE8S_COARSE,static deficit area,8,824781.916666652
P01_POCOL_STAGE8S_COARSE,static deficit area,9,823568.4999999858
P01_POCOL_STAGE8S_COARSE,static deficit area,10,823472.4166666521
P01_POCOL_STAGE8S_COARSE,static deficit area,11,814192.2499999871
P01_POCOL_STAGE8S_COARSE,static deficit area,MEAN,821197.9930555437
P02_POCOL_SINGLE_HANDOFF,static deficit area,0,817806.3333333174
P02_POCOL_SINGLE_HANDOFF,static deficit area,1,825447.749999984
P02_POCOL_SINGLE_HANDOFF,static deficit area,2,822739.0833333359
P02_POCOL_SINGLE_HANDOFF,static deficit area,3,819114.0833333165
P02_POCOL_SINGLE_HANDOFF,static deficit area,4,818073.6666666515
P02_POCOL_SINGLE_HANDOFF,static deficit area,5,819652.8333333178
P02_POCOL_SINGLE_HANDOFF,static deficit area,6,825697.9999999844
P02_POCOL_SINGLE_HANDOFF,static deficit area,7,823054.7499999835
P02_POCOL_SINGLE_HANDOFF,static deficit area,8,823848.3333333164
P02_POCOL_SINGLE_HANDOFF,static deficit area,9,822559.083333318
P02_POCOL_SINGLE_HANDOFF,static deficit area,10,822959.1666666511
P02_POCOL_SINGLE_HANDOFF,static deficit area,11,816990.2499999867
P02_POCOL_SINGLE_HANDOFF,static deficit area,MEAN,821495.2777777635
P00_POCOL_NO_FLOOR,useful deficit area,0,0.0
P00_POCOL_NO_FLOOR,useful deficit area,1,0.0
P00_POCOL_NO_FLOOR,useful deficit area,2,0.0
P00_POCOL_NO_FLOOR,useful deficit area,3,0.0
P00_POCOL_NO_FLOOR,useful deficit area,4,0.0
P00_POCOL_NO_FLOOR,useful deficit area,5,0.0
P00_POCOL_NO_FLOOR,useful deficit area,6,0.0
P00_POCOL_NO_FLOOR,useful deficit area,7,0.0
P00_POCOL_NO_FLOOR,useful deficit area,8,0.0
P00_POCOL_NO_FLOOR,useful deficit area,9,0.0
P00_POCOL_NO_FLOOR,useful deficit area,10,0.0
P00_POCOL_NO_FLOOR,useful deficit area,11,0.0
P00_POCOL_NO_FLOOR,useful deficit area,MEAN,0.0
P01_POCOL_STAGE8S_COARSE,useful deficit area,0,42788.00000000009
P01_POCOL_STAGE8S_COARSE,useful deficit area,1,40147.58333333366
P01_POCOL_STAGE8S_COARSE,useful deficit area,2,39683.333333333656
P01_POCOL_STAGE8S_COARSE,useful deficit area,3,41460.91666666679
P01_POCOL_STAGE8S_COARSE,useful deficit area,4,44325.250000000364
P01_POCOL_STAGE8S_COARSE,useful deficit area,5,41394.16666666696
P01_POCOL_STAGE8S_COARSE,useful deficit area,6,41289.583333333496
P01_POCOL_STAGE8S_COARSE,useful deficit area,7,41007.25000000024
P01_POCOL_STAGE8S_COARSE,useful deficit area,8,40508.33333333332
