stage,mean_accepted_blocks,mean_activation_requests,mean_duration_below_static_floor_s
8M (M03),143.4,318.1,274.8221666666631
8R (R02),149.91666666666666,593.6666666666666,274.1217361111078
8S (S03),160.83333333333334,642.3333333333334,271.8088194444413
8U (P02),163.66666666666666,0.0,268.6587499999955
