control,pocol_scenario,seed_index,relative_reduction
W01_POW_ACTIVE_CAPACITY_MATCHED,P00_POCOL_NO_FLOOR,10,0.43789647696477696
W01_POW_ACTIVE_CAPACITY_MATCHED,P00_POCOL_NO_FLOOR,11,0.43686314363144346
W01_POW_ACTIVE_CAPACITY_MATCHED,P00_POCOL_NO_FLOOR,MEAN,0.43680815266486955
W01_POW_ACTIVE_CAPACITY_MATCHED,P00_POCOL_NO_FLOOR,CI95_LOW,0.43579241192412915
W01_POW_ACTIVE_CAPACITY_MATCHED,P00_POCOL_NO_FLOOR,CI95_HIGH,0.43783019421861774
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,0,0.4477540650406571
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,1,0.45335186314363857
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,2,0.44991885162602335
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,3,0.4516287093496001
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,4,0.4536545901084079
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,5,0.44960953590787417
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,6,0.45317295054201245
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,7,0.45118633130082797
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,8,0.45307767615176825
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,9,0.445440226964777
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,10,0.4503615176151832
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,11,0.453961534552852
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,MEAN,0.4510931543586352
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,CI95_LOW,0.44960543558040644
W01_POW_ACTIVE_CAPACITY_MATCHED,P01_POCOL_STAGE8S_COARSE,CI95_HIGH,0.4524291412601693
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,0,0.44704373306233824
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,1,0.4505815379403875
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,2,0.44956392276424484
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,3,0.45009161585366614
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,4,0.45111327913279914
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,5,0.44790396341464184
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,6,0.4509961212737212
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,7,0.4496814871273788
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,8,0.4500328252032595
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,9,0.44710586043361245
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,10,0.4500350609756177
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,11,0.4500289634146376
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,MEAN,0.4495148642163587
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,CI95_LOW,0.4487072098012714
W01_POW_ACTIVE_CAPACITY_MATCHED,P02_POCOL_SINGLE_HANDOFF,CI95_HIGH,0.4501999590673065
