scenario_id,metric,seed_index,value_per_closed_round
P01_POCOL_STAGE8S_COARSE,handoffs,7,0.0
P01_POCOL_STAGE8S_COARSE,handoffs,8,0.0
P01_POCOL_STAGE8S_COARSE,handoffs,9,0.0
P01_POCOL_STAGE8S_COARSE,handoffs,10,0.0
P01_POCOL_STAGE8S_COARSE,handoffs,11,0.0
P01_POCOL_STAGE8S_COARSE,handoffs,MEAN,0.0
P02_POCOL_SINGLE_HANDOFF,handoffs,0,0.504424778761062
P02_POCOL_SINGLE_HANDOFF,handoffs,1,0.4192139737991266
P02_POCOL_SINGLE_HANDOFF,handoffs,2,0.43612334801762115
P02_POCOL_SINGLE_HANDOFF,handoffs,3,0.4419642857142857
P02_POCOL_SINGLE_HANDOFF,handoffs,4,0.5
P02_POCOL_SINGLE_HANDOFF,handoffs,5,0.4713656387665198
P02_POCOL_SINGLE_HANDOFF,handoffs,6,0.4298245614035088
P02_POCOL_SINGLE_HANDOFF,handoffs,7,0.4342105263157895
P02_POCOL_SINGLE_HANDOFF,handoffs,8,0.4342105263157895
P02_POCOL_SINGLE_HANDOFF,handoffs,9,0.4434782608695652
P02_POCOL_SINGLE_HANDOFF,handoffs,10,0.43171806167400884
P02_POCOL_SINGLE_HANDOFF,handoffs,11,0.4954954954954955
P02_POCOL_SINGLE_HANDOFF,handoffs,MEAN,0.4535024547610644
P00_POCOL_NO_FLOOR,reassignments,0,0.0
P00_POCOL_NO_FLOOR,reassignments,1,0.0
P00_POCOL_NO_FLOOR,reassignments,2,0.0
P00_POCOL_NO_FLOOR,reassignments,3,0.0
P00_POCOL_NO_FLOOR,reassignments,4,0.0
P00_POCOL_NO_FLOOR,reassignments,5,0.0
P00_POCOL_NO_FLOOR,reassignments,6,0.0
P00_POCOL_NO_FLOOR,reassignments,7,0.0
P00_POCOL_NO_FLOOR,reassignments,8,0.0
P00_POCOL_NO_FLOOR,reassignments,9,0.0
P00_POCOL_NO_FLOOR,reassignments,10,0.0
P00_POCOL_NO_FLOOR,reassignments,11,0.0
P00_POCOL_NO_FLOOR,reassignments,MEAN,0.0
P01_POCOL_STAGE8S_COARSE,reassignments,0,1.5804878048780489
P01_POCOL_STAGE8S_COARSE,reassignments,1,1.7246376811594204
P01_POCOL_STAGE8S_COARSE,reassignments,2,1.6076555023923444
P01_POCOL_STAGE8S_COARSE,reassignments,3,1.604878048780488
P01_POCOL_STAGE8S_COARSE,reassignments,4,1.955223880597015
P01_POCOL_STAGE8S_COARSE,reassignments,5,1.6439024390243901
P01_POCOL_STAGE8S_COARSE,reassignments,6,1.6328502415458936
P01_POCOL_STAGE8S_COARSE,reassignments,7,1.7135922330097086
P01_POCOL_STAGE8S_COARSE,reassignments,8,1.6971153846153846
P01_POCOL_STAGE8S_COARSE,reassignments,9,1.266355140186916
P01_POCOL_STAGE8S_COARSE,reassignments,10,1.5741626794258374
P01_POCOL_STAGE8S_COARSE,reassignments,11,2.1122448979591835
P01_POCOL_STAGE8S_COARSE,reassignments,MEAN,1.6760921611312192
P02_POCOL_SINGLE_HANDOFF,reassignments,0,0.504424778761062
P02_POCOL_SINGLE_HANDOFF,reassignments,1,0.4192139737991266
P02_POCOL_SINGLE_HANDOFF,reassignments,2,0.43612334801762115
P02_POCOL_SINGLE_HANDOFF,reassignments,3,0.4419642857142857
P02_POCOL_SINGLE_HANDOFF,reassignments,4,0.5
P02_POCOL_SINGLE_HANDOFF,reassignments,5,0.4713656387665198
P02_POCOL_SINGLE_HANDOFF,reassignments,6,0.4298245614035088
P02_POCOL_SINGLE_HANDOFF,reassignments,7,0.4342105263157895
P02_POCOL_SINGLE_HANDOFF,reassignments,8,0.4342105263157895
P02_POCOL_SINGLE_HANDOFF,reassignments,9,0.4434782608695652
P02_POCOL_SINGLE_HANDOFF,reassignments,10,0.43171806167400884
P02_POCOL_SINGLE_HANDOFF,reassignments,11,0.4954954954954955
P02_POCOL_SINGLE_HANDOFF,reassignments,MEAN,0.4535024547610644
