time_s,H_effective,H_pipeline,H_useful_target
3.709166666666667,300.0,300.0,1500.0
3.709166666666667,300.0,300.0,1500.0
3.809166666666667,300.0,300.0,1100.0
3.809166666666667,300.0,300.0,700.0
3.809166666666667,300.0,300.0,300.0
4.059166666666667,300.0,300.0,300.0
4.059166666666667,300.0,300.0,300.0
4.059166666666667,300.0,300.0,300.0
4.109166666666667,0.0,0.0,0.0
4.109166666666667,0.0,0.0,0.0
5.109166666666668,100.0,100.0,100.0
5.109166666666668,300.0,300.0,300.0
5.109166666666668,600.0,600.0,600.0
5.109166666666668,1000.0,1000.0,1000.0
5.109166666666668,1100.0,1100.0,1100.0
5.109166666666668,1300.0,1300.0,1300.0
5.109166666666668,1600.0,1600.0,1600.0
5.109166666666668,2000.0,2000.0,2000.0
5.109166666666668,2100.0,2100.0,2100.0
5.109166666666668,2300.0,2300.0,2300.0
5.109166666666668,2600.0,2600.0,2600.0
5.109166666666668,3000.0,3000.0,3000.0
5.109166666666668,3100.0,3100.0,3100.0
5.171666666666668,4000.0,4000.0,3200.0
5.171666666666668,4000.0,4000.0,3200.0
5.171666666666668,4000.0,4000.0,3200.0
5.171666666666668,4000.0,4000.0,3200.0
5.192500000000001,4000.0,4000.0,3200.0
5.192500000000001,4000.0,4000.0,3200.0
5.192500000000001,4000.0,4000.0,3200.0
5.192500000000001,4000.0,4000.0,3200.0
5.214166666666668,0.0,0.0,0.0
6.214166666666669,100.0,100.0,100.0
6.214166666666669,300.0,300.0,300.0
6.214166666666669,600.0,600.0,600.0
6.214166666666669,1000.0,1000.0,1000.0
6.214166666666669,1100.0,1100.0,1100.0
6.214166666666669,1300.0,1300.0,1300.0
6.214166666666669,1600.0,1600.0,1600.0
6.214166666666669,2000.0,2000.0,2000.0
6.214166666666669,2100.0,2100.0,2100.0
6.214166666666669,2300.0,2300.0,2300.0
6.214166666666669,2600.0,2600.0,2600.0
6.214166666666669,3000.0,3000.0,3000.0
6.214166666666669,3100.0,3100.0,3100.0
6.276666666666669,4000.0,4000.0,3200.0
6.276666666666669,4000.0,4000.0,3200.0
6.276666666666669,4000.0,4000.0,3200.0
6.276666666666669,4000.0,4000.0,3200.0
6.297500000000002,4000.0,4000.0,3200.0
6.297500000000002,4000.0,4000.0,3200.0
6.297500000000002,4000.0,4000.0,3200.0
6.297500000000002,4000.0,4000.0,3200.0
6.339166666666669,4000.0,4000.0,3200.0
6.339166666666669,4000.0,4000.0,3200.0
6.339166666666669,4000.0,4000.0,3200.0
6.339166666666669,4000.0,4000.0,3200.0
6.339166666666669,4000.0,4000.0,3200.0
6.339166666666669,4000.0,4000.0,3200.0
6.339166666666669,4000.0,4000.0,3200.0
6.339166666666669,4000.0,4000.0,3200.0
6.380833333333336,4000.0,4000.0,3200.0
6.380833333333336,4000.0,4000.0,3200.0
6.380833333333336,4000.0,4000.0,3200.0
6.380833333333336,4000.0,4000.0,3200.0
6.401666666666669,4000.0,4000.0,3200.0
6.401666666666669,4000.0,4000.0,3200.0
6.401666666666669,4000.0,4000.0,3200.0
6.401666666666669,4000.0,4000.0,3200.0
6.414166666666669,2400.0,2400.0,2800.0
6.414166666666669,2800.0,2800.0,3200.0
6.414166666666669,2800.0,2800.0,3200.0
6.414166666666669,2800.0,2800.0,3200.0
6.424166666666669,0.0,0.0,0.0
7.42416666666667,100.0,100.0,100.0
7.42416666666667,300.0,300.0,300.0
7.42416666666667,600.0,600.0,600.0
7.42416666666667,1000.0,1000.0,1000.0
7.42416666666667,1100.0,1100.0,1100.0
7.42416666666667,1300.0,1300.0,1300.0
7.42416666666667,1600.0,1600.0,1600.0
7.42416666666667,2000.0,2000.0,2000.0
7.42416666666667,2100.0,2100.0,2100.0
7.42416666666667,2300.0,2300.0,2300.0
7.42416666666667,2600.0,2600.0,2600.0
7.42416666666667,3000.0,3000.0,3000.0
7.42416666666667,3100.0,3100.0,3100.0
7.4441666666666695,0.0,0.0,0.0
8.444166666666671,100.0,100.0,100.0
8.444166666666671,300.0,300.0,300.0
8.444166666666671,600.0,600.0,600.0
8.444166666666671,1000.0,1000.0,1000.0
8.444166666666671,1100.0,1100.0,1100.0
8.444166666666671,1300.0,1300.0,1300.0
8.444166666666671,1600.0,1600.0,1600.0
8.444166666666671,2000.0,2000.0,2000.0
8.444166666666671,2100.0,2100.0,2100.0
8.444166666666671,2300.0,2300.0,2300.0
8.444166666666671,2600.0,2600.0,2600.0
8.444166666666671,3000.0,3000.0,3000.0
8.444166666666671,3100.0,3100.0,3100.0
8.506666666666671,4000.0,4000.0,3200.0
8.506666666666671,4000.0,4000.0,3200.0
8.506666666666671,4000.0,4000.0,3200.0
8.506666666666671,4000.0,4000.0,3200.0
8.527500000000005,4000.0,4000.0,3200.0
8.527500000000005,4000.0,4000.0,3200.0
8.527500000000005,4000.0,4000.0,3200.0
8.527500000000005,4000.0,4000.0,3200.0
8.569166666666671,4000.0,4000.0,3200.0
8.569166666666671,4000.0,4000.0,3200.0
8.569166666666671,4000.0,4000.0,3200.0
8.569166666666671,4000.0,4000.0,3200.0
8.569166666666671,4000.0,4000.0,3200.0
8.569166666666671,4000.0,4000.0,3200.0
8.569166666666671,4000.0,4000.0,3200.0
8.569166666666671,4000.0,4000.0,3200.0
8.610833333333337,4000.0,4000.0,3200.0
8.610833333333337,4000.0,4000.0,3200.0
8.610833333333337,4000.0,4000.0,3200.0
8.610833333333337,4000.0,4000.0,3200.0
8.631666666666671,4000.0,4000.0,3200.0
8.631666666666671,4000.0,4000.0,3200.0
8.631666666666671,4000.0,4000.0,3200.0
8.631666666666671,4000.0,4000.0,3200.0
8.64416666666667,2400.0,2400.0,2800.0
8.64416666666667,2800.0,2800.0,3200.0
8.64416666666667,2800.0,2800.0,3200.0
8.64416666666667,2800.0,2800.0,3200.0
8.694166666666671,2800.0,2800.0,3200.0
8.694166666666671,2800.0,2800.0,3200.0
8.694166666666671,2800.0,2800.0,3200.0
8.694166666666671,2800.0,2800.0,3200.0
8.694166666666671,2800.0,2800.0,3200.0
8.694166666666671,2800.0,2800.0,3200.0
8.694166666666671,2800.0,2800.0,3200.0
8.694166666666671,2800.0,2800.0,3200.0
8.694166666666671,2800.0,2800.0,3200.0
8.694166666666671,2700.0,2700.0,3200.0
8.694166666666671,2700.0,2700.0,3200.0
8.694166666666671,2700.0,2700.0,3200.0
8.70666666666667,2700.0,2700.0,3200.0
8.710833333333339,1500.0,1500.0,2700.0
8.710833333333339,1500.0,1500.0,2700.0
8.710833333333339,1500.0,1500.0,2700.0
8.710833333333339,1500.0,1500.0,2700.0
8.76916666666667,1500.0,1500.0,2700.0
8.78166666666667,1100.0,1100.0,2300.0
8.819166666666671,1100.0,1100.0,2300.0
8.819166666666671,1100.0,1100.0,2300.0
8.819166666666671,1100.0,1100.0,2300.0
8.819166666666671,1100.0,1100.0,2300.0
8.844166666666672,300.0,300.0,1500.0
8.844166666666672,300.0,300.0,1500.0
8.844166666666672,300.0,300.0,1500.0
8.844166666666672,300.0,300.0,1500.0
8.944166666666671,300.0,300.0,1100.0
8.944166666666671,300.0,300.0,700.0
8.944166666666671,300.0,300.0,300.0
9.194166666666671,300.0,300.0,300.0
9.194166666666671,300.0,300.0,300.0
9.194166666666671,300.0,300.0,300.0
9.244166666666672,0.0,0.0,0.0
9.244166666666672,0.0,0.0,0.0
10.244166666666674,100.0,100.0,100.0
10.244166666666674,300.0,300.0,300.0
10.244166666666674,600.0,600.0,600.0
10.244166666666674,1000.0,1000.0,1000.0
10.244166666666674,1100.0,1100.0,1100.0
10.244166666666674,1300.0,1300.0,1300.0
10.244166666666674,1600.0,1600.0,1600.0
10.244166666666674,2000.0,2000.0,2000.0
10.244166666666674,2100.0,2100.0,2100.0
10.244166666666674,2300.0,2300.0,2300.0
10.244166666666674,2600.0,2600.0,2600.0
10.244166666666674,3000.0,3000.0,3000.0
10.244166666666674,3100.0,3100.0,3100.0
10.306666666666674,4000.0,4000.0,3200.0
10.306666666666674,4000.0,4000.0,3200.0
10.306666666666674,4000.0,4000.0,3200.0
10.306666666666674,4000.0,4000.0,3200.0
10.327500000000008,4000.0,4000.0,3200.0
10.327500000000008,4000.0,4000.0,3200.0
10.327500000000008,4000.0,4000.0,3200.0
10.327500000000008,4000.0,4000.0,3200.0
10.369166666666674,4000.0,4000.0,3200.0
10.369166666666674,4000.0,4000.0,3200.0
10.369166666666674,4000.0,4000.0,3200.0
10.369166666666674,4000.0,4000.0,3200.0
10.369166666666674,4000.0,4000.0,3200.0
10.369166666666674,4000.0,4000.0,3200.0
10.369166666666674,4000.0,4000.0,3200.0
10.369166666666674,4000.0,4000.0,3200.0
10.41083333333334,4000.0,4000.0,3200.0
10.41083333333334,4000.0,4000.0,3200.0
10.41083333333334,4000.0,4000.0,3200.0
10.41083333333334,4000.0,4000.0,3200.0
10.431666666666674,4000.0,4000.0,3200.0
10.431666666666674,4000.0,4000.0,3200.0
10.431666666666674,4000.0,4000.0,3200.0
10.431666666666674,4000.0,4000.0,3200.0
10.444166666666673,2400.0,2400.0,2800.0
10.444166666666673,2800.0,2800.0,3200.0
10.444166666666673,2800.0,2800.0,3200.0
10.444166666666673,2800.0,2800.0,3200.0
10.494166666666674,2800.0,2800.0,3200.0
10.494166666666674,2800.0,2800.0,3200.0
10.494166666666674,2800.0,2800.0,3200.0
10.494166666666674,2800.0,2800.0,3200.0
10.494166666666674,2800.0,2800.0,3200.0
10.494166666666674,2800.0,2800.0,3200.0
10.494166666666674,2800.0,2800.0,3200.0
10.494166666666674,2800.0,2800.0,3200.0
10.494166666666674,2800.0,2800.0,3200.0
10.494166666666674,2700.0,2700.0,3200.0
10.494166666666674,2700.0,2700.0,3200.0
10.494166666666674,2700.0,2700.0,3200.0
10.506666666666673,2700.0,2700.0,3200.0
10.510833333333341,1500.0,1500.0,2700.0
10.510833333333341,1500.0,1500.0,2700.0
10.510833333333341,1500.0,1500.0,2700.0
10.510833333333341,1500.0,1500.0,2700.0
10.569166666666673,1500.0,1500.0,2700.0
10.581666666666672,1100.0,1100.0,2300.0
10.619166666666674,1100.0,1100.0,2300.0
10.619166666666674,1100.0,1100.0,2300.0
10.619166666666674,1100.0,1100.0,2300.0
10.619166666666674,1100.0,1100.0,2300.0
10.644166666666674,300.0,300.0,1500.0
10.644166666666674,300.0,300.0,1500.0
10.644166666666674,300.0,300.0,1500.0
10.644166666666674,300.0,300.0,1500.0
10.744166666666674,300.0,300.0,1100.0
10.744166666666674,300.0,300.0,700.0
10.744166666666674,300.0,300.0,300.0
10.994166666666674,300.0,300.0,300.0
10.994166666666674,300.0,300.0,300.0
10.994166666666674,300.0,300.0,300.0
11.044166666666674,0.0,0.0,0.0
11.044166666666674,0.0,0.0,0.0
12.044166666666676,100.0,100.0,100.0
12.044166666666676,300.0,300.0,300.0
12.044166666666676,600.0,600.0,600.0
12.044166666666676,1000.0,1000.0,1000.0
12.044166666666676,1100.0,1100.0,1100.0
12.044166666666676,1300.0,1300.0,1300.0
12.044166666666676,1600.0,1600.0,1600.0
12.044166666666676,2000.0,2000.0,2000.0
12.044166666666676,2100.0,2100.0,2100.0
12.044166666666676,2300.0,2300.0,2300.0
12.044166666666676,2600.0,2600.0,2600.0
12.044166666666676,3000.0,3000.0,3000.0
12.044166666666676,3100.0,3100.0,3100.0
