control,seed_index,control_value,p02_value
W01_POW_ACTIVE_CAPACITY_MATCHED,0,0.029383333333333334,0.016247698310184962
W01_POW_ACTIVE_CAPACITY_MATCHED,1,0.029383333333333334,0.016143745810184948
W01_POW_ACTIVE_CAPACITY_MATCHED,2,0.029383333333333334,0.016173646736110606
W01_POW_ACTIVE_CAPACITY_MATCHED,3,0.029383333333333334,0.016158141354166444
W01_POW_ACTIVE_CAPACITY_MATCHED,4,0.029383333333333334,0.016128121481481253
W01_POW_ACTIVE_CAPACITY_MATCHED,5,0.029383333333333334,0.016222421874999775
W01_POW_ACTIVE_CAPACITY_MATCHED,6,0.029383333333333334,0.01613156396990716
W01_POW_ACTIVE_CAPACITY_MATCHED,7,0.029383333333333334,0.01617019230324052
W01_POW_ACTIVE_CAPACITY_MATCHED,8,0.029383333333333334,0.016159868819444225
W01_POW_ACTIVE_CAPACITY_MATCHED,9,0.029383333333333334,0.01624587280092569
W01_POW_ACTIVE_CAPACITY_MATCHED,10,0.029383333333333334,0.016159803124999768
W01_POW_ACTIVE_CAPACITY_MATCHED,11,0.029383333333333334,0.016159982291666566
W00_POW_POPULATION_MATCHED,0,0.035833333333333335,0.016247698310184962
W00_POW_POPULATION_MATCHED,1,0.035833333333333335,0.016143745810184948
W00_POW_POPULATION_MATCHED,2,0.035833333333333335,0.016173646736110606
W00_POW_POPULATION_MATCHED,3,0.035833333333333335,0.016158141354166444
W00_POW_POPULATION_MATCHED,4,0.035833333333333335,0.016128121481481253
W00_POW_POPULATION_MATCHED,5,0.035833333333333335,0.016222421874999775
W00_POW_POPULATION_MATCHED,6,0.035833333333333335,0.01613156396990716
W00_POW_POPULATION_MATCHED,7,0.035833333333333335,0.01617019230324052
W00_POW_POPULATION_MATCHED,8,0.035833333333333335,0.016159868819444225
W00_POW_POPULATION_MATCHED,9,0.035833333333333335,0.01624587280092569
W00_POW_POPULATION_MATCHED,10,0.035833333333333335,0.016159803124999768
W00_POW_POPULATION_MATCHED,11,0.035833333333333335,0.016159982291666566
