contrast,field,treatment,control,matching_kind,same_seed_pairing,same_target_and_difficulty,same_horizon,same_power_values,primary_or_sensitivity,treatment_mean,control_mean,paired_mean_difference,ci95_lower,ci95_upper,exact_p_two_sided,holm_reject,interpretation_limit
P02 vs P01 activation requests,activation_requests_seated,P02_POCOL_SINGLE_HANDOFF,P01_POCOL_STAGE8S_COARSE,"same frozen core, Stage-8S coarse policy",TRUE,TRUE,TRUE,TRUE,PRIMARY(Holm),0.0,646.6666666666666,-646.6666666666666,-654.6666666666666,-637.6666666666666,0.00048828125,True,frozen Stage-8S baseline re-run on fresh Stage-8U seeds
P02 vs P01 incomplete requests,incomplete_activation_request_count,P02_POCOL_SINGLE_HANDOFF,P01_POCOL_STAGE8S_COARSE,"same frozen core, Stage-8S coarse policy",TRUE,TRUE,TRUE,TRUE,PRIMARY(Holm),0.0,425.0,-425.0,-441.0,-407.6666666666667,0.00048828125,True,frozen Stage-8S baseline re-run on fresh Stage-8U seeds
P02 vs W01 accepted blocks,rounds_accepted,P02_POCOL_SINGLE_HANDOFF,W01_POW_ACTIVE_CAPACITY_MATCHED,active-capacity-matched (artificial),TRUE,TRUE,TRUE,TRUE,PRIMARY(Holm),163.66666666666666,241.75,-78.08333333333333,-88.58333333333333,-68.16666666666667,0.00048828125,True,ARTIFICIAL capacity-matched construction; answers a different question from W00; never merged with it
P02 vs W01 total energy,E_idle_kwh,P02_POCOL_SINGLE_HANDOFF,W01_POW_ACTIVE_CAPACITY_MATCHED,active-capacity-matched (artificial),TRUE,TRUE,TRUE,TRUE,PRIMARY(Holm),0.01617508823977599,0.029383333333333334,-0.013208245093557341,-0.01322894423514686,-0.013184867576196267,0.00048828125,True,ARTIFICIAL capacity-matched construction; answers a different question from W00; never merged with it
P02 vs W00 total energy,E_idle_kwh,P02_POCOL_SINGLE_HANDOFF,W00_POW_POPULATION_MATCHED,population-matched,TRUE,TRUE,TRUE,TRUE,SENSITIVITY,0.01617508823977599,0.035833333333333335,-0.019658245093557344,-0.019679172631173077,-0.01963492999421322,0.00048828125,,controlled simulator control; not a claim about any deployed network
P02 vs W00 accepted blocks,rounds_accepted,P02_POCOL_SINGLE_HANDOFF,W00_POW_POPULATION_MATCHED,population-matched,TRUE,TRUE,TRUE,TRUE,SENSITIVITY,163.66666666666666,249.41666666666666,-85.75,-95.5,-76.91666666666667,0.00048828125,,controlled simulator control; not a claim about any deployed network
P02 vs W00 median round duration,median_round_duration,P02_POCOL_SINGLE_HANDOFF,W00_POW_POPULATION_MATCHED,population-matched,TRUE,TRUE,TRUE,TRUE,SENSITIVITY,1.1735416666666831,0.18472222222222387,0.9888194444444592,0.9804513888889076,0.9978819444444573,0.00048828125,,controlled simulator control; not a claim about any deployed network
P02 vs W00 total evaluations,total_physical_evaluations,P02_POCOL_SINGLE_HANDOFF,W00_POW_POPULATION_MATCHED,population-matched,TRUE,TRUE,TRUE,TRUE,SENSITIVITY,139712.41666666666,1447488.5833333333,-1307776.1666666667,-1310452.0833333333,-1304976.4166666667,0.00048828125,,controlled simulator control; not a claim about any deployed network
P02 vs W00 unique evaluations,unique_physical_evaluations,P02_POCOL_SINGLE_HANDOFF,W00_POW_POPULATION_MATCHED,population-matched,TRUE,TRUE,TRUE,TRUE,SENSITIVITY,139712.41666666666,219373.75,-79661.33333333333,-85574.0,-74011.58333333333,0.00048828125,,controlled simulator control; not a claim about any deployed network
P02 vs W00 duplicate evaluations,duplicate_physical_evaluations,P02_POCOL_SINGLE_HANDOFF,W00_POW_POPULATION_MATCHED,population-matched,TRUE,TRUE,TRUE,TRUE,SENSITIVITY,0.0,1228114.8333333333,-1228114.8333333333,-1234815.5,-1220836.25,0.00048828125,,controlled simulator control; not a claim about any deployed network
P02 vs W00 energy per accepted block,energy_per_accepted_block_kwh,P02_POCOL_SINGLE_HANDOFF,W00_POW_POPULATION_MATCHED,population-matched,TRUE,TRUE,TRUE,TRUE,SENSITIVITY,9.898076978468743e-05,0.0001447506657146416,-4.576989592995417e-05,-5.0872037708648036e-05,-4.0452982959458713e-05,0.00048828125,,controlled simulator control; not a claim about any deployed network
