accepted_block_interval_s,accepted_main_blocks,active_mining_time_s,aggregate_hashrate_THs,aggregate_power_W,co2_kg,config_hash,confirmation_time_6blk_s,created_block_interval_s,created_blocks,energy_kWh,energy_per_accepted_block_kWh,energy_per_tx_kWh,exhausted_rounds,idle_after_range,idle_miner_seconds,n_miners,pct_time_active,per_miner_energy_kwh_max,per_miner_energy_kwh_min,protocol,seed,sim_time,stale_blocks,stale_rate_pct,throughput_tx_per_s,total_hashes
736.6825462572555,9,713605.9069419976,141.0,3031.5000000000045,2.674074601578132,602d261342d617fd,4420.095277543533,1111.111111111111,9,6.009156408040723,0.6676840453378581,0.0003600021811670694,3,True,286394.0930580027,100,71.36059069419976,0.06009156408040733,0.06009156408040733,PoCol,2,10000.0,0,0.0,1.6692,1.0061843287882141e+18
1291.7652592449092,8,682658.0592017468,141.0,3031.5000000000045,2.558104634386641,602d261342d617fd,7750.591555469455,1250.0,8,5.748549740194699,0.7185687175243374,0.000392285365101317,3,True,317341.94079825346,100,68.26580592017469,0.057485497401947076,0.057485497401947076,PoCol,1,10000.0,0,0.0,1.4654,9.625478634744612e+17
959.4782466697675,9,1000000.0,141.0,3031.5000000000045,3.7472708333333395,602d261342d617fd,5756.869480018605,1111.111111111111,9,8.420833333333343,0.9356481481481492,0.000510322606710705,4,False,0.0,100,100.0,0.08420833333333333,0.08420833333333333,PoCol,1,10000.0,0,0.0,1.6501,1.4099999999999997e+18
812.6585862368428,12,575679.0846884783,141.0,3031.5000000000045,2.1572254434131657,602d261342d617fd,4875.951517421056,833.3333333333334,12,4.8476976256475615,0.4039748021372968,0.00021702545667043744,1,True,424320.9153115222,100,57.567908468847826,0.04847697625647561,0.04847697625647561,PoCol,3,10000.0,0,0.0,2.2337,8.117075094107532e+17
538.1715307832876,19,1000000.0,141.0,3031.5000000000045,3.747270833333338,602d261342d617fd,3229.0291846997256,526.3157894736842,19,8.420833333333343,0.44320175438596543,0.0002391195290019691,2,False,0.0,100,100.0,0.0842083333333333,0.0842083333333333,PoCol,3,10000.0,0,0.0,3.5216,1.41e+18
648.2423599494455,13,1000000.0,141.0,3031.5000000000045,3.7472708333333395,602d261342d617fd,3889.454159696673,769.2307692307693,13,8.420833333333343,0.6477564102564111,0.00035123392422662536,4,False,0.0,100,100.0,0.08420833333333333,0.08420833333333333,PoCol,2,10000.0,0,0.0,2.3975,1.4100000000000003e+18
458.33848138031306,22,1000000.0,141.0,3031.5000000000045,3.7472708333333395,602d261342d617fd,2750.030888281878,454.54545454545456,22,8.420833333333343,0.38276515151515195,0.0002087827172125392,3,False,0.0,100,100.0,0.08420833333333333,0.08420833333333333,PoCol,4,10000.0,0,0.0,4.0333,1.4100000000000003e+18
777.1256432558522,12,514854.9963164038,141.0,3031.5000000000045,1.9293011110924008,602d261342d617fd,4662.753859535113,833.3333333333334,12,4.3355081148143855,0.36129234290119877,0.0001953547566716706,1,True,485145.0036835961,100,51.48549963164038,0.0433550811481439,0.0433550811481439,PoCol,5,10000.0,0,0.0,2.2193,7.25945544806131e+17
803.3420084673779,13,460268.2316496678,141.0,3031.5000000000045,1.7247497199707136,602d261342d617fd,4820.052050804267,769.2307692307693,13,3.875842067349919,0.2981416974884553,0.0001628915721337278,2,True,539731.768350332,100,46.02682316496678,0.038758420673499126,0.038758420673499126,PoCol,4,10000.0,0,0.0,2.3794,6.48978206626031e+17
544.9591710092405,18,1000000.0,141.0,3031.5000000000045,3.7472708333333395,602d261342d617fd,3269.7550260554435,555.5555555555555,18,8.420833333333343,0.4678240740740746,0.0002550299322612236,2,False,0.0,100,100.0,0.08420833333333333,0.08420833333333333,PoCol,5,10000.0,0,0.0,3.3019,1.4100000000000003e+18
555.8619025437694,16,1000000.0,141.0,3031.5000000000045,3.7472708333333395,602d261342d617fd,3335.1714152626164,625.0,16,8.420833333333343,0.526302083333334,0.00028397913645612056,3,False,0.0,100,100.0,0.08420833333333333,0.08420833333333333,PoCol,10,10000.0,0,0.0,2.9653,1.4100000000000003e+18
481.0270162384093,21,1000000.0,141.0,3031.5000000000045,3.7472708333333395,602d261342d617fd,2886.162097430456,476.1904761904762,21,8.420833333333345,0.40099206349206407,0.00021708773738936181,1,False,0.0,100,100.0,0.08420833333333334,0.08420833333333334,PoCol,6,10000.0,0,0.0,3.879,1.41e+18
880.039051138267,12,626121.3199288049,141.0,3031.5000000000045,2.346246160297379,602d261342d617fd,5280.234306829602,833.3333333333334,12,5.272463281567142,0.43937194013059516,0.0002364121281305328,1,True,373878.68007119437,100,62.612131992880485,0.05272463281567146,0.05272463281567146,PoCol,6,10000.0,0,0.0,2.2302,8.828310610996137e+17
977.1478388855837,8,755698.0863734159,141.0,3031.5000000000045,2.8318053978729147,602d261342d617fd,5862.887033313502,1250.0,8,6.363607635669494,0.7954509544586867,0.0004357739940881664,4,True,244301.91362658227,100,75.5698086373416,0.06363607635669487,0.06363607635669487,PoCol,7,10000.0,0,0.0,1.4603,1.0655343017865207e+18
535.6554434959945,16,1000000.0,141.0,3031.5000000000045,3.7472708333333395,602d261342d617fd,3213.9326609759673,625.0,16,8.420833333333343,0.526302083333334,0.00028802959821225006,4,False,0.0,100,100.0,0.08420833333333333,0.08420833333333333,PoCol,7,10000.0,0,0.0,2.9236,1.4100000000000003e+18
875.901639322585,10,618155.8767587256,141.0,3031.5000000000045,2.316397487431572,602d261342d617fd,5255.40983593551,1000.0,10,5.205387612205756,0.5205387612205756,0.00028257899203114686,1,True,381844.1232412746,100,61.815587675872564,0.05205387612205769,0.05205387612205769,PoCol,8,10000.0,0,0.0,1.8421,8.715997862298024e+17
