mode,N,seed,M,p_success,total_attempts,total_energy,completion_time,solution_found,winner_id,duplicate_header_evaluations
independent_candidate_headers,100,16,4294967296,4.656612873077393e-10,5682820400,5682820400.0,56828204.0,True,34,0
duplicate_full_domain,100,17,4294967296,4.656612873077393e-10,139611888200,139611888200.0,1396118882.0,True,0,138215769318
disjoint_partition,100,17,4294967296,4.656612873077393e-10,2172934600,2172934600.0,21729346.0,True,32,0
independent_candidate_headers,100,17,4294967296,4.656612873077393e-10,333762400,333762400.0,3337624.0,True,17,0
duplicate_full_domain,100,18,4294967296,4.656612873077393e-10,366746394900,366746394900.0,3667463949.0,True,0,363078930951
disjoint_partition,100,18,4294967296,4.656612873077393e-10,1674174400,1674174400.0,16741744.0,True,85,0
independent_candidate_headers,100,18,4294967296,4.656612873077393e-10,1214833400,1214833400.0,12148334.0,True,85,0
duplicate_full_domain,100,19,4294967296,4.656612873077393e-10,83729993200,83729993200.0,837299932.0,True,0,82892693268
disjoint_partition,100,19,4294967296,4.656612873077393e-10,2125614500,2125614500.0,21256145.0,True,19,0
independent_candidate_headers,100,19,4294967296,4.656612873077393e-10,684647800,684647800.0,6846478.0,True,5,0
duplicate_full_domain,100,20,4294967296,4.656612873077393e-10,21284518000,21284518000.0,212845180.0,True,0,21071672820
disjoint_partition,100,20,4294967296,4.656612873077393e-10,4104648800,4104648800.0,41046488.0,True,4,0
independent_candidate_headers,100,20,4294967296,4.656612873077393e-10,860212200,860212200.0,8602122.0,True,54,0
duplicate_full_domain,100,21,4294967296,4.656612873077393e-10,387001471600,387001471600.0,3870014716.0,True,0,383131456884
disjoint_partition,100,21,4294967296,4.656612873077393e-10,454414600,454414600.0,4544146.0,True,90,0
independent_candidate_headers,100,21,4294967296,4.656612873077393e-10,524366100,524366100.0,5243661.0,True,18,0
duplicate_full_domain,100,22,4294967296,4.656612873077393e-10,9167385600,9167385600.0,91673856.0,True,0,9075711744
disjoint_partition,100,22,4294967296,4.656612873077393e-10,577451000,577451000.0,5774510.0,True,2,0
independent_candidate_headers,100,22,4294967296,4.656612873077393e-10,294266500,294266500.0,2942665.0,True,3,0
duplicate_full_domain,100,23,4294967296,4.656612873077393e-10,16773399100,16773399100.0,167733991.0,True,0,16605665109
disjoint_partition,100,23,4294967296,4.656612873077393e-10,3888497200,3888497200.0,38884972.0,True,3,0
independent_candidate_headers,100,23,4294967296,4.656612873077393e-10,2545283000,2545283000.0,25452830.0,True,75,0
duplicate_full_domain,100,24,4294967296,4.656612873077393e-10,72841734600,72841734600.0,728417346.0,True,0,72113317254
disjoint_partition,100,24,4294967296,4.656612873077393e-10,4122257800,4122257800.0,41222578.0,True,16,0
independent_candidate_headers,100,24,4294967296,4.656612873077393e-10,369120000,369120000.0,3691200.0,True,3,0
duplicate_full_domain,100,25,4294967296,4.656612873077393e-10,209510671600,209510671600.0,2095106716.0,True,0,207415564884
disjoint_partition,100,25,4294967296,4.656612873077393e-10,3352241200,3352241200.0,33522412.0,True,48,0
independent_candidate_headers,100,25,4294967296,4.656612873077393e-10,2994446300,2994446300.0,29944463.0,True,79,0
duplicate_full_domain,100,26,4294967296,4.656612873077393e-10,62556253500,62556253500.0,625562535.0,True,0,61930690965
disjoint_partition,100,26,4294967296,4.656612873077393e-10,2426711300,2426711300.0,24267113.0,True,14,0
independent_candidate_headers,100,26,4294967296,4.656612873077393e-10,2063529200,2063529200.0,20635292.0,True,54,0
duplicate_full_domain,100,27,4294967296,4.656612873077393e-10,93006993300,93006993300.0,930069933.0,True,0,92076923367
disjoint_partition,100,27,4294967296,4.656612873077393e-10,2812680000,2812680000.0,28126800.0,True,21,0
independent_candidate_headers,100,27,4294967296,4.656612873077393e-10,581423100,581423100.0,5814231.0,True,40,0
duplicate_full_domain,100,28,4294967296,4.656612873077393e-10,429496729600,429496729600.0,4294967296.0,False,,425201762304
disjoint_partition,100,28,4294967296,4.656612873077393e-10,4294967296,4294967296.0,42949673.0,False,,0
independent_candidate_headers,100,28,4294967296,4.656612873077393e-10,2373055800,2373055800.0,23730558.0,True,17,0
duplicate_full_domain,100,29,4294967296,4.656612873077393e-10,129120195400,129120195400.0,1291201954.0,True,0,127828993446
disjoint_partition,100,29,4294967296,4.656612873077393e-10,271176400,271176400.0,2711764.0,True,30,0
independent_candidate_headers,100,29,4294967296,4.656612873077393e-10,270729800,270729800.0,2707298.0,True,12,0
duplicate_full_domain,200,0,4294967296,4.656612873077393e-10,72629222200,72629222200.0,363146111.0,True,0,72266076089
disjoint_partition,200,0,4294967296,4.656612873077393e-10,3909743800,3909743800.0,19548719.0,True,16,0
independent_candidate_headers,200,0,4294967296,4.656612873077393e-10,1610260600,1610260600.0,8051303.0,True,94,0
duplicate_full_domain,200,1,4294967296,4.656612873077393e-10,858993459200,858993459200.0,4294967296.0,False,,854698491904
disjoint_partition,200,1,4294967296,4.656612873077393e-10,4294967296,4294967296.0,21474837.0,False,,0
