N,tau_epoch_s,runs,is_frozen_primary,range_per_miner_L,F_low_mean,accepted_blocks_mean,PoW_accepted_blocks_mean,block_retention_mean,mean_block_interval,epoch_exhaustions_mean,duplicate_ratio_mean,energy_saving_LP0,energy_saving_LP10,energy_saving_LP25,energy_saving_LP50
100,600.0,30,True,140400000000000000,0.0020497930947724033,16.133333333333333,16.3,0.9897750511247443,648.289582292349,9.766666666666667,0.0,0.0020497930947724033,0.001844813785295163,0.0015373448210793026,0.0010248965473862017
100,300.0,30,False,70200000000000000,0.005403767634119292,17.0,16.3,1.0429447852760736,590.7361324131842,25.1,0.0,0.005403767634119292,0.004863390870707363,0.004052825725589469,0.002701883817059646
100,60.0,30,False,14040000000000000,0.032839767928046784,17.5,16.3,1.0736196319018405,557.1272616480746,152.4,0.0,0.032839767928046784,0.029555791135242107,0.024629825946035088,0.016419883964023392
100,6.0,30,False,1404000000000000,0.2652245933224296,11.7,16.3,0.7177914110429447,856.8797012834435,1219.5666666666666,0.0,0.2652245933224296,0.23870213399018664,0.1989184449918222,0.1326122966612148
300,600.0,30,True,140400000000000000,0.0024342374805022137,15.666666666666666,15.733333333333333,0.9957627118644068,628.0570709562194,9.666666666666666,0.0,0.0024342374805022137,0.0021908137324519925,0.0018256781103766604,0.0012171187402511068
300,300.0,30,False,70200000000000000,0.00650745945176906,16.433333333333334,15.733333333333333,1.0444915254237288,602.8357931407027,25.133333333333333,0.0,0.00650745945176906,0.005856713506592154,0.004880594588826795,0.00325372972588453
300,60.0,30,False,14040000000000000,0.039760379125937335,16.266666666666666,15.733333333333333,1.0338983050847457,594.244561512124,152.66666666666666,0.0,0.039760379125937335,0.035784341213343604,0.029820284344453003,0.019880189562968668
300,6.0,30,False,1404000000000000,0.3037792462645607,13.1,15.733333333333333,0.8326271186440678,742.1896942557111,1155.7,0.0,0.3037792462645607,0.27340132163810466,0.22783443469842052,0.15188962313228035
500,600.0,30,True,140400000000000000,0.0025684819737315195,16.9,16.933333333333334,0.998031496062992,577.6254905976527,9.233333333333333,0.0,0.0025684819737315195,0.002311633776358368,0.0019263614802986395,0.0012842409868657598
500,300.0,30,False,70200000000000000,0.006946497455598017,16.466666666666665,16.933333333333334,0.9724409448818897,598.8085112001014,24.9,0.0,0.006946497455598017,0.006251847710038215,0.005209873091698513,0.0034732487277990085
500,60.0,30,False,14040000000000000,0.0429440154196337,16.0,16.933333333333334,0.9448818897637795,606.9304177694956,151.9,0.0,0.0429440154196337,0.03864961387767033,0.032208011564725275,0.02147200770981685
500,6.0,30,False,1404000000000000,0.3204808235765181,12.966666666666667,16.933333333333334,0.765748031496063,750.3303761414281,1128.7333333333333,0.0,0.3204808235765181,0.2884327412188663,0.24036061768238856,0.16024041178825904
