run_id,protocol,N,seed_index,block_index,interval_s
8X_N100_POCOL_seed003,POCOL,100,3,1,1197.6310226156688
8X_N100_POCOL_seed003,POCOL,100,3,2,1116.6271113617531
8X_N100_POCOL_seed003,POCOL,100,3,3,2753.906564492276
8X_N100_POCOL_seed003,POCOL,100,3,4,957.0735238785455
8X_N100_POCOL_seed003,POCOL,100,3,5,126.90834953877584
8X_N100_POCOL_seed003,POCOL,100,3,6,274.64417651060285
8X_N100_POCOL_seed003,POCOL,100,3,7,417.61798312228257
8X_N100_POCOL_seed003,POCOL,100,3,8,3117.3621418132116
8X_N100_POW_seed004,POW,100,4,1,342.0749541968457
8X_N100_POW_seed004,POW,100,4,2,943.3006562879714
8X_N100_POW_seed004,POW,100,4,3,275.86526281568376
8X_N100_POW_seed004,POW,100,4,4,241.2615682918297
8X_N100_POW_seed004,POW,100,4,5,1175.5758460164195
8X_N100_POW_seed004,POW,100,4,6,109.86469598433996
8X_N100_POW_seed004,POW,100,4,7,1201.2202130499068
8X_N100_POW_seed004,POW,100,4,8,1409.898533593041
8X_N100_POW_seed004,POW,100,4,9,456.007183201571
8X_N100_POW_seed004,POW,100,4,10,35.04432767770413
8X_N100_POW_seed004,POW,100,4,11,304.4395998834452
8X_N100_POW_seed004,POW,100,4,12,800.3269633438795
8X_N100_POW_seed004,POW,100,4,13,229.55705910670895
8X_N100_POW_seed004,POW,100,4,14,692.1168915968783
8X_N100_POW_seed004,POW,100,4,15,92.42015770150465
8X_N100_POW_seed004,POW,100,4,16,920.9431146248226
8X_N100_POW_seed004,POW,100,4,17,212.4573332420132
8X_N100_POW_seed004,POW,100,4,18,437.0523577098975
8X_N100_POCOL_seed004,POCOL,100,4,1,342.0749541968457
8X_N100_POCOL_seed004,POCOL,100,4,2,946.2886995539502
8X_N100_POCOL_seed004,POCOL,100,4,3,275.86526281568376
8X_N100_POCOL_seed004,POCOL,100,4,4,241.2615682918297
8X_N100_POCOL_seed004,POCOL,100,4,5,1178.181768374767
8X_N100_POCOL_seed004,POCOL,100,4,6,109.86469598433996
8X_N100_POCOL_seed004,POCOL,100,4,7,1205.8003778146717
8X_N100_POCOL_seed004,POCOL,100,4,8,811.6723586448497
8X_N100_POCOL_seed004,POCOL,100,4,9,456.007183201571
8X_N100_POCOL_seed004,POCOL,100,4,10,637.4357865340289
