N,runs,active_to_low_transitions_mean,low_to_active_transitions_mean,transitions_balanced,low_power_miner_seconds_mean,active_miner_seconds_mean,F_low_mean,F_low_sd,F_low_ci95_low,F_low_ci95_high,F_low_min,F_low_max,mean_low_duration_s,median_low_duration_s,max_low_duration_s,miners_entering_low_mean,fraction_miners_entering_low_mean,mean_simultaneous_low_miners,max_simultaneous_low_miners
100,30,971.1333333333333,971.1333333333333,True,2049.793094772447,997950.2069052274,0.0020497930947724033,0.00043421282894786647,0.001887655359784175,0.0022119308297606317,0.0014026582935158,0.0029375072206227,2.1072029127544827,2.0918506343976975,6.320738209320552,100.0,1.0,0.2049793094772447,100
200,30,1841.0,1841.0,True,4336.167964408441,1995663.8320355914,0.002168083982204164,0.0004485275763971224,0.0020006010326722406,0.002335566931736087,0.0013997609076747,0.0031439855783688,2.350742922967477,2.3628333898109988,7.941610736413168,200.0,1.0,0.433616796440844,200
300,30,2890.0333333333333,2890.0333333333333,True,7302.7124415068065,2992697.287558494,0.0024342374805022137,0.0004986948649380264,0.002248021757564603,0.0026204532034398245,0.0013369667235847,0.0034812523720965,2.5326441800388033,2.564673904240692,7.66702168519123,300.0,1.0,0.7302712441506808,300
400,30,3520.0,3520.0,True,9282.835636876123,3990717.1643631244,0.0023207089092189765,0.0005924469657899928,0.002099485576489277,0.0025419322419486757,0.0011150553000975,0.0037239534196335,2.632808758808991,2.6255087118797062,8.115456404351335,400.0,1.0,0.9282835636876126,400
500,30,4616.666666666667,4616.666666666667,True,12842.4098686578,4987157.590131341,0.0025684819737315195,0.0006504641010961006,0.0023255946866413946,0.0028113692608216444,0.001598617803448,0.0043205730351055,2.7701761477815494,2.776655968517643,7.943460914129901,500.0,1.0,1.2842409868657794,500
