N,protocol,range_completions_mean,range_completions_per_miner_mean,global_domain_exhaustions_mean,accepted_blocks_mean,epochs_mean,observed_exhaustion_share,predicted_exhaustion_probability,simulator_artifact_exhaustions_total,state_time_conservation_error_max_s,work_accounting_error_max,zero_block_runs
100,POW,967.6666666666666,9.676666666666666,0.0,16.3,16.3,0.0,0.36787944117144233,0,0.0,0.0,0
100,POCOL,971.1333333333333,9.711333333333334,9.766666666666667,16.133333333333333,25.9,0.37709137709137713,0.36787944117144233,0,1.8189894035458565e-12,5.614897167477744e-16,0
200,POW,1847.5666666666666,9.237833333333333,0.0,16.6,16.6,0.0,0.36787944117144233,0,0.0,0.0,0
200,POCOL,1841.0,9.205,9.2,16.566666666666666,25.766666666666666,0.35705045278137126,0.36787944117144233,0,1.8189894035458565e-12,8.41815176995098e-16,0
300,POW,2897.5333333333333,9.658444444444445,0.0,15.733333333333333,15.733333333333333,0.0,0.36787944117144233,0,0.0,0.0,0
300,POCOL,2890.0333333333333,9.633444444444445,9.666666666666666,15.666666666666666,25.333333333333332,0.3815789473684211,0.36787944117144233,0,1.8189894035458565e-12,1.1229468099199237e-15,0
400,POW,3517.0666666666666,8.792666666666667,0.0,17.266666666666666,17.266666666666666,0.0,0.36787944117144233,0,0.0,0.0,0
400,POCOL,3520.0,8.8,8.8,17.166666666666668,25.96666666666667,0.33889602053915274,0.36787944117144233,0,1.8189894035458565e-12,1.122576205749406e-15,0
500,POW,4611.3,9.2226,0.0,16.933333333333334,16.933333333333334,0.0,0.3678794411714424,0,0.0,0.0,0
500,POCOL,4616.666666666667,9.233333333333334,9.233333333333333,16.9,26.133333333333333,0.35331632653061223,0.3678794411714424,0,1.8189894035458565e-12,1.4597389573841064e-15,0
