N,metric,family,n_pairs,mean_control,mean_treatment,mean_difference,median_difference,sd_difference,iqr_difference,q1_difference,q3_difference,ci95_mean_low,ci95_mean_high,ci95_median_low,ci95_median_high,relative_difference,n_negative,n_zero,n_positive,shapiro_p,normality_ok,ttest_t,ttest_p,wilcoxon_W,wilcoxon_p,recommended_test,recommended_p,p_holm,cohen_dz,rank_biserial
100,accepted_blocks,service,30,16.3,16.133333333333333,-0.16666666666666666,0.0,0.461133037377414,0.0,0.0,0.0,-0.3388565726852953,0.005523239351961973,0.0,0.0,-0.010224948875255623,4,26,0,7.61924013066374e-10,False,-1.9796259542951335,0.0573072855932361,0.0,0.05878172135535886,Wilcoxon signed-rank,0.05878172135535886,0.2939086067767943,-0.3614285968633786,-1.0
100,total_evaluations,work,30,2.339999999999999e+20,2.335203484158232e+20,-4.796515841767495e+17,-4.613051352473928e+17,1.0160580197379976e+17,1.703578845143204e+17,-5.593710451724042e+17,-3.8901316065808384e+17,-5.175918141639946e+17,-4.417113541895044e+17,-5.394613416590049e+17,-4.392863954941215e+17,-0.0020497930947724345,30,0,0,0.26709242804279903,True,-25.85639671093173,1.4077060590411596e-21,0.0,1.862645149230957e-09,paired t-test,1.4077060590411596e-21,4.223118177123479e-21,-4.720710578126565,-1.0
100,unique_evaluations,work,30,2.339999999999999e+20,2.335203484158232e+20,-4.796515841767495e+17,-4.613051352473928e+17,1.0160580197379976e+17,1.703578845143204e+17,-5.593710451724042e+17,-3.8901316065808384e+17,-5.175918141639946e+17,-4.417113541895044e+17,-5.394613416590049e+17,-4.392863954941215e+17,-0.0020497930947724345,30,0,0,0.26709242804279903,True,-25.85639671093173,1.4077060590411596e-21,0.0,1.862645149230957e-09,paired t-test,1.4077060590411596e-21,4.223118177123479e-21,-4.720710578126565,-1.0
100,duplicate_evaluations,work,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,30,0,,False,,,,,Wilcoxon signed-rank,,0.0,,0.0
100,active_miner_seconds,active_time,30,1000000.0,997950.2069052274,-2049.793094772539,-1971.389466869412,434.212828947901,728.0251474969555,-2390.474552018888,-1662.4494045219326,-2211.9308297607804,-1887.6553597842976,-2305.390348970599,-1877.2922884362633,-0.002049793094772539,30,0,0,0.26709242804242395,True,-25.85639671093075,1.4077060590426405e-21,0.0,1.862645149230957e-09,paired t-test,1.4077060590426405e-21,4.223118177127921e-21,-4.720710578126385,-1.0
100,median_block_interval,latency,30,431.2538252764965,437.4591910622216,6.205365785725116,0.0,31.90093936622605,0.0,0.0,0.0,-5.706640741971743,18.117372313421974,0.0,0.0,0.014389126361364035,3,20,7,6.307085200304838e-10,False,1.0654290707222211,0.2954723834255965,11.0,0.09260069782067576,Wilcoxon signed-rank,0.09260069782067576,0.2778020934620273,0.19451984515210918,0.6
100,energy_kWh_LP0,energy_LP0,30,975.0,973.0014517325967,-1.9985482674032027,-1.9221047301977023,0.42335750822421847,0.7098245188095973,-2.3307126882183127,-1.6208881694087154,-2.1566325590167437,-1.8404639757896617,-2.2477555902462996,-1.8303599812253992,-0.0020497930947725156,30,0,0,0.2670924280423192,True,-25.856396710929538,1.4077060590444812e-21,0.0,1.862645149230957e-09,paired t-test,1.4077060590444812e-21,4.223118177133444e-21,-4.720710578126164,-1.0
100,energy_kWh_LP10,energy_LP10,30,975.0,973.201306559337,-1.7986934406628923,-1.7298942571778184,0.38102175740181043,0.6388420669286461,-2.0976414193964956,-1.4587993524678495,-1.9409693031150843,-1.6564175782107002,-2.0229800312217208,-1.6473239831028081,-0.0018448137852952742,30,0,0,0.26709242804253575,True,-25.85639671092874,1.4077060590456893e-21,0.0,1.862645149230957e-09,paired t-test,1.4077060590456893e-21,4.223118177137068e-21,-4.720710578126019,-1.0
100,energy_kWh_LP25,energy_LP25,30,975.0,973.5010887994474,-1.4989112005524172,-1.4415785476481915,0.31751813116815303,0.5323683891073188,-1.7480345161638695,-1.2156661270565507,-1.617474419262569,-1.3803479818422655,-1.6858166926847957,-1.3727699859190352,-0.0015373448210794023,30,0,0,0.2670924280422869,True,-25.85639671093068,1.407706059042747e-21,0.0,1.862645149230957e-09,paired t-test,1.407706059042747e-21,4.223118177128241e-21,-4.720710578126373,-1.0
100,energy_kWh_LP50,energy_LP50,30,975.0,974.0007258662985,-0.9992741337016317,-0.9610523650989649,0.2116787541121366,0.35491225940469917,-1.165356344109199,-0.8104440847044998,-1.0783162795084122,-0.920231987894851,-1.1238777951234056,-0.9151799906125575,-0.0010248965473862888,30,0,0,0.2670924280430705,True,-25.856396710926976,1.4077060590483623e-21,0.0,1.862645149230957e-09,paired t-test,1.4077060590483623e-21,4.223118177145087e-21,-4.720710578125697,-1.0
200,accepted_blocks,service,30,16.6,16.566666666666666,-0.03333333333333333,0.0,0.18257418583505536,0.0,0.0,0.0,-0.10150765473775678,0.0348409880710901,0.0,0.0,-0.002008032128514056,1,29,0,7.76637667465555e-12,False,-1.0,0.32558198801619365,0.0,0.31731050786291415,Wilcoxon signed-rank,0.31731050786291415,0.6346210157258283,-0.18257418583505539,-1.0
200,total_evaluations,work,30,4.679999999999998e+20,4.669853366963283e+20,-1.014663303671583e+18,-9.936578807989862e+17,2.0991090575385827e+17,2.454934043449426e+17,-1.1370537683716997e+18,-8.915603640267571e+17,-1.0930453240525248e+18,-9.362812832906412e+17,-1.0689278225789524e+18,-9.256291873360118e+17,-0.002168083982204238,30,0,0,0.6881394770587512,True,-26.47570776266946,7.279989519861183e-22,0.0,1.862645149230957e-09,paired t-test,7.279989519861183e-22,2.9119958079444733e-21,-4.833780789176234,-1.0
200,unique_evaluations,work,30,4.679999999999998e+20,4.669853366963283e+20,-1.014663303671583e+18,-9.936578807989862e+17,2.0991090575385827e+17,2.454934043449426e+17,-1.1370537683716997e+18,-8.915603640267571e+17,-1.0930453240525248e+18,-9.362812832906412e+17,-1.0689278225789524e+18,-9.256291873360118e+17,-0.002168083982204238,30,0,0,0.6881394770587512,True,-26.47570776266946,7.279989519861183e-22,0.0,1.862645149230957e-09,paired t-test,7.279989519861183e-22,2.9119958079444733e-21,-4.833780789176234,-1.0
200,duplicate_evaluations,work,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,30,0,,False,,,,,Wilcoxon signed-rank,,0.0,,0.0
200,active_miner_seconds,active_time,30,2000000.0,1995663.8320355914,-4336.1679644084925,-4246.40119999554,897.0551527945868,1049.1171125854016,-4859.204138340894,-3810.0870257554925,-4671.133863472466,-4001.202065344519,-4568.067617858701,-3955.680287759751,-0.0021680839822042462,30,0,0,0.6881394770588701,True,-26.47570776266011,7.279989519932871e-22,0.0,1.862645149230957e-09,paired t-test,7.279989519932871e-22,2.9119958079731486e-21,-4.833780789174526,-1.0
