N,runs,MT_duplicate_ratio_mean,MT_duplicate_ratio_sd,MT_duplicate_evaluations_mean,MT_unique_evaluations_mean,MT_accepted_blocks_mean,PoW_accepted_blocks_mean,PoCol_accepted_blocks_mean,PoCol_duplicate_ratio_mean,PoW_duplicate_ratio_mean,MT_mean_block_interval,PoW_mean_block_interval,blocks_lost_to_duplication_vs_PoW,theoretical_duplicate_ratio
100,30,0.3285374182941004,0.01207573653233407,7.687775588081949e+19,1.571222441191805e+20,11.266666666666667,16.3,16.133333333333333,0.0,0.0,897.8323071361514,642.4052608868943,0.3087934560327198,0.3660323412732292
200,30,0.3295695468840348,0.012035607326752847,1.5423854794172826e+20,3.1376145205827174e+20,10.733333333333333,16.6,16.566666666666666,0.0,0.0,908.2596374852606,634.3727869242194,0.35341365461847396,0.36695782172616703
300,30,0.328748894970776,0.013461655939372633,2.3078172426948474e+20,4.712182757305153e+20,11.5,15.733333333333333,15.666666666666666,0.0,0.0,870.5932520329251,626.2169160459483,0.26906779661016944,0.3672654557747626
400,30,0.3312504665159315,0.013482690684175786,3.1005043665891184e+20,6.259495633410881e+20,10.866666666666667,17.266666666666666,17.166666666666668,0.0,0.0,934.4995161017142,565.0734654441544,0.3706563706563706,0.3674191122606927
500,30,0.3280991652154363,0.013687068480879524,3.838760233020605e+20,7.861239766979395e+20,11.633333333333333,16.933333333333334,16.9,0.0,0.0,871.7616280579388,574.7424918811752,0.31299212598425197,0.3675112548571586
